Video Caption,Comment
“Together for a shared future” - Official International theme song of Beijing 2022 Winter Olympics,"Linda música lindo vídeo, parabéns aos jogos Olímpicos de Invernos, viva a China."
“Together for a shared future” - Official International theme song of Beijing 2022 Winter Olympics,Just beautiful!  The global community coming together for a shared future!  Unfortunately American politicians and news commentators have complained about the lyrics of the song citing that it was hypocritical if the Chinese to create a song like this without taking into consideration the human rights claims against them.  Sounds pretty much like sour grapes to me!
“Together for a shared future” - Official International theme song of Beijing 2022 Winter Olympics,1:08
“Together for a shared future” - Official International theme song of Beijing 2022 Winter Olympics,Really appreciate for sharing! Sukran!
“Together for a shared future” - Official International theme song of Beijing 2022 Winter Olympics,"BIDEN (et ses alliés) est déclaré Persona Non Grata aux JO d'hiver de Beijing 2022. Les pays participants du boycott diplomatique sont marginalisés. Ils se comptent avec les doigts d'une main. Une trentaine de Chefs d'Etat et de Gouvernement sont présents à la Tribune des JO d'hiver de Beijing 2022. Poutine en est la vedette. Sont présents à la Tribune: le Secrétaire Général des Nations Unies, le Grand Duc Henri du Luxembourg, le Prince Albert II de Monaco, le Président de la Pologne et le Président de la Serbie. Aux JO d'hiver de Beijing 2022 la Chine et la Russie s'affichent ensemble pour montrer le nouvel ordre mondial. Sans BIDEN. La Russie a reçu le soutien de la Chine en ce qui concerne les préoccupations raisonnables de la Russie. La Russie et la Chine s'opposent à l'expansion future de l'OTAN. L'occident doit empêcher l'humoriste d'Ukraine d'allumer le feu de la troisième guerre mondiale. Un ouïghour porte la flamme olympique pour dénoncer les tissus de mensonge occidentaux sur les ouïghours. Un coup de pied au cul des journalistes des télévisions menteuses occidentales. Une paire de gifles aux députés français votant la résolution sur les ouïghours.-
-
BIDEN (and his allies) is declared Persona Non Grata at the Beijing 2022 Winter Olympics. The countries participating in the diplomatic boycott are marginalized. They can be counted with the fingers of one hand. About thirty Heads of State and Government are present at the Tribune of the Beijing 2022 Winter Olympics. Putin is the star. Present at the Tribune are: Secretary-General of the United Nations, Grand Duke Henri of Luxembourg, Prince Albert II of Monaco, the President of Poland and the President of Serbia. At the Beijing 2022 Winter Olympics, China and Russia are coming together to show the new world order. Without BIDEN. Russia has received China's support regarding Russia's reasonable concerns. Russia and China oppose NATO's future expansion. The West must prevent the comedian from Ukraine from lighting the fire of World War III. A Uyghur carries the Olympic flame to denounce Western fabrics of lies about Uighurs. A kick in the ass of Western lying TV journalists. A pair of slaps to French MPs voting for the resolution on the Uyghurs.!!!"
“Together for a shared future” - Official International theme song of Beijing 2022 Winter Olympics,明年加油
“Together for a shared future” - Official International theme song of Beijing 2022 Winter Olympics,一起迎未來之光我希望不一樣的味道全國各地（friendcomeon)我好Love成功代表
“Together for a shared future” - Official International theme song of Beijing 2022 Winter Olympics,Qué lindo! Y Dimash más 🤭💖🇦🇷
“Together for a shared future” - Official International theme song of Beijing 2022 Winter Olympics,"Go humans , don't let politics to mess you !♥️"
“Together for a shared future” - Official International theme song of Beijing 2022 Winter Olympics,I saw Donovan Carrillo and I clicked quickly.
“Together for a shared future” - Official International theme song of Beijing 2022 Winter Olympics,"I see Dimash, I like"
“Together for a shared future” - Official International theme song of Beijing 2022 Winter Olympics,Beautiful background sound!
“Together for a shared future” - Official International theme song of Beijing 2022 Winter Olympics,"★★★  China, which cracks down on human rights, is not eligible to host the Olympics ❢❢❢ ★★★"
“Together for a shared future” - Official International theme song of Beijing 2022 Winter Olympics,Amei!!!! Bons jogos Pequim!!!
“Together for a shared future” - Official International theme song of Beijing 2022 Winter Olympics,This is it! Is this the same as the other? It's sing Inn many languages. Yes I'll go for this. Its really catchy.  Also best presentation.
“Together for a shared future” - Official International theme song of Beijing 2022 Winter Olympics,Go foward 🇨🇳 we 🇷🇺 are at your side. Don't worry about western politicians trying to boycott the games. In fact is a blessing that those sodomites therefor pedophiles don't appear.
“Together for a shared future” - Official International theme song of Beijing 2022 Winter Olympics,Que bonito vídeo 👏 Alegre de que ese te presente Argentina 🇦🇷 y como regalo ... la vos de Dimash 😎☝️💐
“Together for a shared future” - Official International theme song of Beijing 2022 Winter Olympics,So nice and beautiful!
“Together for a shared future” - Official International theme song of Beijing 2022 Winter Olympics,♥️♥️♥️♥️
“Together for a shared future” - Official International theme song of Beijing 2022 Winter Olympics,Dimash 🥰
