Video Caption,Comment
Xi Jinping: China is ready for Beijing 2022 opening tomorrow,This year's Olympics are not free to watch on the internet like the last one in Canada.
Xi Jinping: China is ready for Beijing 2022 opening tomorrow,"Illuminati = the work of a dying organization,
China is not the center of the world and cannot aim for the world. Their own world, which was falsely manipulated, is now over.
The evidence is from the world-class festival Olympics.
Chinese players believe in lies behind the biased judgment...I intentionally made a fake gesture...
And the elimination party! A sense of damage to Korean players...You can never be strong with such a false contradiction.
I'm just a big coward...
Illuminati = Shadow Government = False Organization = False Manipulation = Greedy Pig = Evil greed!They're just a bunch of cannibals.He's manipulated with false organizational connections because he doesn't have the ability! The manipulation of trying to make the situation the same...Doppelganger... Deja vu...The organization that makes it... Illuminati...
Manipulated world = elimination situation to match the situation with a beggar...
The world is now checking the reality of Illuminati...I can't use my strength...
Illuminati's attack... It's the situation of the Chinese Winter Olympics.
The eliminated player should never give up his self. As if he were the loser of the wrong spot! He's trying to steal the gold medal.
The purpose of the invasion of Ukraine in Russia is = trying to steal a second human being, which means that when Trump is elected, he can keep it safe.
The Ferry Sewol incident stole not the second human being in Korea..."
Xi Jinping: China is ready for Beijing 2022 opening tomorrow,"Mr. Xingping, can you get a better nap after lying this much..."
Xi Jinping: China is ready for Beijing 2022 opening tomorrow,"mad in china= cheap imitations, illegal copy, fake food, covid 19, child abuse 🤣🤣🤣🤣"
Xi Jinping: China is ready for Beijing 2022 opening tomorrow,good
Xi Jinping: China is ready for Beijing 2022 opening tomorrow,주접을싸고 앉앗네 ㅋㅋㅋ
Xi Jinping: China is ready for Beijing 2022 opening tomorrow,Xi Dada !!!
Xi Jinping: China is ready for Beijing 2022 opening tomorrow,"The CCP - ridiculous, corrupt idiots. I feel very sorry for the honest, freedom loving chinese citizens. One day you will be as free and secure as the citizens from TAIWAN, the FREE and INDEPENDENT country ❤🇹🇼❤"
Xi Jinping: China is ready for Beijing 2022 opening tomorrow,https://www.youtube.com/watch?v=45je1UWwNWc- SEE ATHLETE CONDITIONS IN OLYMPICS
Xi Jinping: China is ready for Beijing 2022 opening tomorrow,Your country will be the only country at the closing ceremony.
Xi Jinping: China is ready for Beijing 2022 opening tomorrow,"China is ready with money, baby IOC.."
Xi Jinping: China is ready for Beijing 2022 opening tomorrow,oh~ disgusting pooh~
Xi Jinping: China is ready for Beijing 2022 opening tomorrow,West taiwan doesn't deserve for olympic. What a shame
Xi Jinping: China is ready for Beijing 2022 opening tomorrow,Ioc eat china money
Xi Jinping: China is ready for Beijing 2022 opening tomorrow,These Cockroach bought the referee. FREE 🇭🇰 🇹🇼  AND TIBET
Xi Jinping: China is ready for Beijing 2022 opening tomorrow,"You, who steal the history and culture of other countries, are not qualified to be a leader.It is a pity that China is becoming a cultural subordinate of the Republic of Korea. China is a country called inferiority complex, inferiority complex, and uncivilized and shallow.China will be divided and become an eternal colony of the Republic of Korea."
Xi Jinping: China is ready for Beijing 2022 opening tomorrow,"Don't cheat, okay?"
Xi Jinping: China is ready for Beijing 2022 opening tomorrow,Fucking CN
Xi Jinping: China is ready for Beijing 2022 opening tomorrow,FREE TAIWAN 🇼🇸 FREE HONGKONG 🇭🇰 FREE XINJIANG
Xi Jinping: China is ready for Beijing 2022 opening tomorrow,https://www.youtube.com/watch?v=-dPfZSZ5pxk- SEE HOW CHINESE ATHLETES TRAIN AND HOW THEY ARE TREATED
