Video Caption,Comment
"Beijing 2022 Opening Ceremony Will Feature Low Carbon, High Tech: Chief Director","it was O K,  not great."
"Beijing 2022 Opening Ceremony Will Feature Low Carbon, High Tech: Chief Director",沒中國古代服裝，又少了人數?!😥
"Beijing 2022 Opening Ceremony Will Feature Low Carbon, High Tech: Chief Director",Waiting with great anticipation....                  🧚‍♀️🐼🧚‍♀️
"Beijing 2022 Opening Ceremony Will Feature Low Carbon, High Tech: Chief Director",To late to hide your BS. crunchy peasants f the ccp
"Beijing 2022 Opening Ceremony Will Feature Low Carbon, High Tech: Chief Director","Concerns and Controversies before Beijing Winter Olympics
https://www.youtube.com/watch?v=Ir8qes7Kloc"
"Beijing 2022 Opening Ceremony Will Feature Low Carbon, High Tech: Chief Director","I think it must show the acient Chinese quote ""living under the same sky"" which was created from 2500 years ago and is part of the core principle of Chinese culture. Put that on big screen and banner people performing in UN official language. That is actually the correct value today's western hypocrisy us chasing for - the equality and social value!"
"Beijing 2022 Opening Ceremony Will Feature Low Carbon, High Tech: Chief Director",The legendary Zhang Yimou. 👏👏👏👍
"Beijing 2022 Opening Ceremony Will Feature Low Carbon, High Tech: Chief Director",I can't wait to watch the opening ceremony.
"Beijing 2022 Opening Ceremony Will Feature Low Carbon, High Tech: Chief Director",I'm really excited
"Beijing 2022 Opening Ceremony Will Feature Low Carbon, High Tech: Chief Director",Sincerely wish from bottom of my heart Beijing Winter Olympics successful!!!
"Beijing 2022 Opening Ceremony Will Feature Low Carbon, High Tech: Chief Director",يا ناس يا امة محمد صارت قلوبكم لا ﺭﺣﻤﻪ ﻭﻻ ﺷﻔﻘﻪ ﻭﻻ ﺃﻧﺴﺎﻧﻴﻪ اني ﻛﻢ ﺷﻜﻴﺖ ﻭﻛﻢ ﺑﻜﻴﺖ ﻛﻢ ﻧﺎﺩﻳﺖ ﻭﻛﻢ ﻧﺎﺷﺪﺕ ﻭﻟﻜﻦ ﻻ ﺣﻴﺎﺓ ﻟﻤﻦ ﺗﻨﺎﺩﻱ  ﻫﻞ ﻳﺮﺿﻴﻜﻢ ﺃﻥ ﺃﺧﻮﺍﻧﻲ ﻳﺒﻜﻮﻥ ﻭﻳﻤﻮﺗﻮﻥ ﻣﻦ ﺍﻟﺠﻮﻉ ﻭﺃﻧﺘﻢ ﻣﻮﺟﻮﺩﻭﻥ ﻳﻌﻠﻢ ﺍﻟﻠﻪ ﺍﻟﻌﻠﻲ ﺍﻟﻌﻈﻴﻢ ﺃﻧﻨﺎ ﻻ ﻧﻤﻠﻚ ﺣﺘﻰ ﻗﻴﻤﺔ ﻛﻴﻠﻮ ﺩﻗﻴﻖ ﺃﺑﻲ ﻣﺘﻮﻓﻲ ﻭﺃﺧﻮﺍﻧﻲ ﺻﻐﺎﺭ ﻟﻴﺲ ﻟﻨﺎ ﺃﺣﺪ ﺃﻗﺴﻢ ﺑﺎﻟﻠﻪ ﺍﻟﻌﻈﻴﻢ ﺃﻧﻬﻢ ﻧﺎﻣﻮﺍ ﺃﻣﺲ ﺟﻮﻋﺎﻧﻴﻦ ﻭﻫﻢ ﻳﺒﻜﻮﻥ ﻭﺍﻟﺪﻣﻮﻉ ﺟﻔﺖ ﻣﻦ ﺍﻟﺒﻜﺎﺀ ﻳﺎﺃﻫﻞ ﺍﻟﺨﻴﺮ ﻫﻞ ﻳﺮﺿﻴﻜﻢ ﺃﻧﻨﺎ ﻣﻦ ﺃﻣﺲ ﻟﺤﺪ ﺍﻵﻥ ﺑﺪﻭﻥ ﺃﻛﻞ ﻳﺎﺃﺧﻮﺓ ﺍﻹﺳﻼﻡ ﻧﺤﻦ ﺃﺳﺮﻩ ﺃﻳﺘﺎﻡ ﻭﻧﺎﺯﺣﻴﻦ ﻭﻣﺸﺮﺩﻳﻦ مستاجرين بيت  واليوم صارت علينا متاخرات حق الاجار وما استطعنا ندفع وصاحب البيت يشتي يخرجنا اذا مادفعنا الاجار ﺃﺭﺟﻮﻭﻛﻢ ﺳﺎﻋﺪﻭﻧﺎ ﻭﻓﺮﺣﻮﻧﺎ ﺃﺭﺟﻮﻛﻢ ﺃﻭﻗﻔﻮﺍ ﻣﻌﻨﺎ ﻭﺍﻟﻠﻪ ﺍﻟﻌﻈﻴﻢ ﺃﻧﻨﺎ ﺑﺄﻣﺲ ﺍﻟﺤﺎﺟﻪ ﺃﺳﺄﻟﻜﻢ ﺑﺎﻟﻠﻪ ﻳﺎﺃﻫﻞ ﺍﻟﺨﻴﺮ ﺍﻟﻲ ﻋﻨﺪﻩ ﺍﻟﻘﺪﺭﻩ ﻋﻠﻰ ﻣﺴﺎﻋﺪﺗﻨﺎ لايتاخر علينا لحظه هاذا رقمي واتساب 00967715650030 الذي يقدر يساعدنا يراسلني على الواتساب نرسله الاسم الكامل يحولنا بقدر استطاعته الله يرزقكم
