Video Caption,Comment
BEIJING 2022. Ашылу салтанатының шолуы.,Позор казахском спорту. Которого по ходу у нас нет. Только параоллимпийцы хоть что-то  берут. И кто здесь инвалид спрашивается? Казахстан без медалей.
BEIJING 2022. Ашылу салтанатының шолуы.,Денис Тен жок мумкин алтын алар еди. Жаны жаннатта болсын
BEIJING 2022. Ашылу салтанатының шолуы.,Олимпиада деген елдердің емес ұлттардың жарысы қатысатын қазақ жоқпа қоиған дұрыс қои оған басқа ұлт сатып алып өтірік
BEIJING 2022. Ашылу салтанатының шолуы.,Паидасыз абыройсыз қазақтың маңдайына жазылмаған орындарға елдің еңсесін түсіріп не үшін қатысады қысқы Олимпиада деген футбол деген қазақ баласына қажетсіз дүние ғои
BEIJING 2022. Ашылу салтанатының шолуы.,Осы бурын Ак жарысына Бизден коп споры баратын еди го
BEIJING 2022. Ашылу салтанатының шолуы.,"Вау техника жағынан ангиме жок ,өте жоғары денгейде"
BEIJING 2022. Ашылу салтанатының шолуы.,"Неменеге мәз боласың, ағайын? 
Қытайда қазақ қандастарымызға геноцид жасалып жатыр.  Жарты миллион қазақ түрмеде отыр.  Бойкот жариялау керек еді. 
Неменеге жетісіп жүрсіңдер?"
BEIJING 2022. Ашылу салтанатының шолуы.,Киимдер оте тамаша брак ешкандай медаль жок
BEIJING 2022. Ашылу салтанатының шолуы.,Hermosos Trajes de KAZAJISTÁN. 👍👏👏👏
BEIJING 2022. Ашылу салтанатының шолуы.,Қазақстан алға! Сәттілік тілейміз!
BEIJING 2022. Ашылу салтанатының шолуы.,Красивые костюмы!!!!!!!!!№
BEIJING 2022. Ашылу салтанатының шолуы.,"Қазақстан, алға!"
BEIJING 2022. Ашылу салтанатының шолуы.,Алға Қазақстан! Алға қазақ! 💪💪💪 Неге көп елдер жоқ сияқты ма?
BEIJING 2022. Ашылу салтанатының шолуы.,Алға қазақстан  加油哈萨克斯坦我爱你👍👍😘😘😘
BEIJING 2022. Ашылу салтанатының шолуы.,"Казахи приехали, костюмы показали и уехали...
Где Элизабет?"
BEIJING 2022. Ашылу салтанатының шолуы.,Қазақ елі жасасын біз мықтымыз ☝☝☝☝☝Қазақтар алға біз мықтымыз ☝☝☝☝✊✊✊✊🇰🇿🇰🇿🇰🇿🇰🇿🇰🇿🇰🇿🇰🇿🇰🇿🇰🇿
BEIJING 2022. Ашылу салтанатының шолуы.,"Екатерина Аидова походка у неё ужас , не женственная , как зомби , не крашенная . Лицо суровая. Ужаааас. Она одела казахскую одежду через ни хочу, по походкам заметно, как попало шла"
BEIJING 2022. Ашылу салтанатының шолуы.,"Екатерина Аидова походка у неё ужас , не женственная , как зомби , не крашенная . Лицо суровая. Ужаааас."
BEIJING 2022. Ашылу салтанатының шолуы.,Давайте Казахи покажите  всему миру !  Где Раки зимуют ! 🙏🙏🙏
BEIJING 2022. Ашылу салтанатының шолуы.,Алга Казахстан
