Video Caption,Comment
Beijing 2022 | A German's special bond with China,"Nice job bringing  togetherness  Solidarity Consensus for Win Win  better live in better Planet Shared future in peaceful harmonious humanity Community under auspicious New Century Era . 

#Beijing2022 Winter Olympic and Paralympic game in Serendipity memorial Dynamic vibrant blossom Spirit 💝👍👌👈 as Sustainable Hy-tech AI greenery  development  🌱🌳🍀🌷😂 ."
Beijing 2022 | A German's special bond with China,Spare a thought for the millions of Chinese citizens being persecuted by the Chinese government in their search for freedom.
Beijing 2022 | A German's special bond with China,"Dear Xi, 
Congratulations for hosting the splendid Olympic Game!
REQUEST to Honorable President, XI:
Nepal is having problem, and therefore CANCEL YOUR Agreement with India on Lipulekh pass which is Nepal's sovereign territory. Your mistake is letting  India to continue encroaching Nepal's Lipulekh and construct road there and infrastructures in Kalapani and Limpiyadhura, and keeping it's Military force to counter China. Please Act on this burning issue, immediately. This is URGENT.
Do you know? ""Terrorism"" has different forms. One of the forms is iIlegal occupation of Nepal's sovereign territory, Kalapani, Lipulekh, Limpiyadhura and Susta by BJP/India, using its might/military force and constructing infrastructures and torturing citizens there in spite of Nepal repeatedly officially opposing such a terrorism act and asking India to leave its occupied territories since 1962 Sino-India war in which India was badly defeated and on return its army stayed in Kalapani temporarily to keep eye on Chinese military forces, BUT is not leaving Kalapani, Lipulekh and Limpiyadhura as yet. India's illegal occupation of Kalapani must end immediately, just as also China to Cancel its unilateral agreement with India on Lipulekh, Nepal' sovereign land.
With your help on the above matter,  Nepal-China Friendship will further grow.
Thank you
People of Nepal"
Beijing 2022 | A German's special bond with China,CCP snake
Beijing 2022 | A German's special bond with China,https://www.youtube.com/watch?v=om7UImD-hmE  no comment
Beijing 2022 | A German's special bond with China,"SERBIA <3 CHINA  , FRIENDS 4EVER"
Beijing 2022 | A German's special bond with China,Great family
Beijing 2022 | A German's special bond with China,Fabulous! You did a wonderful thing. Wish you and your family a great Year of the Tiger.
Beijing 2022 | A German's special bond with China,Very cute children . Give the girl  the  olympic title of Little ambassaderess
Beijing 2022 | A German's special bond with China,"Thank you Mr Rosler for what you did back then. 

May GOD✝️ continue to bless you n your beautiful family, New Year greetings🙏 n well wishes to you n your little China in Germany in this year of the Tiger(2022).❤🇨🇳"
Beijing 2022 | A German's special bond with China,"As a chinese, i don’t need any more western validation. Why are we still so obsessed with few of these foreigners “appreciate” China ? Who cares, he likes it here, ok , so what ? If he hates China, also, so what. No need to report this, as if we need to throw a red carpet for these westerners who come to China. 

Again, I don’t care x I have seen enough “foreigners” nothing damn special. 

We need to take care our own citizens. Chinese citizens COME FIRST"
Beijing 2022 | A German's special bond with China,Good luck
Beijing 2022 | A German's special bond with China,so touching! Thank you and your lovely kides
Beijing 2022 | A German's special bond with China,Great man. Thank you Rosler and Family for your great services to China and Olympics Spirit.
Beijing 2022 | A German's special bond with China,"If all foreigners are like this, we do not need military supremacy, no need Nato and USA"
Beijing 2022 | A German's special bond with China,"Mr. Roller, you ARE truly kind and awesome!!"
Beijing 2022 | A German's special bond with China,Beautiful!!!
Beijing 2022 | A German's special bond with China,this is what corruption by yellow fever looks like...better rescue his kids now before they get sent to the gulags.
Beijing 2022 | A German's special bond with China,"This is just beautiful!! Watching this tears up my eyes. Btw, those kids are wonderful, speaking fluent chinese, just amazing!"
Beijing 2022 | A German's special bond with China,Super  !
