Video Caption,Comment
Highlights of World's first 5G Express for Beijing 2022 Winter Olympics,"DANKE FÜR DIESES WUNDERSCHÖNES FEST!
=====================================


SO GEBEN WIR DEN ""FRIEDEN EINE CHANCE"",

OHNE DEUTSCHE HETZER, OHNE GRÜNE NATO-JÜNGER

OHNE ANTI-CHINA-TRAIDEN; OHNE DEUTSCHE MEDIEN!

============================================
ES IST IN BERLIN SO SCHLIMM; DEUTSCHE GRÜNE

UND NATO-JÜNGER REDEN DIE GANZE SHOW NUR

SCHLECHT; MACHEN ALLES SCHÖNE KAPUTT,

ZIEHEN UNGESTARFT DIE VOLKSREPUBLIK CHINA

UND ALLES VON DER CPC EINFACH IN DEN DRECK !

KANN MAN SOLCHE HETZTER NICHT DAS MAUL

STOPFEN UND VERBIETEN? DIE WOLLEN NUR EINS

DIE VOLKSREPUBLIK CHINA ZERSTÖREN UND DIE

KOMMUNISTISCHE PARTEIARBEIT ZERSTÖREN! 


WIR SOLLTEN DEUTSCHE MEDIENHETZER VOR ORT ERWISCHEN,

HÄRTER ZUR REDE EINE RICHTIG PELLEN! ANTI-CHINA-HETZER,

DEUTSCHE WELLE-LEUTE UND IHRE GRÜNEN MEDIEN ABLEGER

SOLLTEN WIR AUCH HIER ZU LANDE EINSPAREN UND VERBIETEN;

DIESE GRÜNEN NATO-JÜNGER WOLLEN DIE CPC NUR ZERSTÖREN!


GRÜNEN DAS VISUM ENTZIEHEN; ALS KRIMINELLE AGENTEN DER

ECHTEN NATO-JÜNGER SCHLAGEN UND ENTARNEN! THEOLOGEN; 

OPIUMHÄNDLER, US--TRIADEN, GRÜNE KIFFER SIND BEI UNS IN 

DER VOLKSREPUBLIK CHINA UND  MIT CHINAS SOZIALISTEN  

ZU RECHT BEI TODESSTRAFE VERBOTEN, VERBANNT, GEKILLT,

WIE DIESE EINSEITIGEN  MENSCHENRECHTLER AUS BERLIN !-

 

UND CHINA IST KEINE KLEINE DDR, WO DDR-VERRÄTER IHREN STAAT VERKAUFTEN,

STRAFFREI AN ALT-NAZIS, HORDEN VOM GOTTESWAHN, AN NETTE NATO-KRIEGER!
 

KRIMINELLE FLÜCHTLINGE BEZAHLT DER WESTEN UMSONST!  DEUTSCHE 

JORNALIEN HABEN KEINE LIZENZ MEHR ZUM LÜGEN = KEIN RECHT MEHR

 UM ETWAS SCHLECHT ZU REDEN; KEINE SICHERHEIT UNGESTRAFT AUS 

DER FERNE ZU MOBBEN GAR ZU  ZÜNDELN - SIE BEKOMMEN MEHR ALS  

REDEVERBOT UND EINE AUF`S MAUL VON  ORDNUNSKRÄFTEN DER CPC! 


DIE MODERNE LINKE IST WELTWEIT VERNETZT! EINE MILIONENFACH

GEHÄRTETE WAND DER CPC  IST NUN GESTÄHLT : WIR  WARTEN... 

BESONDERS  AUF DEUTSCHE GRÜNE NATO-JÜNGER VOR ORT !


=======================================

LIU MINGFU - GENERALOBERST A.D. PLUS  
STAATSRAT VON 5 GENERATIONEN DER 
VOLKSREPUBLIK CHINA: MAO ZEDONG; 
DENG XIAOPING; JIANG ZEMIN; HU JINTAU, 
XI JINPING - WANG YI -  LI KEQIANG, XU LIN! 

:: WIR SIND KEINE KLEINEN DDR-LEUTE: : DIE IHR LAND VERKAUFEN AN OPIUMHÄNDLER, 
GRÜNE KIFFER ODER AN NETTE NATO-JÜNGER! ROTFRONT = CPC-AUSSENDIENSTBÜRO = 

ERNST-THÄLMANN-BRIGADE-SHANGHAI (CHINAS FDJ-PIONIERORGANISATION)"
Highlights of World's first 5G Express for Beijing 2022 Winter Olympics,"几点建议：❌ 红衣服的记者应该把英文提高一下， 完后把黑牙洗干净一点。 
❌ 穿米色大衣的记者很没有水准， 开口就说tired 很累在这种喜庆的全世界都关注的节目里可以说是记者千里挑一的场面，未免有些太随便了吧， 显得没礼貌，不专业。  我看她应该去检查一下甲状腺功能。 真的，她的声音很 sad 哭腔一点都不陪这个节目 ， 难道找不到其他人了？ 她的声音一点都不愉悦。 把整个节目拉低档次。 丢脸。"
Highlights of World's first 5G Express for Beijing 2022 Winter Olympics,"WOW! Beijing Olympic 2022 the best yet. Congratulations to CPC govt and the PRC. You have come a long way.
I can see some foreign entities (you know who) are going to have sleepless nights, thinking how to best spin the story into something negative. Just imagine, your entire strategy is based on hate and contempt of another, who is not only different but doing better than you, spending your every waking moments, time and resources to constantly plan the destruction of another nation thousands of miles away. Poor insomniac."
Highlights of World's first 5G Express for Beijing 2022 Winter Olympics,Awesome
Highlights of World's first 5G Express for Beijing 2022 Winter Olympics,"Wonderful.
Thanks to The CGTN ."
Highlights of World's first 5G Express for Beijing 2022 Winter Olympics,"Wow the implementation of 5G, AI, AR, Railways etc is so seamless"
Highlights of World's first 5G Express for Beijing 2022 Winter Olympics,The Olympics mean peace and freedom for people around the world. Today there should be no countries closed by dictators.
Highlights of World's first 5G Express for Beijing 2022 Winter Olympics,Love from North Carolina USA. So excited. Thank you so much for giving the world access to this incredible Olympics.
Highlights of World's first 5G Express for Beijing 2022 Winter Olympics,This is why evil US wants wars with China. 😂
Highlights of World's first 5G Express for Beijing 2022 Winter Olympics,有志竟成，虎年行大運 !
Highlights of World's first 5G Express for Beijing 2022 Winter Olympics,"I am Italian Chinese, and I love China a lot!  So proud of being both Chinese and Italian at the same time! 🇨🇳🇮🇹"
Highlights of World's first 5G Express for Beijing 2022 Winter Olympics,"if some game can be held in some place around great wall , that could be amazing"
Highlights of World's first 5G Express for Beijing 2022 Winter Olympics,Thank you CGTN 👏👏👏👏👏👏
Highlights of World's first 5G Express for Beijing 2022 Winter Olympics,"🤬🤬🤬 ★★★  China, which cracks down on human rights, is not eligible to host the Olympics ❢❢❢ ★★★ 😠😠😠"
Highlights of World's first 5G Express for Beijing 2022 Winter Olympics,Haters will say China stole the technology from Walmart...
Highlights of World's first 5G Express for Beijing 2022 Winter Olympics,"Get on the train, get interviewed, and arrive at your next destination when interview ends. 

This is true efficiency."
Highlights of World's first 5G Express for Beijing 2022 Winter Olympics,"Xi proudly serving his Master Putin by offering his wife. Putin's very happy he has 1.4 billion serfs working for him! People should fight for freedom, independence, and liberty! Not for criminal Mafia CCPEEE!"
Highlights of World's first 5G Express for Beijing 2022 Winter Olympics,"Why is the Tian Wei segment inside the train so haphazardly shown, sudden jumping from one screen to another. It look so amateurish, it's painful to watch.
China's Chinese language programs are good, but English ones are just lacking. It doesn't feel natural, like a fish out of water."
Highlights of World's first 5G Express for Beijing 2022 Winter Olympics,👍👍👍👍
Highlights of World's first 5G Express for Beijing 2022 Winter Olympics,CHINA IS ALREADY USING 5G HAPPILY BUT WESTERN AIRLINE ARE HAVING SO MUCH TROUBLE IN 5G ..EVEN CHINA TODAY IS ALREADY TRYIN 6G.
