Video Caption,Comment
Humans of Beijing 2022: Young man from Xinjiang becomes Winter Olympics judge,https://www.youtube.com/watch?v=6FfkpjftT0I
Humans of Beijing 2022: Young man from Xinjiang becomes Winter Olympics judge,冬冥會出大事了 普京團隊16人染疫，3人已死亡。非常不悅悅啊。😨😨😨
Humans of Beijing 2022: Young man from Xinjiang becomes Winter Olympics judge,What a lovely story! Well done!
Humans of Beijing 2022: Young man from Xinjiang becomes Winter Olympics judge,Where all the Uighur and Falon Gong people at? CCP Wuhan Virus Genocide games. Where CCP lovers meet. Everyone hates the CCP murder machine.
Humans of Beijing 2022: Young man from Xinjiang becomes Winter Olympics judge,He from xinjiang ¿
Humans of Beijing 2022: Young man from Xinjiang becomes Winter Olympics judge,where is the openning ceremony?
Humans of Beijing 2022: Young man from Xinjiang becomes Winter Olympics judge,Where the fucking US ??
Humans of Beijing 2022: Young man from Xinjiang becomes Winter Olympics judge,"The torchbearer which lit the cauldron is a Uyghur ethnic cross country skier🇨🇳
China has slammed western lies hard!"
Humans of Beijing 2022: Young man from Xinjiang becomes Winter Olympics judge,"Nationals from the host country should not be appointed to judgeship positions for obvious reasons, especially with China and its history of cheating(e.g. doping scandals in prior Olympics and at the Military World games in 2019). Because of China's propensity for cheating and politicizing any kind of international competition, the wisdom of the IOC must be seriously considered and the possible collusion of the management of the IOC and the CCP because of money should be fully investigated. China applies the same standard of ethics in its conduct in these games as it does in respecting patents and product designs that it steals from other countries with such zeal."
Humans of Beijing 2022: Young man from Xinjiang becomes Winter Olympics judge,"wish i could go Beijing this year, sigh..."
Humans of Beijing 2022: Young man from Xinjiang becomes Winter Olympics judge,❤❤❤
Humans of Beijing 2022: Young man from Xinjiang becomes Winter Olympics judge,Boycott
Humans of Beijing 2022: Young man from Xinjiang becomes Winter Olympics judge,❤️
