Video Caption,Comment
Samsung x Beijing 2022: Proud sponsor of a world coming together,❤️🇨🇳🌿🌼🐉
Samsung x Beijing 2022: Proud sponsor of a world coming together,Dave Grohl?  Drumming calms me DOWN!
Samsung x Beijing 2022: Proud sponsor of a world coming together,"as a chinese american, im so proud of samsung. love the color design of the samsung z flip 3 beijing edition. i've been a samsung user since 2015, never looked back. thank you samsung!"
Samsung x Beijing 2022: Proud sponsor of a world coming together,Complicit in Genocide
Samsung x Beijing 2022: Proud sponsor of a world coming together,Cool vid love the style!
Samsung x Beijing 2022: Proud sponsor of a world coming together,"😡😡😡 China, which cracks down on human rights, is not eligible to host the Olympics ❢❢❢  😡😡😡😠😠😠😤😤😤"
Samsung x Beijing 2022: Proud sponsor of a world coming together,Dear Samsung We need net speed indicator in one ui
Samsung x Beijing 2022: Proud sponsor of a world coming together,Dear Samsung We need net speed indicator in one ui
Samsung x Beijing 2022: Proud sponsor of a world coming together,Dear Samsung We need net speed indicator in one ui
Samsung x Beijing 2022: Proud sponsor of a world coming together,Dear Samsung We need net speed indicator in one ui
Samsung x Beijing 2022: Proud sponsor of a world coming together,Dear Samsung We need net speed indicator in one ui
Samsung x Beijing 2022: Proud sponsor of a world coming together,Dear Samsung We need net speed indicator in one ui
Samsung x Beijing 2022: Proud sponsor of a world coming together,"Now, I can't buy Samsung's Galaxy S 22 series to support Beijing Genocide Games 2022."
Samsung x Beijing 2022: Proud sponsor of a world coming together,0:20 can somebody Tell me this girl’s name?
Samsung x Beijing 2022: Proud sponsor of a world coming together,I love Samsung one of best brand in the world Samsung are like apple so cool and I'm so enjoying plsss fix overheating on Exynos and android 11 I'm using Samsung m51 heating so fast and playing game too :(
Samsung x Beijing 2022: Proud sponsor of a world coming together,Love you Samsung 👍🔥🔥
Samsung x Beijing 2022: Proud sponsor of a world coming together,"Samsung has partnered with the Chinese Communist Party that supports genocides and no Human rights. 
Free Tibet, Free the Uyghurs, Free Hongkong, Free Taiwan. 
Let's not watch Beijing Olympics"
Samsung x Beijing 2022: Proud sponsor of a world coming together,south korean company supporting an event made together by a genocidal regime:D doesnt get more capitalist than this
Samsung x Beijing 2022: Proud sponsor of a world coming together,"I hope there is no more problem with the battery, make the battery life longer!"
Samsung x Beijing 2022: Proud sponsor of a world coming together,More like an apple commercial
