Video Caption,Comment
Boycotting Beijing 2022 Olympics / 抵制2022北京冬奥会,we just want a peace world ！ have fun the all players in beijing。
Boycotting Beijing 2022 Olympics / 抵制2022北京冬奥会,伞兵
Boycotting Beijing 2022 Olympics / 抵制2022北京冬奥会,海外华人印度尼西亚，马来西亚，新加坡，香港，以及全世界的华人，总计应该不少于两亿，还有很多留学生商人，都使用中文，频道中文字幕，很好！！！！
Boycotting Beijing 2022 Olympics / 抵制2022北京冬奥会,😅😅😅
Boycotting Beijing 2022 Olympics / 抵制2022北京冬奥会,"Those ""litter people"" who continue to bark democracy for China without an iota of doubt will bring along their western liberal democracy and now include the Beijing Winter Olympics boycott into their graves."
Boycotting Beijing 2022 Olympics / 抵制2022北京冬奥会,Very objective
Boycotting Beijing 2022 Olympics / 抵制2022北京冬奥会,World is peace without USA.
Boycotting Beijing 2022 Olympics / 抵制2022北京冬奥会,美国嘴上说着抵制，结果挣着来冬奥会，笑死我了
Boycotting Beijing 2022 Olympics / 抵制2022北京冬奥会,醒醒吧 高傲的美国佬还没欧洲朋友们  ，你们的高傲姿态在我们眼里就像个跳梁小丑一样  时代的改变 你们早已落后  不知道你怎么哪里来的自信
Boycotting Beijing 2022 Olympics / 抵制2022北京冬奥会,"As matter of fact, I'm a Chinese who normally lives in the old country. In history, the country was invaded by England,France,America,Austria,Germany,Russia,Japan and so on coubtries. Chinese Communist Party successfully strengthen China in science ways.Even if there are sometime which is regarded as dictatorship time,Chinense chairman tries their best to make country great,citizens lucky. And toughless ways aren't bad forever.For example, when Covid-19 broke out, China made the condition in control quickly. So in fact, New China,PRC,is a free,democracy,civil country. And I can't help thinking, nowadays the world actually has been a whole one,and Olympic games has long history,which are communicated all over the world.I really don't know the meaning under your video."
Boycotting Beijing 2022 Olympics / 抵制2022北京冬奥会,two words：who care
Boycotting Beijing 2022 Olympics / 抵制2022北京冬奥会,说什么就是啊对对对，你爱来不来，自己又不参加，就会逼逼，寄吧谁呢
Boycotting Beijing 2022 Olympics / 抵制2022北京冬奥会,说的太对了，因为美国以及欧洲部分国家的政治利益，彻底污蔑中国的名声，做出抵制行为。可以用两个字来形容：傻逼。
Boycotting Beijing 2022 Olympics / 抵制2022北京冬奥会,"Winter is very famous. Come on, Beijing"
Boycotting Beijing 2022 Olympics / 抵制2022北京冬奥会,美国？您已经从友好国家变成“蛮夷戎狄”“划外藩邦”了，您哪位啊，谁在乎你来不来啊，真逗。建议政府恢复古代的理藩院，以后垃圾国家不要再用外交部和他们接触了，让理藩院和他们打交道就行🤣🤣🤣
Boycotting Beijing 2022 Olympics / 抵制2022北京冬奥会,一群没去过新疆的人造谣新疆
Boycotting Beijing 2022 Olympics / 抵制2022北京冬奥会,点赞！
Boycotting Beijing 2022 Olympics / 抵制2022北京冬奥会,谢谢您的祝福
Boycotting Beijing 2022 Olympics / 抵制2022北京冬奥会,좋아요  구독 가입 했습니다
Boycotting Beijing 2022 Olympics / 抵制2022北京冬奥会,湾湾和印度没来几个人就急得要死😂
