Video Caption,Comment
Beijing 2022 Women Sprint: Dorothea Wierer,dorettaaaa one  kissssss
Beijing 2022 Women Sprint: Dorothea Wierer,Welcome back Doro!
Beijing 2022 Women Sprint: Dorothea Wierer,Thanks to al the ladis
Beijing 2022 Women Sprint: Dorothea Wierer,Miss Wierer good race
Beijing 2022 Women Sprint: Dorothea Wierer,That performance in offhand (standing) was awesome to watch.  Congratulations on the medal
Beijing 2022 Women Sprint: Dorothea Wierer,"Beat LTH by 10sec, well done Doro👍"
Beijing 2022 Women Sprint: Dorothea Wierer,"Congratulations Doro! Awsome performance
And I know winning a Gold at the Olympics is really hard and that there are so many Amazing Girls competing
But you are a Legend Doro, you can without a Doubt win a Gold!
Looking forward seeing you compete in the rest of the Olympics and I will be rooting for you!
I Believe in the Queen!
💚🤍❤️💚🤍❤️💚🤍❤️💚🤍❤️💚🤍❤️💚🤍❤️💚🤍❤️💚🤍❤️"
Beijing 2022 Women Sprint: Dorothea Wierer,Woo! Finally an individual OG medal for Doro!
Beijing 2022 Women Sprint: Dorothea Wierer,Could you please publish the whole press with Doro? Was it short like in this video?
Beijing 2022 Women Sprint: Dorothea Wierer,Doro is awsome! Congratulations on the medal!
Beijing 2022 Women Sprint: Dorothea Wierer,Рада за Доротею!
Beijing 2022 Women Sprint: Dorothea Wierer,Fantastic Doro❤️
Beijing 2022 Women Sprint: Dorothea Wierer,https://youtu.be/IwQGH7meA_c
Beijing 2022 Women Sprint: Dorothea Wierer,Grandeeeeeee Dorooooo
