Video Caption,Comment
"'Peace, Friendship, Love' concert held for Beijing 2022, Paris 2024","Did the Athletes get to participate in this bs propaganda event in their ""bubbles""?? :P"
"'Peace, Friendship, Love' concert held for Beijing 2022, Paris 2024","Yes, China leading the way in terms of acceptance and love, also freedom and expression. Truly amazing"
"'Peace, Friendship, Love' concert held for Beijing 2022, Paris 2024",What a great way to hail Beijing winter Olympics!
"'Peace, Friendship, Love' concert held for Beijing 2022, Paris 2024",Peaceunitylove🙏🌹
"'Peace, Friendship, Love' concert held for Beijing 2022, Paris 2024",Practice what you preach. People Xinjiang province are in miserable condition.
"'Peace, Friendship, Love' concert held for Beijing 2022, Paris 2024","The world has great hopes from China. It has the vision and soul to make a better, peaceful, green world by removing poverty, corruption and death of the Capitalist system. 💖"
"'Peace, Friendship, Love' concert held for Beijing 2022, Paris 2024",👍💐🤗
"'Peace, Friendship, Love' concert held for Beijing 2022, Paris 2024",Pretty nice
"'Peace, Friendship, Love' concert held for Beijing 2022, Paris 2024",Sweet !
"'Peace, Friendship, Love' concert held for Beijing 2022, Paris 2024","The way to go, thank you Bejing and Paris."
"'Peace, Friendship, Love' concert held for Beijing 2022, Paris 2024",https://youtu.be/fQGqgVsPl8s
"'Peace, Friendship, Love' concert held for Beijing 2022, Paris 2024",Art should not be silent.
"'Peace, Friendship, Love' concert held for Beijing 2022, Paris 2024",伟大领袖马化腾主席一定会带领腾讯战胜产共谠解放全人类！！！
"'Peace, Friendship, Love' concert held for Beijing 2022, Paris 2024",Nice.
"'Peace, Friendship, Love' concert held for Beijing 2022, Paris 2024",💋💋💋💋💋💋💋💋💋india tibet hongkong taiwan xinjaing save the world save nepal laos sri lanka from debt trap project🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹
