Video Caption,Comment
How China maintains its olympic 'Beijing Bubble' for tens of thousands of athletes and staffers,This is really great for what they are doing! Job well done China!
How China maintains its olympic 'Beijing Bubble' for tens of thousands of athletes and staffers,I can smear n darken the winter video better than d.w if i want...
How China maintains its olympic 'Beijing Bubble' for tens of thousands of athletes and staffers,"U.s skier Aaron blanc Twitter account suspended after praised Beijing winter Olympic,,,,watch video shot by athlete instead by d.w journalist,just another BBC China hater"
How China maintains its olympic 'Beijing Bubble' for tens of thousands of athletes and staffers,Why media have to tell lies when commenting on China? Inadequate food..lies..and the screen  seems to be for media rather than the athletes cafeteria. I think the journalist was just late for hotel breakfast then limited selection left
How China maintains its olympic 'Beijing Bubble' for tens of thousands of athletes and staffers,No one cares. Six million people are dead because of negligence.
How China maintains its olympic 'Beijing Bubble' for tens of thousands of athletes and staffers,"Typical western report....lets just take that staff member's story as an example. 
""An organization staff member sacrifies her time with family to make sure thousands athelets from other countries safe from COVID-19""
""Because of CCP's requirement and the so-called Beijing Bubble, this organization staff member can only see her family through metal bars""

Feel the difference?"
How China maintains its olympic 'Beijing Bubble' for tens of thousands of athletes and staffers,Tzi is always tzi
How China maintains its olympic 'Beijing Bubble' for tens of thousands of athletes and staffers,Feel free to go out of the bubble if are cooperative to take 3 weeks of quarantine
How China maintains its olympic 'Beijing Bubble' for tens of thousands of athletes and staffers,This is the so-called concentration camp the western media is talking about
How China maintains its olympic 'Beijing Bubble' for tens of thousands of athletes and staffers,"美国运动员阿伦·布隆克点赞北京冬奥会 批美媒说假话
162,529次观看2022年2月14日"
How China maintains its olympic 'Beijing Bubble' for tens of thousands of athletes and staffers,"China and / or any country that is on the cross hairs of the US, will be subjected to their massive twisted propagandas. Such as...

Weapons of Mass Destruction - to invade Iraq.

# Weapons of Mass Tarrorists*- to invade Afghanistan.

# Weapons of Mass Distractions - to escalate the war tensions in Ukraine.

# Weapons of Mass Lies - to slander China's handling of Beijing Winter Olympics.

NB: Tarrorists* - Taliban terrorists"
How China maintains its olympic 'Beijing Bubble' for tens of thousands of athletes and staffers,"Again, DW is trying every opportunity to demonise Chyna.
You forgot to mention what if covid infected Olympians were disqualified after 4 long years of hard training?
Btw, you can roam around when the Olympic event is over.
Cheers sour 🍇!!!"
How China maintains its olympic 'Beijing Bubble' for tens of thousands of athletes and staffers,阴间滤镜完了又来模糊滤镜
How China maintains its olympic 'Beijing Bubble' for tens of thousands of athletes and staffers,Is China not ashamed of what they have done to world? Bat eater 🦇🤦‍♂️🤦‍♀️🤬
How China maintains its olympic 'Beijing Bubble' for tens of thousands of athletes and staffers,this is horrible what's the point this competition they should just cancel it
How China maintains its olympic 'Beijing Bubble' for tens of thousands of athletes and staffers,You win this time but I'll get you back
How China maintains its olympic 'Beijing Bubble' for tens of thousands of athletes and staffers,4 words: China new global leader  !!
