Video Caption,Comment
Beijing 2022: Meet the lone member of Jamaica's Olympic ski team,"Incredible...
🇿🇦"
Beijing 2022: Meet the lone member of Jamaica's Olympic ski team,I appreciate you helping out my country man.
Beijing 2022: Meet the lone member of Jamaica's Olympic ski team,Did he smoke before slopes 🤔
Beijing 2022: Meet the lone member of Jamaica's Olympic ski team,"There is 50,000 male ski racers in Eruope alone faster than this guys that don't get to go to Olympics. This is cute and all but he isn't a contender whatsoever so why is he there?"
Beijing 2022: Meet the lone member of Jamaica's Olympic ski team,"Whole world needs to thanks China for hosting Olympic, without China no Olympic"
Beijing 2022: Meet the lone member of Jamaica's Olympic ski team,"Though I'm Swiss, I will always cheer for both the Swiss and the Jamaican team. Ya man!"
Beijing 2022: Meet the lone member of Jamaica's Olympic ski team,Glad the others were smart enough not to go
Beijing 2022: Meet the lone member of Jamaica's Olympic ski team,"As much as this is great, plz stop covering the genocide games!"
Beijing 2022: Meet the lone member of Jamaica's Olympic ski team,Surprised china allowed another nations flag...i guess as long as they don't speak its ok
Beijing 2022: Meet the lone member of Jamaica's Olympic ski team,"China shame on you no touch short track gold medal Are u happy? That is the reason why China must not be the most powerful country in the world.
 ."
Beijing 2022: Meet the lone member of Jamaica's Olympic ski team,Wow 6 years lol
Beijing 2022: Meet the lone member of Jamaica's Olympic ski team,🇯🇲
Beijing 2022: Meet the lone member of Jamaica's Olympic ski team,"China is conducting a modern-day ethnic cleansing of the Uighurs in their homeland. Please boycott China in every possible way you can. don't buy, don't sell, don't consume anything Chinese . Please spread the word and disregard the Chinese communist party agents whose gonna flock here soon."
Beijing 2022: Meet the lone member of Jamaica's Olympic ski team,"As a jamaican i dont care if hes technically british, at least we get representation, and theres cases of some of our sprinters participating for summer games in countries like bahrain. Also anything lower than 20 degrees C is cold in my opinion so much respect to benjamin"
Beijing 2022: Meet the lone member of Jamaica's Olympic ski team,Nuff luv 💓💞
Beijing 2022: Meet the lone member of Jamaica's Olympic ski team,So cool. Good luck!
Beijing 2022: Meet the lone member of Jamaica's Olympic ski team,the comments prove why nobody takes you racist truckers seriously.
Beijing 2022: Meet the lone member of Jamaica's Olympic ski team,Why do we care about Jamaica? You're Canadian news show us Canada
Beijing 2022: Meet the lone member of Jamaica's Olympic ski team,He sounds British. Don't know why people represent the countries they wouldn't want to live in.
Beijing 2022: Meet the lone member of Jamaica's Olympic ski team,Coverage of the Olympics just shows that money trumps ethics
