Video Caption,Comment
"GLOBALink | Xi takes lead in bolstering Winter Olympic Games, Beijing 2022 preparations",Boycott Olympic Games in China! free the Uyghurs forever. history keeps repeating itself with those concentration camps where people are tortured and killed. And nobody does anything about it
"GLOBALink | Xi takes lead in bolstering Winter Olympic Games, Beijing 2022 preparations","😠😠😠 China, which cracks down on human rights, is not eligible to host the Olympics ❢❢❢ ★★★  😡😡😡😠😠😠😤😤😤"
"GLOBALink | Xi takes lead in bolstering Winter Olympic Games, Beijing 2022 preparations","😤😤😤 ★★★  China, which cracks down on human rights, is not eligible to host the Olympics ❢❢❢ ★★★ 😠😠😠"
"GLOBALink | Xi takes lead in bolstering Winter Olympic Games, Beijing 2022 preparations","😡😡😡 ★★★  China, which cracks down on human rights, is not eligible to host the Olympics ❢❢❢ ★★★  😤😤😤"
"GLOBALink | Xi takes lead in bolstering Winter Olympic Games, Beijing 2022 preparations","★★★  China, which cracks down on human rights, is not eligible to host the Olympics ❢❢❢ ★★★"
"GLOBALink | Xi takes lead in bolstering Winter Olympic Games, Beijing 2022 preparations",Loves China from Indonesia🇨🇳🇲🇨😘
"GLOBALink | Xi takes lead in bolstering Winter Olympic Games, Beijing 2022 preparations",South Korea did better than this
"GLOBALink | Xi takes lead in bolstering Winter Olympic Games, Beijing 2022 preparations","President Xi humbly and quietly lead China to a better future. 
Cool video. Thank you."
"GLOBALink | Xi takes lead in bolstering Winter Olympic Games, Beijing 2022 preparations",WOW SO BEAUTIFUL...LONG LIVE PRES.XI .LONG LIVE CHINA.
"GLOBALink | Xi takes lead in bolstering Winter Olympic Games, Beijing 2022 preparations","President Xi Jinping, I wish you good luck for the Winter Olympics 2022. If the American athletes enjoy the Olympics, they will thank you, President Xi Jinping -- I wish you peace and prosperity -- Victor Alexander"
"GLOBALink | Xi takes lead in bolstering Winter Olympic Games, Beijing 2022 preparations","习近平主席，祝你2022年冬奥会好运。如果美国运动员喜欢奥运会，他们会感谢你，习近平主席——祝你和平与繁荣——维克多·亚历山大 Xíjìnpíng zhǔxí, zhù nǐ 2022 nián dōng ào huì hǎo yùn. Rúguǒ měiguó yùndòngyuán xǐhuān àoyùnhuì, tāmen huì gǎnxiè nǐ, xíjìnpíng zhǔxí——zhù nǐ hépíng yǔ fánróng——wéi kè duō·yàlìshāndà"
"GLOBALink | Xi takes lead in bolstering Winter Olympic Games, Beijing 2022 preparations","I’m excited for this winter sport 🤗🥶
I can’t wait….. hurry up Feb04 pls 🤗
the Beijing Olympic Games 2022
Will, gonna be the best winter sports again in history 🤟😎
Go go go 🇨🇳 
XièXiè for hosting the winter sports and for welcoming the world 🌎😇🤗"
"GLOBALink | Xi takes lead in bolstering Winter Olympic Games, Beijing 2022 preparations","評論區挺多AI帳號, 不知是否從屬CIA"
"GLOBALink | Xi takes lead in bolstering Winter Olympic Games, Beijing 2022 preparations","So this is the Xi Jing Ping games?   Like it was Putin's Sochi's games?   Interesting. The competition was not fierce.   No-one else wanted to host it.   It is not seen as a very good business decision because of IOC's lack of practicality with regards financial aspects for the games.  The IOC needs a paradigm shift and get off its arrogance horse.  Make it about the athletes and their achievements and not about leaders and politics.  If the Olympics is supposed to be about everybody, it should not be about Xi Jing Ping.  That defeats the entire notion of the Olympics.  Also the final welcoming of everyone means just athletes but no spectators."
"GLOBALink | Xi takes lead in bolstering Winter Olympic Games, Beijing 2022 preparations",The world must build on the excitement of progress for human kind!
"GLOBALink | Xi takes lead in bolstering Winter Olympic Games, Beijing 2022 preparations","a country who have no human right, no justice for women right, no animal right don't deserve it IOC are sold. where's is Peng Shua?"
"GLOBALink | Xi takes lead in bolstering Winter Olympic Games, Beijing 2022 preparations","Great China!!!
From Brazil"
"GLOBALink | Xi takes lead in bolstering Winter Olympic Games, Beijing 2022 preparations",Love and respect from 🇵🇰
"GLOBALink | Xi takes lead in bolstering Winter Olympic Games, Beijing 2022 preparations","Who is the mascot
Any gusses"
"GLOBALink | Xi takes lead in bolstering Winter Olympic Games, Beijing 2022 preparations",I boycott  china and olympics
