Video Caption,Comment
China getting ready for Beijing 2022 Winter Olympics - BBC News,China support Argentina to claim back their Island.
China getting ready for Beijing 2022 Winter Olympics - BBC News,"There were a few  countries boycotting the 2022 Beijing Winter Olympics game, based on the excuses of their forged Xingjiang stories, claiming the Xinjiang ISIS members lost their human rights of killing others, while more than 160 courtiers supporting the world humanity unity event."
China getting ready for Beijing 2022 Winter Olympics - BBC News,"China stole Korean culture. The top of the hanbok became shorter and shorter, and the present form was completed in the 19th century. This is evidence that China stole the clothing culture developed by Korea.

Mongolia's traditional clothes are also called the costumes of ethnic minorities in China.
According to China's logic, the world's traditional clothing belongs to the United States.
Of course, there is also the Chinese influence. However, it is Korea that independently developed it and made it into its present form.

China is ashamed of its own culture of bald and stealing the culture of neighboring countries.

https://youtu.be/ZbRv2DLB9NA
Holding hands and dancing around in a circle is also 'ganggangsullae' and is a Korean culture. It is a Korean culture that has been registered with UNESCO.
The origin is that they hold hands and dance around a fire on the shore to make the number of Korean soldiers appear larger than the number of japanese soldiers.This dance on the brightest full moon day is also because it has to be seen by the Japanese military.

https://youtu.be/Hcwv6srGG7E
Korea's 'Samulnori' was also stolen.
Turning a hat with a long string is also Korean culture. It is registered in UNESCO. It is a Korean culture that participated in global events.

The 'janggu', which is an hourglass-shaped instrument lying on its side, is also a traditional Korean instrument. It has been proven that it is a Korean musical instrument as a relic that is older than the Chinese claim. (Mural paintings or dolls made of clay)

https://youtu.be/FgUxBnvYrd0
Among the foods, they stole kimchi and gimbap, and even stole Korean culture from various fields, from the traditional Korean game 'Yutnori' to the drumming dance 'Samgomu'.

https://youtu.be/ayGl-igrwy8
BTS once decorated a stage with traditional Korean dances 'Samgomu' and 'Samulnori','Cheoyongmu' (dance with a mask and long cloth in hands)

During the Tiananmen Square incident, why does China burn all of its own culture and steal the culture of other countries?"
China getting ready for Beijing 2022 Winter Olympics - BBC News,"If we start constructing like these, there is no more winter in the future due to global warming! The more you construct, the more CO2 is produced."
China getting ready for Beijing 2022 Winter Olympics - BBC News,Fck China for spreading COVID.  Taiwan is same Han Chinese as communist China thus should burn down TSMC and give it to China.
China getting ready for Beijing 2022 Winter Olympics - BBC News,The association that organizes the Olympic Games said it has launched a mobile game
China getting ready for Beijing 2022 Winter Olympics - BBC News,Where all the Uighur and Falon Gong people at? CCP Wuhan Virus Genocide games. Where CCP lovers meet. Everyone hates the CCP murder machine.
China getting ready for Beijing 2022 Winter Olympics - BBC News,1:40 Guy on left looks like Xi Jinping 😆
China getting ready for Beijing 2022 Winter Olympics - BBC News,bbc 你好好学学摄影吧
China getting ready for Beijing 2022 Winter Olympics - BBC News,So they are holding winter olympics at the birth place of covid. Nice.
China getting ready for Beijing 2022 Winter Olympics - BBC News,Who cares about the positive side of China! Come on! Just keep revealing the dark shades there please! Lol
China getting ready for Beijing 2022 Winter Olympics - BBC News,"And meanwhile, millions of people are slaves, die having their organs harvested so the the CCP, the IOC and NBC can profit.  I weep for the Chinese citizens."
China getting ready for Beijing 2022 Winter Olympics - BBC News,Boycott Olympic Games in China! free the Uyghurs forever. history keeps repeating itself with those concentration camps where people are tortured and killed. And nobody does anything about it
China getting ready for Beijing 2022 Winter Olympics - BBC News,Wishing all the best of luck to Beijing 🇨🇳💕💪👍
China getting ready for Beijing 2022 Winter Olympics - BBC News,"We are watching, they are building and building 👍 well done Beijing 🇨🇳👍💕"
China getting ready for Beijing 2022 Winter Olympics - BBC News,"BOYCOTT NBC
BOYCOTT OLYMPICS
BOYCOTT CHINA COMMIES
🇺🇲STAND FOR AMERICA🇺🇲"
China getting ready for Beijing 2022 Winter Olympics - BBC News,"Oppose these corrupt regimes (CCP and IOC) with ""The Great Turn Off"".
Boycott Emporer Xi's Propaganda Games any Sponsors supporting them!"
China getting ready for Beijing 2022 Winter Olympics - BBC News,"IF WE DO GO TO WAR WITH CHINA, ALL WE NEED TO HAVE IS A BIG T-SHIRT CANNON FULL OF CORONAVIRUS.
   THE CHINESE WILL TAKE ONE LOOK AT THAT AND LOCK DOWN THE WHOLE COUNTRY.

IT'S NOT IF YOU GET COVID,
   IT'S WHEN YOU GET COVID!
   OR SHOULD I SAY GET COVID FOR THE THIRD AND FOURTH TIME. 
   COVID IS NOT GOING AWAY.

THE GREAT COVID INDUSTRIAL COMPLEX IS A GOVERNMENT AGENCY THAT'S LIKE A SELF-LICKING ICE CREAM CONE. 
   IT WILL FEED ON ITSELF FOREVER.
    THIS LOCKDOWN STUFF WITH THE CHINESE WINTER OLYMPICS IS ABSOLUTELY NUTS. 
  IT'S LIKE THE ATHLETES ARE  RESPONDING TO THE GREAT CALL TO COME AND ISOLATE IN A HOTEL ROOM AND MAYBE GET IN FRONT OF THE CAMERAS AND WIN. 
   OH!, AND WE'RE GOING TO TEST YOU EVERY 5 SECONDS AND IF WE SEE A POSITIVE TEST RESULT YOU'RE BANISHED FOREVER
   WHAT A MESS.
   IF I WAS AN ATHLETE I'D SAY FORGET IT."
China getting ready for Beijing 2022 Winter Olympics - BBC News,"I start to worried about the future of this reporter for being so ""positive"" on China."
