Video Caption,Comment
The technology of the Beijing Winter Olympics amazed me!,That ramp with the nuclear-tower backdrop looks like a ski-jump with Beijing Biden's crack-pipes in the background. Most disgraceful games of ALL TIME!! These Beijing games have no honor!! Technology?? LOL Everything they have looks like it will be crammed in a Walmart Returns buggy soon. 😆😂🤣
The technology of the Beijing Winter Olympics amazed me!,Fake snow plowed over a nature preserve. Great job China
The technology of the Beijing Winter Olympics amazed me!,Great video!
The technology of the Beijing Winter Olympics amazed me!,Watching the speed of economic and technological advancement in China explains why west feel so threatened...west is so fucked for good 👍
The technology of the Beijing Winter Olympics amazed me!,"On western media you’re all pawns, sad enough"
The technology of the Beijing Winter Olympics amazed me!,Look and no Uighurs around! That is a nice place indeed.
The technology of the Beijing Winter Olympics amazed me!,Beijing is forcing everyone to hand in their electronics .. use a burner phone .. all the blogs.. posts .. media Must hand in their footage n get approval before releasing it .. everyone will be tracked .. everything will be scrubbed n cleaned up by Beijing’s government before releasing it to the world!! espionage at its finest!!
The technology of the Beijing Winter Olympics amazed me!,Welcome to the Genocide prison like Bubble 2022 Beijing Winter Olympics. FAKE SNOW WITH REAL GENOCIDE!!!
The technology of the Beijing Winter Olympics amazed me!,It is a SHAME you decided to accept CCP regime MONEY in order to promote their GARBAGE propaganda. Wonder if lockdowns in Beijing for the ZERO CCP VIRUS also amazed you? Get ready to get an anus CCP virus testing swab 🤣🤣🤣
The technology of the Beijing Winter Olympics amazed me!,"No body cares, stop crimes first."
The technology of the Beijing Winter Olympics amazed me!,Fake technologies
The technology of the Beijing Winter Olympics amazed me!,Can't wait to see figure ice skating
The technology of the Beijing Winter Olympics amazed me!,"These technologies are all might have been imported, you even be ""amazed"" by the technologies invented purely in China such as Tiger Chair, organ harvesting, mind monitoring, water torture, hanging to ceiling from thumbs, group rape, fabrication, genocide of Uyghurs, separation of families, destroy wild life, pollute environment, separate families, destroys its citizens dignity..."
The technology of the Beijing Winter Olympics amazed me!,"And meanwhile, millions of people are slaves, die having their organs 
harvested so the the CCP, the IOC and NBC can profit.  I weep for the 
Chinese citizens."
The technology of the Beijing Winter Olympics amazed me!,too bad it's in a repressive communist hellhole.
The technology of the Beijing Winter Olympics amazed me!,I will never understand the sport of curling.....
The technology of the Beijing Winter Olympics amazed me!,I drove at some old part of the city in Florida. The road keeps old brick in some parts. It was richest people's road when it was build. It is very rough to drive on and becomes the worst part now-a-day even for poor people. Human life is fundamentally  improved by  new techs but not by money. Chinese new techs are great contribution to human society. Any activities to block any new techs are against human society.
The technology of the Beijing Winter Olympics amazed me!,New level of human life is labeled in Beijing Olympics.
The technology of the Beijing Winter Olympics amazed me!,Any new tech is great contribution to human society.
The technology of the Beijing Winter Olympics amazed me!,This is Huawei power!!
