Video Caption,Comment
朱易:不后悔选择代表中国参赛 感谢队友给她支持和鼓励 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,加油朱易!!!
朱易:不后悔选择代表中国参赛 感谢队友给她支持和鼓励 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,你的水平在美國强手林立的國家你有參賽資格？🤣🤣🤣
朱易:不后悔选择代表中国参赛 感谢队友给她支持和鼓励 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,👍🏻👍🏻👍🏻💐💐💐
朱易:不后悔选择代表中国参赛 感谢队友给她支持和鼓励 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,朱易，你已经很棒了  感謝為祖國出戰  👍👍👍👍💖💖
朱易:不后悔选择代表中国参赛 感谢队友给她支持和鼓励 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,作为运动员，健康是最重要的，努力做好自己就行了。
朱易:不后悔选择代表中国参赛 感谢队友给她支持和鼓励 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,朱易，你已经很棒了👍🏻继续加油💪🏻我们支持你👏🏻
朱易:不后悔选择代表中国参赛 感谢队友给她支持和鼓励 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,朱易，一个被她父亲暗箱操作送上奥运赛场的无奥运积分无国际大赛记录无世界排名的美国业余水平运动员，因为她中国2亿网民质疑中国冰协不敢公开的选拔赛过程，为了她中国政府倒行逆施，删贴关博甚至以官方名义恐吓民众不得讨论此事，为了她花钱买水军在外网为她洗白，她的父亲朱松纯真的就是救中国的大救星吗?还是民意在中国官僚阶层眼里就不值得一提?为了满足一个中文都不流利的美国业余运动员的虚荣心，不惜强奸中国数亿百姓的民心民意，太嚣张无耻了，上帝让谁灭亡，必先会让其疯狂
朱易:不后悔选择代表中国参赛 感谢队友给她支持和鼓励 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,点赞👍
朱易:不后悔选择代表中国参赛 感谢队友给她支持和鼓励 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,只要站上了赛场，你们就是最棒的👍希望每位奥运健儿都能拥有满意的成绩，加油💪！为冬奥加油！为北京喝彩！为中国喝彩！筑梦冬奥，拥抱冬奥，一起为冬奥加油！
朱易:不后悔选择代表中国参赛 感谢队友给她支持和鼓励 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,运动员尽力就好了，即使没有拿到奖牌，也值得敬重，除了男足。
朱易:不后悔选择代表中国参赛 感谢队友给她支持和鼓励 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,"朱易加油
下次冬奧再代表中國參賽"
朱易:不后悔选择代表中国参赛 感谢队友给她支持和鼓励 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,四年後再來....加油👍👍👍
