Video Caption,Comment
Global sponsors quiet ahead of Beijing Winter Olympics - BBC News,感觉你们真的很下贱和下作啊，问问你们来参赛的运动员行吗？
Global sponsors quiet ahead of Beijing Winter Olympics - BBC News,"BBC:” Chinese Olympic may have a shortage of snow…..”
Actual: Games were postponed due to snow storm
😂😂😂😂😂😂😂😂😂😂😂😂"
Global sponsors quiet ahead of Beijing Winter Olympics - BBC News,"Who are the sponsors, their names needed so they can be blacklisted"
Global sponsors quiet ahead of Beijing Winter Olympics - BBC News,"F. .king Mr. Phoo's game!
All medals give to F. . King China!
We don't need Mr Phoo medal!"
Global sponsors quiet ahead of Beijing Winter Olympics - BBC News,"Complaints about the food inside the ""closed loop"" have been mounting, with athletes, media and other personnel posting on social media about the lack of quality, variety, or healthy choices at the available restaurants, including the canteen at the Main Media Centre (MMC). One hotel manager even admitted to CNN that the food in one of their own restaurants is “disgusting.” Fresh fruit is hard to find, and no snack items or hot food are allowed to be delivered to guests into the bubble from outside. The only shop in the MMC sells low-quality packaged snacks, a small number of toiletry items, and Chinese beer – and the shelves are often half-empty. Those who were able to visit Beijing before the pandemic have lamented their disappointment about the poor choices available in a city that is famous for its excellent food. Even the much-touted, robot-powered restaurant at the MMC is often overcrowded with people taking videos for social media, and they warn customers that it could take 40 minutes to be served. And despite the robot-powered food delivery system – which lowers plates of food via a wire from purple pods that slide along the ceiling – the rest of the operation still runs in a far less futuristic way, with customers paying in cash or credit card at the till and staff in some sections hand-delivering the trays of lukewarm dumplings that were made by the robots. The robot cocktail bar is often closed, and on several visits, the machines had run out of ingredients, so the staff on site reverted to making the drinks the old-fashioned way. The dinner buffet at the Shangri-La Hotel – which includes good quality Chinese dishes and international options – and the restaurant at the Marco Polo Hotel are among the only places inside the ""closed loop"" escaping major criticism of their food. But they come at a cost -- notably a price tag of more than $60 per head for the Shangri-La buffet."
Global sponsors quiet ahead of Beijing Winter Olympics - BBC News,China did China.
Global sponsors quiet ahead of Beijing Winter Olympics - BBC News,Taiwan is Real China
Global sponsors quiet ahead of Beijing Winter Olympics - BBC News,"I'm korean.
I would like to hear the opinions of the British people.
What do you think about the evil that a short track speed skating  referee named 'Peter Worth' from your country disqualified two Korean and Hungarian athletes for bias and gave a gold medal to a Chinese athlete?"
Global sponsors quiet ahead of Beijing Winter Olympics - BBC News,"they stealing medal, disqualified for unknown reasons. Not can see ""fairness"" or ""justice"" and chinese employees just hanging around youtube, writing good comments, pretending European... This oylimpic is suck!!! Real suck!!"
Global sponsors quiet ahead of Beijing Winter Olympics - BBC News,Hail to master Xi lol
Global sponsors quiet ahead of Beijing Winter Olympics - BBC News,Fake Olympic
Global sponsors quiet ahead of Beijing Winter Olympics - BBC News,BBC=British Bullshit Chanel
Global sponsors quiet ahead of Beijing Winter Olympics - BBC News,"Actually, I want to know why the global sponsors keep silent in the face of fake news! Why no one asks - why Christian countries are protecting Chinese Muslims, while Middle East Muslim countries are embracing Beijing!"
Global sponsors quiet ahead of Beijing Winter Olympics - BBC News,UK's like a pet dog of USA
