Video Caption,Comment
Team USA takes off for the 2022 Beijing Winter Olympics,olympic beijing china x us 800000 2019 2020 2021 2022 covid19 war
Team USA takes off for the 2022 Beijing Winter Olympics,Go and enjoy free Chinese food.
Team USA takes off for the 2022 Beijing Winter Olympics,It sucks that Olympic is held in China. Disgusting fake country
Team USA takes off for the 2022 Beijing Winter Olympics,Fck China for spreading COVID.  Taiwan is same Han Chinese as communist China thus should burn down TSMC and give it to China.
Team USA takes off for the 2022 Beijing Winter Olympics,Beijing Welcomes everyone!
Team USA takes off for the 2022 Beijing Winter Olympics,I think i will invite hitler over to watch the games. Maybe he can explain what kind of drugs they will dose their food with🙂
Team USA takes off for the 2022 Beijing Winter Olympics,Mrumfff mrummff hmmmrumf ... mask muffle speak
Team USA takes off for the 2022 Beijing Winter Olympics,Xi didn't invite Biden so Biden got angry and suddenly boycott came to his brain🤣🤣COMEDY
Team USA takes off for the 2022 Beijing Winter Olympics,It's a shame that China doesn't even care about it's soldiers people who got killed in galwan valley are not even acknowledge it what can you expect with xi jing ping pong🏓
Team USA takes off for the 2022 Beijing Winter Olympics,Hahaha lol no big names for team USA this year
Team USA takes off for the 2022 Beijing Winter Olympics,Go got gold!
Team USA takes off for the 2022 Beijing Winter Olympics,"not welcome ,  deeply from my heart !   why your gov boycott ... then coming again ?"
Team USA takes off for the 2022 Beijing Winter Olympics,Don't mention 'Genicide'!
Team USA takes off for the 2022 Beijing Winter Olympics,They are complicit in Genocide.
Team USA takes off for the 2022 Beijing Winter Olympics,Go team USA! 🇺🇸
Team USA takes off for the 2022 Beijing Winter Olympics,"I'm happy to see that most Americans are kind and smart, way smarter than the US government"
Team USA takes off for the 2022 Beijing Winter Olympics,Free the Uyghurs and Hong Kong!
Team USA takes off for the 2022 Beijing Winter Olympics,"Welcome to Beijing, wish you all have a great Game and a good time 👍"
Team USA takes off for the 2022 Beijing Winter Olympics,Petition American government to pull out athletes from China in boycott
Team USA takes off for the 2022 Beijing Winter Olympics,Shame on the American athletes who attend the games in Beijing. This is like going  to a Olympics in Berlin before WW2. I hope the whole thing is a disastrous debacle. Maybe some of you will be treated to the wonderful CCP justice system.
