Video Caption,Comment
How is Beijing hosting the Winter Olympics with no snow?,No snow in Beijing?  Have you seen it on TV??  Some players complaint about being too cold and asked to reschedule to earlier time in order to stay warm.  Funny video.
How is Beijing hosting the Winter Olympics with no snow?,Real and heavy snow in Beijing Olympic today.
How is Beijing hosting the Winter Olympics with no snow?,Funny. It is snowing now in beijing. check the weather yourself.
How is Beijing hosting the Winter Olympics with no snow?,It's over and it's all are fault all of us....
How is Beijing hosting the Winter Olympics with no snow?,"Don’t worry guys.
China can make like real snow imitation like other item. And they will write ‘made in China’ on snow. 
Problem solved"
How is Beijing hosting the Winter Olympics with no snow?,No one's blaming Trump????
How is Beijing hosting the Winter Olympics with no snow?,"at the onset of the bidding for these 2022 games, beijing was considered a longshot.
oslo, stockholm, krakow, were frontrunners with backgrounds in hosting winter sport disciplines-
in natural snow conditions. 
these cities dropped out of the '22 race, primarily due to the cost of organizing the games.
beijing narrowly won these 2022
olympics (4 votes) over almaty, the capital city of kazakhstan.
the ioc members that chose beijing were well aware of all the issues, weather, politics, etc.
let the snow cannons begin."
How is Beijing hosting the Winter Olympics with no snow?,What a shame here in Texas it’s one big skating rink right now
How is Beijing hosting the Winter Olympics with no snow?,"Funny thing, it just snowed in Beijing last week"
How is Beijing hosting the Winter Olympics with no snow?,a disgrace free tibet
How is Beijing hosting the Winter Olympics with no snow?,Who cares should be boycotted it is shamefull to prop up the CCP considering its nazi like similarities
