Video Caption,Comment
Olympic Vlog Day 3 || Beijing Winter Olympics || Freeski Halfpipe,"You having such an experience,  really envious ！！！"
Olympic Vlog Day 3 || Beijing Winter Olympics || Freeski Halfpipe,Thanks for taking us along on your awesome journey! Go Team USA!!
Olympic Vlog Day 3 || Beijing Winter Olympics || Freeski Halfpipe,加油😊不要受伤，玩的开心❤️
Olympic Vlog Day 3 || Beijing Winter Olympics || Freeski Halfpipe,"Nice vlog. Welcome to Beijing. Hope you enjoy the games,and have fun in Bejing. Biden's boycott means nothing eventually."
Olympic Vlog Day 3 || Beijing Winter Olympics || Freeski Halfpipe,seems the sky is blue for real
Olympic Vlog Day 3 || Beijing Winter Olympics || Freeski Halfpipe,Solid insight video David.  Glad you guys are having fun and got some laps in today.  Good luck in a few days! We're rooting for you and your teammates!  Go Team USA!
Olympic Vlog Day 3 || Beijing Winter Olympics || Freeski Halfpipe,Damn MSM kept telling us we are boycotting Beijing this time.
Olympic Vlog Day 3 || Beijing Winter Olympics || Freeski Halfpipe,Cool bro ❤️
Olympic Vlog Day 3 || Beijing Winter Olympics || Freeski Halfpipe,Cool post man keep this coming!! Red great wall sucks!
Olympic Vlog Day 3 || Beijing Winter Olympics || Freeski Halfpipe,"I'll be watching you guys on Feb.17, good luck."
Olympic Vlog Day 3 || Beijing Winter Olympics || Freeski Halfpipe,You are no Billy Strings on the Banjo:) But looking forward to one day watching a ski video with your mastered Banjo jams playing.  Thanks for all the post.  Love seeing what is happening
Olympic Vlog Day 3 || Beijing Winter Olympics || Freeski Halfpipe,Very good vibe！Banjo！
Olympic Vlog Day 3 || Beijing Winter Olympics || Freeski Halfpipe,love the massage
Olympic Vlog Day 3 || Beijing Winter Olympics || Freeski Halfpipe,cant wait 🙌
Olympic Vlog Day 3 || Beijing Winter Olympics || Freeski Halfpipe,Thanks for the vlogs again David get the win champ
Olympic Vlog Day 3 || Beijing Winter Olympics || Freeski Halfpipe,Best inside look so far.  The practice run is dope.  Keep more coming bro.
Olympic Vlog Day 3 || Beijing Winter Olympics || Freeski Halfpipe,I'm taking notes from Birk on the mic placement on the beanie
Olympic Vlog Day 3 || Beijing Winter Olympics || Freeski Halfpipe,Good luck from 🇪🇸🇪🇸🙌🙌
