Video Caption,Comment
Team USA wins 2 more gold medals at Beijing Olympics l GMA,He is Chinese
Team USA wins 2 more gold medals at Beijing Olympics l GMA,"Now:America wins 2 more gold.
1 month later: Asian hate crime rise again."
Team USA wins 2 more gold medals at Beijing Olympics l GMA,"Very good job Nathan Chen, thanks for representing team 🇺🇸 ."
Team USA wins 2 more gold medals at Beijing Olympics l GMA,Asian Americans are amazing!
Team USA wins 2 more gold medals at Beijing Olympics l GMA,He is Chinese
Team USA wins 2 more gold medals at Beijing Olympics l GMA,🤮🤮🤮🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈
Team USA wins 2 more gold medals at Beijing Olympics l GMA,"👑Congratulations👑
Figure skater Nathan Chen(🥇Olympic gold medal🥇)　
It’s good to see so much positivity from all unknown people.Thanks."
Team USA wins 2 more gold medals at Beijing Olympics l GMA,Жополизы  sosite  Her
Team USA wins 2 more gold medals at Beijing Olympics l GMA,NO MORE HATE FOR ASIAN AMERICANS COMMUNITY ( ALTHOUGH NATIVE AMERICANS AND INUITS ARE ASIAN THOUGH) ... ASIAN LIVE MATTER
Team USA wins 2 more gold medals at Beijing Olympics l GMA,"Why no Whites or Blacks told CHEN and KIM  to ""Go Back to China or Korea ? "" Oh, because they won a gold medal for the racist USA ? 😆😂🤣😅"
Team USA wins 2 more gold medals at Beijing Olympics l GMA,"但是這次北京體育大會爲什麼看不到臺灣國呢？
中國是因爲害怕纔沒出來的嗎？ 沒有冬季運動選手嗎？"
Team USA wins 2 more gold medals at Beijing Olympics l GMA,"Glory be to God almighty after many years, finally i have found joy with the help of DR JADU OINDIN on YouTube, the great herbal doctor help me cure my HSV 2, with the herbal medicine product I ordered. I will forever be greatful to DR JADU OINDIN on YouTube thanks 🙏  herpes gone finally ….❤️😎"
Team USA wins 2 more gold medals at Beijing Olympics l GMA,"Glory be to God almighty after many years, finally i have found joy with the help of DR JADU OINDIN on YouTube, the great herbal doctor help me cure my HSV 2, with the herbal medicine product I ordered. I will forever be greatful to DR JADU OINDIN on YouTube thanks 🙏  herpes gone finally ….❤️😎"
Team USA wins 2 more gold medals at Beijing Olympics l GMA,美国人不行啊只能靠中国人拿金牌
Team USA wins 2 more gold medals at Beijing Olympics l GMA,fantastic .....
Team USA wins 2 more gold medals at Beijing Olympics l GMA,ISN'T IT THAT NATHAN IS STILL HAVING CHANCE OF WINNING GOLD IN THE TEAM COMPETITION AFTER RUSSIA IS INVOLVED IN DOPING TEST?
Team USA wins 2 more gold medals at Beijing Olympics l GMA,"The alternative clip of the flaming arrow at the 1992 Olympic Games Barcelona
https://www.youtube.com/watch?v=IRTeOyf2KLI"
Team USA wins 2 more gold medals at Beijing Olympics l GMA,Love him from China
Team USA wins 2 more gold medals at Beijing Olympics l GMA,Way to go
Team USA wins 2 more gold medals at Beijing Olympics l GMA,💖🏅💖🏅 🇺🇸
