Video Caption,Comment
Figure Skating - Ice Dance highlights | Beijing 2022 Winter Olympics,who are the second two people?
Figure Skating - Ice Dance highlights | Beijing 2022 Winter Olympics,"TUTTI,  dal podio,  sono stati meravigliosi,  meritevoli,  bravi,  belli,   ....
For all of them,  CONGRATULATIONS   .
Beautiful sport."
Figure Skating - Ice Dance highlights | Beijing 2022 Winter Olympics,All participants were so beautiful in the rink!
Figure Skating - Ice Dance highlights | Beijing 2022 Winter Olympics,Thank God. They beat the Russians that intentionally and knowingly cheated through doping.
Figure Skating - Ice Dance highlights | Beijing 2022 Winter Olympics,"what a shame its ok to cheat these days.......

WHY EVEN BOTHER WAISTING YOUR TIME? 

how many years did you train for this to just get robbed from some dirty cheating junkies?"
Figure Skating - Ice Dance highlights | Beijing 2022 Winter Olympics,OMG! Perfect/unique! 🏆💐
Figure Skating - Ice Dance highlights | Beijing 2022 Winter Olympics,"SVP Montrez le programme complet, sans commentaires et sans coupures. Nous aimons regarder tout en détail, la danse, les ralentis, les salutations à la foule, les embrassades émouvantes, le retour auprès des coaches, l'attente des résultats et le bonheur ou les pleurs.
Veuillez bien libérer les vidéos pour que nous puissions voir et écouter les commentaires en anglais qui sont toujours discrets et instructifs, (et uniquement sur les ralentis !!) Merci pour la danse sur glace.  (Sorry this comments was for Eurosport)"
Figure Skating - Ice Dance highlights | Beijing 2022 Winter Olympics,Nádherné 👏👍❤️🌹
Figure Skating - Ice Dance highlights | Beijing 2022 Winter Olympics,Заслужено!!! Болела за них!!!!
Figure Skating - Ice Dance highlights | Beijing 2022 Winter Olympics,"Gabriella et Guillaume 
Je vous aime😍😍😍"
Figure Skating - Ice Dance highlights | Beijing 2022 Winter Olympics,😍😍😍
Figure Skating - Ice Dance highlights | Beijing 2022 Winter Olympics,Congrats France
Figure Skating - Ice Dance highlights | Beijing 2022 Winter Olympics,Need to watch full event pls...also upload men's SP competition. Thx
Figure Skating - Ice Dance highlights | Beijing 2022 Winter Olympics,Please upload the Rhythm Dance and Free Dance of the medallists!!
Figure Skating - Ice Dance highlights | Beijing 2022 Winter Olympics,Please show full programs
Figure Skating - Ice Dance highlights | Beijing 2022 Winter Olympics,It was beautiful. They deserve Gold. And I hope One Sport can upload the whole event faster. Thank you!
Figure Skating - Ice Dance highlights | Beijing 2022 Winter Olympics,Full event please!!!!!
Figure Skating - Ice Dance highlights | Beijing 2022 Winter Olympics,Beautiful performance 😍
