Video Caption,Comment
What The Chinese Think of The US Boycott of Beijing Olympics and Uyghur Issues | Street Interview,"The opinions expressed in this video are those of individual interviewees alone and do not reflect the views of ASIAN BOSS or the general Chinese population. We tried our best to get balanced perspectives but it wasn't easy. In fact, doing these street interviews in China is super difficult for us because we NEVER ask for permissions from the government and aren’t registered as journalists. So we hope you guys at least get something out of it. Also check out our street interview on how Taiwanese people feel about China if you haven't already: https://youtu.be/C0YGLDafG1o"
What The Chinese Think of The US Boycott of Beijing Olympics and Uyghur Issues | Street Interview,5：00 respect我儿嚯？？
What The Chinese Think of The US Boycott of Beijing Olympics and Uyghur Issues | Street Interview,It's sad to see the success of the communist government controlling their worldview by prohibition and deletion of facts and information.
What The Chinese Think of The US Boycott of Beijing Olympics and Uyghur Issues | Street Interview,4:55 The bro is so funny. I love what he said haha. bravo.
What The Chinese Think of The US Boycott of Beijing Olympics and Uyghur Issues | Street Interview,封面是大痔疮？
What The Chinese Think of The US Boycott of Beijing Olympics and Uyghur Issues | Street Interview,ber些 我儿豁 我龙哥
What The Chinese Think of The US Boycott of Beijing Olympics and Uyghur Issues | Street Interview,"1:05 hey I like that you say it proud, but the sub is missing something."
What The Chinese Think of The US Boycott of Beijing Olympics and Uyghur Issues | Street Interview,"Not a single one have anything to say about human rights issue.... apparently human rights issues are ok, but speaking out about it is shameful.     The gaslight is real."
What The Chinese Think of The US Boycott of Beijing Olympics and Uyghur Issues | Street Interview,"This time, I have to give appreciation to Asian Boss for Neutral Journalistic. Thank you so much.

This is also proof that mostly western Mainstream Media are not telling the truth, or sometime they are twisting the fact they receive.
I am also Chinese overseas, and believe most Chinese Mainland people are happy and their quality life is better and better. 
This is because of the work of Chinese Communist Party. 
Look how great the comments of those people in the street in Shanghai, showing the quality of their education and manner. 

For those who are still believe that communist regime are always bad, then you have to realize that you are consuming too much Western Mainstream Media or your own government are not capable what China doing right now.
The narrative of bad China, bad communist are coming from the point of view Western Media and politician who work based on popularity contest, not capability contest. 

We all human being, and I believe mostly people are good, the mostly problem in this world in many country is uncapable Politician (evil) and Media. 
So, I hope Asian Boss could be the solution for better quality media, not working as provocative media who work just for money amd creating polarization and disintegration. East and West should work together."
What The Chinese Think of The US Boycott of Beijing Olympics and Uyghur Issues | Street Interview,"I suggest you guys interview people who live in small cities, instead of citizens in Shanghai or Beijing who can afford their expensive spending.  The pink hair can afford 4K$ jeans, while many of others can only earn 4K¥(630$) a month

Obviously, they are satisfied about the Chinese society, because they can always have a happy day though they lack of freedom"
What The Chinese Think of The US Boycott of Beijing Olympics and Uyghur Issues | Street Interview,I totally agree with  the guy with pink hair😂
What The Chinese Think of The US Boycott of Beijing Olympics and Uyghur Issues | Street Interview,4:44 🤟 🤟 🤟
What The Chinese Think of The US Boycott of Beijing Olympics and Uyghur Issues | Street Interview,All the mad amerifats in the comments lol ! Cope harder 2nd place !
What The Chinese Think of The US Boycott of Beijing Olympics and Uyghur Issues | Street Interview,"Your mission is to bring people's voices together, chinese people voices
And unify the cultures of the world,  under chinese control

That is what I hear as non-chinese asian"
What The Chinese Think of The US Boycott of Beijing Olympics and Uyghur Issues | Street Interview,You know you live in a dystopian society when you act like genocide is nothing because they're tik tok'ing. We had BLM riots but they weren't about people getting kidnapped and put on a chain gang lol.
What The Chinese Think of The US Boycott of Beijing Olympics and Uyghur Issues | Street Interview,Another CCP propaganda video.
What The Chinese Think of The US Boycott of Beijing Olympics and Uyghur Issues | Street Interview,why are subtitles turned off
What The Chinese Think of The US Boycott of Beijing Olympics and Uyghur Issues | Street Interview,They live in a communist dictatorship country and are super proud 😂 so naive
What The Chinese Think of The US Boycott of Beijing Olympics and Uyghur Issues | Street Interview,"I love how much China and its success make the West seethe haha, especially the angloids. 
Best regards to the Chinese people from Serbia."
What The Chinese Think of The US Boycott of Beijing Olympics and Uyghur Issues | Street Interview,"There's a mix of genuine, naïve and dissimulated answers there. But all delusional nonetheless.
Guy with pink hair is definitely a drone. lol"
