Video Caption,Comment
FREEDOM in China Does Not Exist... | 中国不存在自由,"Before I came to China I never understood how the word ""freedom"" could be perceived in so many different ways. 
Have you had any experience which really opened up your eyes to this fact?"
FREEDOM in China Does Not Exist... | 中国不存在自由,Freedom is not when the World Police
FREEDOM in China Does Not Exist... | 中国不存在自由,What free is you want？
FREEDOM in China Does Not Exist... | 中国不存在自由,"Freedom comes after order!!! Spiritually those who enter heaven, literally, after death are those who have followed some universal laws of karma! Be good people. 

The universe is in perfect order. Freedom doesn’t mean we can do whatever we want, but more of that our souls are free from suffering!!"
FREEDOM in China Does Not Exist... | 中国不存在自由,"The Winter Olympics showed that China has eliminated the virus because in the eyes of the Chinese people have more responsibility than freedom, everyone has a responsibility to keep everyone else safe, and they did"
FREEDOM in China Does Not Exist... | 中国不存在自由,在深圳是吧，有本事说地址。爷马上到你家门口
FREEDOM in China Does Not Exist... | 中国不存在自由,天天说自由 赶紧把疫情控制下
FREEDOM in China Does Not Exist... | 中国不存在自由,Well said
FREEDOM in China Does Not Exist... | 中国不存在自由,中国真的没有自由
FREEDOM in China Does Not Exist... | 中国不存在自由,Do you think what will happen if China rule the world?
FREEDOM in China Does Not Exist... | 中国不存在自由,I am a Chinese.I love my country
FREEDOM in China Does Not Exist... | 中国不存在自由,love from China
FREEDOM in China Does Not Exist... | 中国不存在自由,所有西方人在讨论中国有没有自由，要不要拯救中国人的时候，可不可以先问问我们中国人，要不要你们所谓的自由？这是不懂得尊重人，己所不欲 勿施于人，己所欲，亦勿施于人。
FREEDOM in China Does Not Exist... | 中国不存在自由,我们很自由
FREEDOM in China Does Not Exist... | 中国不存在自由,"关于安全，整个国家乃至小村都有很多摄像头，平时在公共区域并不会在意，因为路上不是只有你，也没有公职人员闲着没事干去看你，但是罪犯会很害怕，所以犯罪成本极高，一般有正常思维的人都不会选择盗窃、抢劫、行凶，因为一定会被抓住，不仅是摄像头，包括手机，通讯运营商都有能力定位到手机，中国所有人都有手机，所有人！如果你是人民，你会获得很多便利，如果你是罪犯，你会害怕去任何地方。
但是不意味着犯罪不存在，除了激情犯罪，大部分犯罪都是为了钱，那些罪犯同样也很聪明，聪明到在网络上诈骗，跑去其它国家向自己国家的人骗取钱财，通过在境外的优势，让他们避免被中国警察抓住，国家也对电信诈骗打击力度也很大，但罪犯不是消失了，而是潜伏了。
关于自由，我拥有任何自由，除了做出对社会、国家、他人有害的事
关于不能侮辱中国的政党，我的想法是，侮辱政党会破坏社会运转，如果有人煽动人民，人民很容易利用，假如你对政党的做法不满，你可以通过合法手段或者媒体述说你的需求，甚至可以直接到国务院提出述求。
作为中国人，我害怕国家被分裂、政党被推翻，因为我们以前被入侵过，差点失去国家。"
FREEDOM in China Does Not Exist... | 中国不存在自由,"You have described the subject of freedom in both countries exactly 100% right,and you are very articulate.I love your video.❤️❤️❤️"
FREEDOM in China Does Not Exist... | 中国不存在自由,You have described the subject of freedom in both countries exactly 100% right.👍👍👍
FREEDOM in China Does Not Exist... | 中国不存在自由,"Yes, you said what I wanted to say. There has never been real freedom."
FREEDOM in China Does Not Exist... | 中国不存在自由,谢谢你
FREEDOM in China Does Not Exist... | 中国不存在自由,Do you care of the freedom in developing countries really? NO!
