Video Caption,Comment
Steve Kornacki Breaks Down 2022 Winter Olympics By The Numbers,"The Olympic spirt ... is that the same as missing Chinese people, and no freedom ?
https://youtu.be/ZiIdJTxIedA"
Steve Kornacki Breaks Down 2022 Winter Olympics By The Numbers,Boring and embarrassing report.  DISLIKE!
Steve Kornacki Breaks Down 2022 Winter Olympics By The Numbers,"How cages but the nbc cineplex 
Keep your Chinese communist party funding 
Viewers see and hear it through each one of your newz broadcastz from nbc, cnbc, msnbc
Boycott the Hitleresque Olympic propaganda games! 
I know of no one watching the terror games.
China is an “economic miracle” due to cheap labor.
No one goes there for freedom
No one goes there for the arts, literature, education…
Terror in Hong Kong
Terror against Taiwan 
Boycott communism
Boycott genocide"
Steve Kornacki Breaks Down 2022 Winter Olympics By The Numbers,You cannot escape Lefty woke b******* being shoved down your throat anywhere you go in the world now. You can't watch anything on TV. You can't listen to any music for the most part. You can't play any video games. It's all overrun by this leftist woke anti white propaganda.
Steve Kornacki Breaks Down 2022 Winter Olympics By The Numbers,Who cares..
Steve Kornacki Breaks Down 2022 Winter Olympics By The Numbers,"Here is a public service message from a WarRoom Posse member;

""I would rather watch a turd drop from my sphincter into a toilet with a mirror, before I would watch the Bejing Olympics."""
Steve Kornacki Breaks Down 2022 Winter Olympics By The Numbers,"I'm surprised no one says anything about China's human rights abuses, Chinese man-made islands in disputed territories, what they've done in Hong Kong, the genocide of Uighur's or the repressive Communist dictatorial leadership of XI.  Everyone celebrating the opening in a Country like China as if it's OK and nothing is wrong.  How the Olympic Committee could possibly have allowed the Olympics to be held in China and what went on behind the scenes is beyond words. We, as in the world should have never allowed this to open.  To think Olympians would look past all of this just to play a sport sullies the name ""Olympian""."
Steve Kornacki Breaks Down 2022 Winter Olympics By The Numbers,"""Winter Olympic Gold Medal Leaders"" They claim USA at number 2.  From what I remember USA has never won the winter Olympics for the past 70 years or so.  Perhaps they never won the first place."
Steve Kornacki Breaks Down 2022 Winter Olympics By The Numbers,Muslim Genocide Games 🤮
Steve Kornacki Breaks Down 2022 Winter Olympics By The Numbers,"Liberals for American sports:  how dare you tell them stick to sports.  Silence is violence.  

Liberals for Beijing Olympics:  Stick to sports."
Steve Kornacki Breaks Down 2022 Winter Olympics By The Numbers,"#takeusbacktochina
#pmsavepakstudentsofchina"
Steve Kornacki Breaks Down 2022 Winter Olympics By The Numbers,who cares?
Steve Kornacki Breaks Down 2022 Winter Olympics By The Numbers,"To all libs… Go love yourself and let’s go Brandon, I agree!!!"
Steve Kornacki Breaks Down 2022 Winter Olympics By The Numbers,Shout out to George Floyd on 619 days of sobriety. It took some tough love but he did it. Say his name liberals!
Steve Kornacki Breaks Down 2022 Winter Olympics By The Numbers,"USA doesn't care about the Summer or Winter Olympics, all the Americans care about is watching the Super Bowl and the NFL. In the States the NFL and the Super Bowl are more important and significant than the Summer or Winter Olympics."
Steve Kornacki Breaks Down 2022 Winter Olympics By The Numbers,If the Brandon government had any B----......he would boycott the Olympics
