Video Caption,Comment
Opening ceremony kicks off 2022 Winter Olympics,Human rights allegations?  Cut the crap please!
Opening ceremony kicks off 2022 Winter Olympics,西方媒體總是充滿偏見與雙標
Opening ceremony kicks off 2022 Winter Olympics,sos！sos！SOS！有人可以帮忙吗？帮忙抵制和制裁中国男子足球队！我们受不了了，因为我们中国社会体制及法律等原因，我们不能持枪射杀那帮领着高薪的垃圾足球运动员！他们都应该被毁灭，他们是地狱来的魔鬼！据不完全统计，中国男子足球队每年会气死数以万计的中国人！堪比疫情！对此我们的政府毫无建树！希望全世界人民一起努力，让中国男子足球队解散！上帝保佑🙏
Opening ceremony kicks off 2022 Winter Olympics,THE CIRCLES OF CORONA VIRUS GREAT CELEBRATION OF MILLIONS OF PEOPLE DEAD THANK YOU CHINA
Opening ceremony kicks off 2022 Winter Olympics,Fight for Freedom and Democracy. Stand with Hong Kong.
Opening ceremony kicks off 2022 Winter Olympics,"China is an uncivilized country that doesn't know what fair games are.
It's an uncivilized country that can only steal other countries' cultures.
beijing Olympic =Corruption game.
beijing Olympic =The worst Olympics."
Opening ceremony kicks off 2022 Winter Olympics,"China is an uncivilized country that doesn't know what fair games are.
beijing Olympic =Corruption game.
beijing Olympic =The worst Olympics."
Opening ceremony kicks off 2022 Winter Olympics,"China is an uncivilized country that doesn't know what fair games are.
beijing Olympic =Corruption game.
beijing Olympic =The worst Olympics."
Opening ceremony kicks off 2022 Winter Olympics,"China is an uncivilized country that doesn't know what fair games are.
beijing Olympic =Corruption game.
beijing Olympic =The worst Olympics."
Opening ceremony kicks off 2022 Winter Olympics,"Dose the media don't know what is Olympics? Without propaganda of human rights and abuse is there any other words can then describe China? Olympics is quiet neutral and there must not have any political things it, can't they just enjoy the show? What a pity!"
Opening ceremony kicks off 2022 Winter Olympics,"Dose the media don't know what is Olympics? Without propaganda of human rights and abuse is there any other words can then describe China? Olympics is quiet neutral and there must not have any political things it, can't they just enjoy the show? What a pity!"
Opening ceremony kicks off 2022 Winter Olympics,IOC's covid restriction is bu*sh*it
Opening ceremony kicks off 2022 Winter Olympics,"with Covid's dwindling rates why the games have Covid restrictions, its idiotic."
Opening ceremony kicks off 2022 Winter Olympics,"All of a sudden, China’s human rights record matters to the US and its allies. As if, it suddenly turns south since the 2008 Games. And since when US has cared about Muslims anywhere in the world? Hundreds of thousands of Muslims have died since the beginning of “war on terrorism”. Has any POTUS shared a single tear over their demises?"
Opening ceremony kicks off 2022 Winter Olympics,Where can I watch the opening ceremony
Opening ceremony kicks off 2022 Winter Olympics,"Who care China are not forcing further not accepted negative view with lack of confidences people, virus transmitted person with full months of FAKE news from A~Z.. 😅🤣"
Opening ceremony kicks off 2022 Winter Olympics,"Media in US is much more propoganda like than in China, dont prove me wrong, I have a brain."
Opening ceremony kicks off 2022 Winter Olympics,CBS just being handed the standard script to talk... human rights ??? Haha.... while US can’t even handle it’s racial problem at home ??!! Hahaha....
Opening ceremony kicks off 2022 Winter Olympics,Why can’t I find one video about the Olympics without it being about politics
Opening ceremony kicks off 2022 Winter Olympics,"American media are poison!all so called human rights issues are lies and fabricated narratives!they are politicizing sports,framing China by all dirty tricks!"
