Video Caption,Comment
Meet the 2022 U.S. Olympic Figure Skating Team - Interview on the Today Show,Where’s Ilia?
Meet the 2022 U.S. Olympic Figure Skating Team - Interview on the Today Show,LOL.  Half of the US team is made up of Chinese.
Meet the 2022 U.S. Olympic Figure Skating Team - Interview on the Today Show,I genuinely love how half of this U.S. Olympic team are Chinese and Asian Americans.  This team is helping to make our country more United than it recently has been.
Meet the 2022 U.S. Olympic Figure Skating Team - Interview on the Today Show,"Go to China, take new Coronavirus and spreed the hall world 🌍."
Meet the 2022 U.S. Olympic Figure Skating Team - Interview on the Today Show,GO Team USA!!!❤️❤️❤️🇺🇸🙌🙌🙌
Meet the 2022 U.S. Olympic Figure Skating Team - Interview on the Today Show,"May you all stay strong and healthy, and best of luck at the Olympics.  Have the time of your life!"
Meet the 2022 U.S. Olympic Figure Skating Team - Interview on the Today Show,Can he beat the master
Meet the 2022 U.S. Olympic Figure Skating Team - Interview on the Today Show,Good luck to China 🇨🇳 Team USA. 🇺🇸
Meet the 2022 U.S. Olympic Figure Skating Team - Interview on the Today Show,Good luck Team USA.
Meet the 2022 U.S. Olympic Figure Skating Team - Interview on the Today Show,❤️❤️❤️❤️❤️❤️❤️❤️❤️
