Video Caption,Comment
Biden’s 2022 Olympics Diplomatic Boycott & Mass Zoom Firings | The Daily Show,We all know US is the county that really did genocide to the native people in North America
Biden’s 2022 Olympics Diplomatic Boycott & Mass Zoom Firings | The Daily Show,"China did not invite us officials, why US officials should come to Olympic Games?"
Biden’s 2022 Olympics Diplomatic Boycott & Mass Zoom Firings | The Daily Show,"Where is the boycott? So many USA athletes are there! In fact, many Asian countries boycotted this Olympics instead.."
Biden’s 2022 Olympics Diplomatic Boycott & Mass Zoom Firings | The Daily Show,Kamal Harris is black women??? I didn’t know that
Biden’s 2022 Olympics Diplomatic Boycott & Mass Zoom Firings | The Daily Show,"I think these kinds of shows are better without studio audience laughter. idk it just feels more, natural and funny"
Biden’s 2022 Olympics Diplomatic Boycott & Mass Zoom Firings | The Daily Show,The South African joke is funny because it’s true. 🤣🤣
Biden’s 2022 Olympics Diplomatic Boycott & Mass Zoom Firings | The Daily Show,🌍🌎🌙🌏🌏🌏🌏🌏🌏🌏🌕🌓🌒
Biden’s 2022 Olympics Diplomatic Boycott & Mass Zoom Firings | The Daily Show,"The USA really care for human rights and that's why they invaded Irak, Afghanistan......"
Biden’s 2022 Olympics Diplomatic Boycott & Mass Zoom Firings | The Daily Show,If our real president Trump was still there we would have boycotted this CCP event - why help the CCP Virus makers and the worst human rights abusers in our time.   🗽 VOTE EM OUT 2022 TRUMP2024-2032 🗽  China joe is a girly boy CCP puppet
Biden’s 2022 Olympics Diplomatic Boycott & Mass Zoom Firings | The Daily Show,USA applied for 40 visas for US officials.
Biden’s 2022 Olympics Diplomatic Boycott & Mass Zoom Firings | The Daily Show,Funny
Biden’s 2022 Olympics Diplomatic Boycott & Mass Zoom Firings | The Daily Show,"Boycott the EVIL Republic Of China, these lame sports aren't worth sacrificing your integrity to watch"
Biden’s 2022 Olympics Diplomatic Boycott & Mass Zoom Firings | The Daily Show,"The chinese believe that root cause of extremistism is ignorance and poverty....they invest..massively..in infrastructure and education for Uighurs....and connect..one of the most remote region in the world  Xinjiang..to the rest of China..today...a super highway..and high speed rail..connect Xinjiang to Beijing....Uighur benefited from tourisms...and jobs opportunities....
America use bomb and bullets..yet dare talk about genocide ???"
Biden’s 2022 Olympics Diplomatic Boycott & Mass Zoom Firings | The Daily Show,34 head of states are flying into Beijing for the winter game..I wonder how many will fly to America for the next summer game ???
Biden’s 2022 Olympics Diplomatic Boycott & Mass Zoom Firings | The Daily Show,"White colonist Olympic boycott only mares itself. They're like the big bully sitting in the corner of the room crying that nobody will play with them anymore, while China is bringing nobility, and compassion to a world they've just beaten up. The golden age is upon us and that's the Buddhist, Daoist, and Confucian Way!"
Biden’s 2022 Olympics Diplomatic Boycott & Mass Zoom Firings | The Daily Show,covid= China Origin Virulent Infectious Disease
Biden’s 2022 Olympics Diplomatic Boycott & Mass Zoom Firings | The Daily Show,Funny?? Hahaha... really funnnyyy..!!
Biden’s 2022 Olympics Diplomatic Boycott & Mass Zoom Firings | The Daily Show,And finally US sent over 40 diplomats to China. Interesting
Biden’s 2022 Olympics Diplomatic Boycott & Mass Zoom Firings | The Daily Show,"😤😤😤 ★★★  China, which cracks down on human rights, is not eligible to host the Olympics ❢❢❢ ★★★ 😠😠😠"
