Video Caption,Comment
Top WOMEN contenders for the Olympics - Beijing 2022 figure skating,Kaori is my favorite! Beautiful  skater
Top WOMEN contenders for the Olympics - Beijing 2022 figure skating,Might seem highly unlikely but I wish one Japanese lady could make it to the podium!
Top WOMEN contenders for the Olympics - Beijing 2022 figure skating,"Valieva is the.greatest....give her the gold, already..."
Top WOMEN contenders for the Olympics - Beijing 2022 figure skating,"Я болею за Каори,Трусову, Алису....за Камилу больше не болею так как ситуация с допингом мне не нравится"
Top WOMEN contenders for the Olympics - Beijing 2022 figure skating,Rusinkite se najdobri
Top WOMEN contenders for the Olympics - Beijing 2022 figure skating,All of them are so amazing
Top WOMEN contenders for the Olympics - Beijing 2022 figure skating,These young ladies are all amazing! They should considered themselves lucky tonya harding isn't in this Olympic! Alot of knees would be injured
Top WOMEN contenders for the Olympics - Beijing 2022 figure skating,I cannot tell the Russian skaters from each other. They look the same...
Top WOMEN contenders for the Olympics - Beijing 2022 figure skating,РОССИЯ впредь!!!! Мы с вами. Очень болеем за вас.
Top WOMEN contenders for the Olympics - Beijing 2022 figure skating,"And are there foreigners here, or only from the countries of the former USSR? Foreigners, aw, will you respond?"
Top WOMEN contenders for the Olympics - Beijing 2022 figure skating,Amazing girls. Good Luck to them. I believe the one with the best nerves and has nothing to lose will be winning. Just saying. 🐨
Top WOMEN contenders for the Olympics - Beijing 2022 figure skating,До ВАЛИЕВОЙ! им всем далеко  далеко!доРоссиских  ни кому не догнать!Духу не хватит!
Top WOMEN contenders for the Olympics - Beijing 2022 figure skating,All the best for all hard working candidates....... God bless you all.... GOOD LUCK
Top WOMEN contenders for the Olympics - Beijing 2022 figure skating,"The story of Sasha Trusova ""The girl who defeated gravity"".
A film with unique photographs of Alexandra Trusova, Tutberidze, Dudakov, Volkov, Borovikova 
https://www.youtube.com/watch?v=yDTgjbYxgFw"
Top WOMEN contenders for the Olympics - Beijing 2022 figure skating,But why Rika Kihira is not competiting the olympics?
Top WOMEN contenders for the Olympics - Beijing 2022 figure skating,FREE TIBET   F#CK THE OLYMPICS
Top WOMEN contenders for the Olympics - Beijing 2022 figure skating,"Борьба за медали будет жаркой  , но Камила будет первой , я так думаю"
Top WOMEN contenders for the Olympics - Beijing 2022 figure skating,"If anyone can go see the Russian nationals, you can see that the Russians  were told to dumb down their performance and don’t do so many quads or eliminate them completely. Even so, the Russians should still keep the gold, silver and bronze."
Top WOMEN contenders for the Olympics - Beijing 2022 figure skating,"How stupid to put text right in the middle in front of the skaters, at least on my IPad. Could someone with design experience please do a redo? Thks!"
Top WOMEN contenders for the Olympics - Beijing 2022 figure skating,"blocking the view with your script, not a good idea"
