Video Caption,Comment
The Jamaican Bobsled | 2022 Beijing Winter Olympics | The Hottest Things On Ice,What a fabulous addition to incorporate history and future achievements for the amazing Jamaican bobsled & monobob Olympic journey! Great timing too with it being Black History Month! Meh love meh people dem! Jamaica 🇯🇲 out of many! 1❤️‍🔥
The Jamaican Bobsled | 2022 Beijing Winter Olympics | The Hottest Things On Ice,"Cool Running is one of my favorite movies 
and the bobsled team carrying their bobsled over the finish line is so inspirational to watch."
The Jamaican Bobsled | 2022 Beijing Winter Olympics | The Hottest Things On Ice,"Good job coaches, a job well done. 👍🥰🙏💞"
The Jamaican Bobsled | 2022 Beijing Winter Olympics | The Hottest Things On Ice,👍🏼🤠🇨🇦
The Jamaican Bobsled | 2022 Beijing Winter Olympics | The Hottest Things On Ice,"Wow, very uplifting! All love"
The Jamaican Bobsled | 2022 Beijing Winter Olympics | The Hottest Things On Ice,"Rooting you, jamaica we say all the way bless up 👉👍👍"
The Jamaican Bobsled | 2022 Beijing Winter Olympics | The Hottest Things On Ice,All the best of luck to all teams. Hoping JA makes history. 🥰👍🇯🇲💕🙏
The Jamaican Bobsled | 2022 Beijing Winter Olympics | The Hottest Things On Ice,Trinidad and Tobago: Hold my rum!
The Jamaican Bobsled | 2022 Beijing Winter Olympics | The Hottest Things On Ice,As long as they dont forget to take a lucky egg.
The Jamaican Bobsled | 2022 Beijing Winter Olympics | The Hottest Things On Ice,"I hope they don't forget to sing the Coolrunings chant when they set off the start line.
""Feel the rhythm, feel the rhyme, get on up, it's bobsled time, COOLRUNNINGS""!!!😁
Best of luck from Newcastle England. ""Peace be da journey""🇯🇲"
The Jamaican Bobsled | 2022 Beijing Winter Olympics | The Hottest Things On Ice,I'm a proud Jamaican 🇯🇲 living in Canada 🇨🇦 and can't wait to see the success of my fellow Jamaicans win or not we're with you guy's 💯% yu zeet!!!
The Jamaican Bobsled | 2022 Beijing Winter Olympics | The Hottest Things On Ice,"I grew up (and still live) an hour and a half from Calgary. I was only 7 during the '88 Olympics, but I remember the Jamaican bobsled team and the instant celebrity status they had during that time. Those gentlemen set a perfect example of sportsmanship and inspired many people around the world through their sheer determination. 
I'm happy to see that they're continuing to inspire future generations."
The Jamaican Bobsled | 2022 Beijing Winter Olympics | The Hottest Things On Ice,Latvians cheer for you!!!
The Jamaican Bobsled | 2022 Beijing Winter Olympics | The Hottest Things On Ice,Team Jamaica  to God be the glory you are bless so I know you will make Jamaica proud one love.
The Jamaican Bobsled | 2022 Beijing Winter Olympics | The Hottest Things On Ice,"I'm from Canada and not Jamaican and I'm really only interested in the Jamaican Bobsled team for this Olympics, because Cool Runnings is literally one of my favorite movies of all time ❤ I've watched it countless times. Go Jamaica! 🇯🇲"
The Jamaican Bobsled | 2022 Beijing Winter Olympics | The Hottest Things On Ice,"All of these sliding events require speed and power. Hence the athletes are often sprinters and/or running backs, linebackers or rugby players. At least they have these types of physiques."
The Jamaican Bobsled | 2022 Beijing Winter Olympics | The Hottest Things On Ice,@9:33 was that a luck egg?! 😄 love it!
The Jamaican Bobsled | 2022 Beijing Winter Olympics | The Hottest Things On Ice,live your dream
The Jamaican Bobsled | 2022 Beijing Winter Olympics | The Hottest Things On Ice,All the best the team as we support you 100%. proceeds Benefit Jamaica Bobsled Athletes & Foundation Watch the song made in support of the team  https://www.youtube.com/watch?v=ULQ88lsvbZM
The Jamaican Bobsled | 2022 Beijing Winter Olympics | The Hottest Things On Ice,Where's the egg? My childhood was a lie.
