Video Caption,Comment
The Zhu Yi Olympic Figure Skater Fiasco Explained,What are your thoughts on Zhu Yi?
The Zhu Yi Olympic Figure Skater Fiasco Explained,This is false regarding Eileen Gu. There’s no record of her relinquishing her U.S. citizenship and she refuses to answer such questions. Highly doubtful she gave up her U.S. citizenship. There would be a record of this.
The Zhu Yi Olympic Figure Skater Fiasco Explained,"I bet she's regretting giving up her citizenship , Eileen Gu should be banned from entering the U.S , let her stay in China"
The Zhu Yi Olympic Figure Skater Fiasco Explained,"Long arm of capitalism tripped her up 🤣🤣🤣 this is karma and it’s what she gets. Have fun working in a sweat shop because you failed your communist regime, traitor. If she ever comes back to the states she should face the same consequences as people who defect during wartime. Softness to traitors will destroy us all."
The Zhu Yi Olympic Figure Skater Fiasco Explained,So when the Russian team lose their team medal and China inherit the bronze are they are going to refuse it as they don’t agree with the team selection? I doubt it.
The Zhu Yi Olympic Figure Skater Fiasco Explained,I’ve been subscribed you for years. Never knew that. You are so disgusting.
The Zhu Yi Olympic Figure Skater Fiasco Explained,"Chinese don’t like her because we are not sure if she got selected because of her competency or because she got a rich dad. If someone got selected because of this, there will a poor girl who prepared for years, but didn’t got selected. You can’t  read the comments in Chinese. You just think we only adore the ppl who can win. It was not the case. We appreciate all the athletes. We just don’t like favoritism."
The Zhu Yi Olympic Figure Skater Fiasco Explained,Communist. You got what you deserve.
The Zhu Yi Olympic Figure Skater Fiasco Explained,"Vincent explained how he isolated himself for months => that was his mistake and that's why he caught the virus now. He should have tried to catch it earlier to develop natural anti bodies, and so he wouldn't have it during the Olympics."
The Zhu Yi Olympic Figure Skater Fiasco Explained,"China set policy to protect majority rights and saved more lives over individuals rights.  You can call it as individuals human rights is violated, but the majority people trusted their government."
The Zhu Yi Olympic Figure Skater Fiasco Explained,Zhu can do it!!!!
The Zhu Yi Olympic Figure Skater Fiasco Explained,I do not agree with her choice of giving up her citizenship to compete for China but that is her choice not mine that being said I think she just needs to get all of the naysayers out of her brain focus concentrate and just do your best if she does that hopefully she will give a good performance maybe even come away with the metal get some of those naysayers out of your brain and quiet them down I wish all the athletes the best of luck God bless bye
The Zhu Yi Olympic Figure Skater Fiasco Explained,"I am a Chinese person and I was stunned after watching this video. In the age of information technology, I can still blow it like this!
The whole network in China cares about, helps, and understands her, and there are only a few people with rhythm!
In addition, regarding the nationality of her and Gu, although I don't know the real situation, it is for ordinary people that China does not allow dual nationality. If you are very powerful, you can go to any country at will. This is called freedom of nationality.
Moreover, they are both from elite families, and the elites look farther. Why did their parents go to the United States in the first place? Why go back to China now? There is an old Chinese saying: People go to high places."
The Zhu Yi Olympic Figure Skater Fiasco Explained,Giving up US Citizenship for Chinese is the equivalent of moving from the penthouse to the Sewer
The Zhu Yi Olympic Figure Skater Fiasco Explained,You don't have to explain. I call this instant karma. Traitor
The Zhu Yi Olympic Figure Skater Fiasco Explained,Poor girl! So stressful. Hope she does really well - She deserves all the good luck. It’s not easy to integrate that can cause challenges in performance. Competition can be very overwhelming. 😩
The Zhu Yi Olympic Figure Skater Fiasco Explained,I see everyone isn't in agreement in the comments. Keep it up 🌏💗
The Zhu Yi Olympic Figure Skater Fiasco Explained,Communists belong on a cross.
The Zhu Yi Olympic Figure Skater Fiasco Explained,Couldn’t have been more sweet!
The Zhu Yi Olympic Figure Skater Fiasco Explained,"Oh, yeah. When you have a gold, everyone loves you (like the Chinese-American or I should say American-Chinese skier). But if you don't do well like Zhu Yi, then they're embarrassed and ashamed of her. That's so typical Chinese."
