Video Caption,Comment
LIVE: Stadium exterior as Beijing 2022 Winter Olympic games begin,Its the best ever. I wanted to ski now
LIVE: Stadium exterior as Beijing 2022 Winter Olympic games begin,worst olympic
LIVE: Stadium exterior as Beijing 2022 Winter Olympic games begin,OMG
LIVE: Stadium exterior as Beijing 2022 Winter Olympic games begin,Wow
LIVE: Stadium exterior as Beijing 2022 Winter Olympic games begin,Bad China! Covid 19! Biased judgment!
LIVE: Stadium exterior as Beijing 2022 Winter Olympic games begin,I cannot love chinese in my life.
LIVE: Stadium exterior as Beijing 2022 Winter Olympic games begin,let’s kill the competitor
LIVE: Stadium exterior as Beijing 2022 Winter Olympic games begin,Dictatorship is wonderful !!!!!
LIVE: Stadium exterior as Beijing 2022 Winter Olympic games begin,"Beijing Olympics is much more like Squid games. No humane, No fair!"
LIVE: Stadium exterior as Beijing 2022 Winter Olympic games begin,"BIDEN (et ses alliés) est déclaré Persona Non Grata aux JO d'hiver de Beijing 2022. Les pays participants du boycott diplomatique sont marginalisés. Ils se comptent avec les doigts d'une main. Une trentaine de Chefs d'Etat et de Gouvernement sont présents à la Tribune des JO d'hiver de Beijing 2022. Poutine en est la vedette. Sont présents à la Tribune: le Secrétaire Général des Nations Unies, le Grand Duc Henri du Luxembourg, le Prince Albert II de Monaco, le Président de la Pologne et le Président de la Serbie. Aux JO d'hiver de Beijing 2022 la Chine et la Russie s'affichent ensemble pour montrer le nouvel ordre mondial. Sans BIDEN. La Russie a reçu le soutien de la Chine en ce qui concerne les préoccupations raisonnables de la Russie. La Russie et la Chine s'opposent à l'expansion future de l'OTAN. L'occident doit empêcher l'humoriste d'Ukraine d'allumer le feu de la troisième guerre mondiale. Un ouïghour porte la flamme olympique pour dénoncer les tissus de mensonge occidentaux sur les ouïghours. Un coup de pied au cul des journalistes des télévisions menteuses occidentales. Une paire de gifles aux députés français votant la résolution sur les ouïghours.-
-
BIDEN (and his allies) is declared Persona Non Grata at the Beijing 2022 Winter Olympics. The countries participating in the diplomatic boycott are marginalized. They can be counted with the fingers of one hand. About thirty Heads of State and Government are present at the Tribune of the Beijing 2022 Winter Olympics. Putin is the star. Present at the Tribune are: Secretary-General of the United Nations, Grand Duke Henri of Luxembourg, Prince Albert II of Monaco, the President of Poland and the President of Serbia. At the Beijing 2022 Winter Olympics, China and Russia are coming together to show the new world order. Without BIDEN. Russia has received China's support regarding Russia's reasonable concerns. Russia and China oppose NATO's future expansion. The West must prevent the comedian from Ukraine from lighting the fire of World War III. A Uyghur carries the Olympic flame to denounce Western fabrics of lies about Uighurs. A kick in the ass of Western lying TV journalists. A pair of slaps to French MPs voting for the resolution on the Uyghurs.!!"
LIVE: Stadium exterior as Beijing 2022 Winter Olympic games begin,Rigged Olympics. Biased judging from day one.
LIVE: Stadium exterior as Beijing 2022 Winter Olympic games begin,Shame on you china
LIVE: Stadium exterior as Beijing 2022 Winter Olympic games begin,"❤️韩国的""韩服""非常漂亮。""Hanbok"" of Korea is very beautiful. ❤️"
LIVE: Stadium exterior as Beijing 2022 Winter Olympic games begin,"Such a FAILURE. BE ASHAMED, CHINA"
LIVE: Stadium exterior as Beijing 2022 Winter Olympic games begin,the worst Olympic ever
LIVE: Stadium exterior as Beijing 2022 Winter Olympic games begin,"the uyghur muslim olympics hosted in china (two-countries , one system)"
LIVE: Stadium exterior as Beijing 2022 Winter Olympic games begin,I can see nothing except the birds nest
LIVE: Stadium exterior as Beijing 2022 Winter Olympic games begin,？？？
LIVE: Stadium exterior as Beijing 2022 Winter Olympic games begin,"Behind the Olympics, ethnic minorities are crying ❢❢❢ 😣😫😣😫😱😱😱"
LIVE: Stadium exterior as Beijing 2022 Winter Olympic games begin,🇨🇳🇨🇳👍🏼🥳Good Job 🇨🇳🇨🇳👍🏼🥳
