Video Caption,Comment
All Eyes On China As 2022 Beijing Winter Olympics Begin,"The opening ceremony of the 2022 Beijing Winter Olympics, like the unparalleled opening ceremony of the 2008 Beijing Olympics, is grand and exciting. Unlike the 2008 Beijing Olympics, 

China, which has risen rapidly 14 years later, no longer needs to rely on the Olympics to demonstrate its strength and global influence.

I believe that the Winter Olympics held in Beijing will bring thousands of athletes and officials from all over the world to China to experience the charm of modern China and the charm of 

China's high technology. In the Olympic Village, the beds in the athletes' rooms can be adjusted to any angle with a remote control, and there is a massage function to make them rest more comfortable. You can't see any service staff in the 24 hour restaurant because they are all robots, all delicious Chinese and western food are made by robots and then delivered to you by 
robots.

You may not even think that you will travel from Beijing to Zhangjiakou Ski Resort, which is 174 kilometers away to participate in the competition. The 350km/h high-speed rail you take is an unmanned intelligent high-speed rail. On the high-speed rail, you can provide 5G and TV studios for media reporters, and reporters can live broadcast programs on the mobile high-speed rail.
 It is a little regrettable that due to the prevention and control of the epidemic, the Olympic Games did not choose the more futuristic Daxing International Airport in the south of Beijing, where the parking lot is filled with robots to help you park and find a parking space.

In short, the purpose of China's bid to host the Olympic Games is to fully promote ice and snow sports in China. The second is to let athletes from all over the world experience a real China, 
and I believe they will soon understand why the United States is now devoting its national strength to try to contain China."
All Eyes On China As 2022 Beijing Winter Olympics Begin,"Not many cared about Winter Olympics until US keeps trying to boycott China over it..
And China delivers a good one..and US simply gave China more publicity

Not many heard about Huawei until Trump started sanctioning it..and apparently..Huawei survived and actually have good products, and now ahead in 6G..

So..honestly..Thank you USA for making China great again 😄😄😄"
All Eyes On China As 2022 Beijing Winter Olympics Begin,It's great opening ceremony!
All Eyes On China As 2022 Beijing Winter Olympics Begin,"Pls.pray the rosary and devine mercy chaplet to free all countries from war, diseases, calamities, hunger, corruption, drugs, prostitution, abortion, divorce,prostitution,homosexuality,euthanasia,drugs,pornography,corruption,vices and all evils.pls pray for peace and joy in all families and home. . ..."
All Eyes On China As 2022 Beijing Winter Olympics Begin,Not a single Muslim country supports your BS claim Americans…. Food for thought
All Eyes On China As 2022 Beijing Winter Olympics Begin,"it's so stupid when they say fake things about China,cause they know China is catching up."
All Eyes On China As 2022 Beijing Winter Olympics Begin,"Although China was able to improve the recognition of its national dignity, which has fallen as the origin of the coronavirus, through the Olympics,
I blew up my chance
Perhaps more anti-China calls after the Olympics"
All Eyes On China As 2022 Beijing Winter Olympics Begin,How’s Aaron Blunck doing? Wish him well.
All Eyes On China As 2022 Beijing Winter Olympics Begin,Beijing olympics is not the  OLYMPICS. It's china ('s) Pick. 🙄
All Eyes On China As 2022 Beijing Winter Olympics Begin,USA is around time 59 minutes 10 seconds https://youtu.be/eOQ8bBbPaJM
All Eyes On China As 2022 Beijing Winter Olympics Begin,"MADE IN CHINA= ILLEGAL COPY, CHEAP IMITATIONS, CHILD ABUSE, FAKE FOOD,COVID 19🤣🤣🤣🤣🤣🤣"
All Eyes On China As 2022 Beijing Winter Olympics Begin,"Not my eyes, Lol."
All Eyes On China As 2022 Beijing Winter Olympics Begin,It has so much drama.
All Eyes On China As 2022 Beijing Winter Olympics Begin,America and it's human rights violations weeping rn
All Eyes On China As 2022 Beijing Winter Olympics Begin,"I just made $29,800 
This is so cool"
All Eyes On China As 2022 Beijing Winter Olympics Begin,"I pray for human rights of Chinese people. No more massacres No more dictators No more tortures No more deceivings......

I wish peace and love on China with democracies someday. and also freedom on Hongkong, Tiwan, Tibet and so on. 

Long time ago China was great I heard. But there's no such country anymore. Who made China the dirtiest global criminal enterprise in the world now? I hope the government born again this time. Bc I know many good people there

God save China 🙏"
All Eyes On China As 2022 Beijing Winter Olympics Begin,tiananmen square 1989
All Eyes On China As 2022 Beijing Winter Olympics Begin,Free Julian Assange now !!!
All Eyes On China As 2022 Beijing Winter Olympics Begin,Why do you always say that the bad things you have done are done by others?
