Video Caption,Comment
【INTO1】 《新时代 冬奥运》Beijing 2022 Winter Olympics & Paralympics Winter Olympics lyrics version,Nine🍓❤❤❤
【INTO1】 《新时代 冬奥运》Beijing 2022 Winter Olympics & Paralympics Winter Olympics lyrics version,LiuYu
【INTO1】 《新时代 冬奥运》Beijing 2022 Winter Olympics & Paralympics Winter Olympics lyrics version,The vocal of LiuYu so sweet !
【INTO1】 《新时代 冬奥运》Beijing 2022 Winter Olympics & Paralympics Winter Olympics lyrics version,"Wow, Zhang Jiayuan’s voice is so good!  😍"
【INTO1】 《新时代 冬奥运》Beijing 2022 Winter Olympics & Paralympics Winter Olympics lyrics version,"INTO1, All member are the great vocal,I love this song."
【INTO1】 《新时代 冬奥运》Beijing 2022 Winter Olympics & Paralympics Winter Olympics lyrics version,I like very much
【INTO1】 《新时代 冬奥运》Beijing 2022 Winter Olympics & Paralympics Winter Olympics lyrics version,PP6D.🍉🍑
【INTO1】 《新时代 冬奥运》Beijing 2022 Winter Olympics & Paralympics Winter Olympics lyrics version,💕💕💕
【INTO1】 《新时代 冬奥运》Beijing 2022 Winter Olympics & Paralympics Winter Olympics lyrics version,They are all main vocal! This kind of song is what I'm looking for from INTO1. Hope they can have more good song like this in the future!~
【INTO1】 《新时代 冬奥运》Beijing 2022 Winter Olympics & Paralympics Winter Olympics lyrics version,Patrick sings very well.💕💕💕
【INTO1】 《新时代 冬奥运》Beijing 2022 Winter Olympics & Paralympics Winter Olympics lyrics version,"Boyuan, Nine, and Mika proving that they indeed are the vocal of the group. 

Boyuan sounds so good! Nine's clear voice!! (not sure if I could call it a high note) Mika's voice!! Mika and Nine's voice together!! I don't know where to focus omg"
【INTO1】 《新时代 冬奥运》Beijing 2022 Winter Olympics & Paralympics Winter Olympics lyrics version,NITO1👍👍👍
【INTO1】 《新时代 冬奥运》Beijing 2022 Winter Olympics & Paralympics Winter Olympics lyrics version,Love you INTO1 and❤️Zhou Keyu❤️
【INTO1】 《新时代 冬奥运》Beijing 2022 Winter Olympics & Paralympics Winter Olympics lyrics version,Patrick ❤️❤️
【INTO1】 《新时代 冬奥运》Beijing 2022 Winter Olympics & Paralympics Winter Olympics lyrics version,"Finally, Patrick & Daniel sing together"
【INTO1】 《新时代 冬奥运》Beijing 2022 Winter Olympics & Paralympics Winter Olympics lyrics version,I must say that Riki's lines in the beginning of the song sooths my ears.. ❤ Patricks low notes are recognizable while Nine's voice I can really feel the emotions.. 😍 and the rest of the members as obviously did a great job. ❤
【INTO1】 《新时代 冬奥运》Beijing 2022 Winter Olympics & Paralympics Winter Olympics lyrics version,Patrick 💗
【INTO1】 《新时代 冬奥运》Beijing 2022 Winter Olympics & Paralympics Winter Olympics lyrics version,Zhou keyu ❤❤
【INTO1】 《新时代 冬奥运》Beijing 2022 Winter Olympics & Paralympics Winter Olympics lyrics version,Liuyu liuyu ❤️❤️❤️❤️❤️❤️❤️❤️
【INTO1】 《新时代 冬奥运》Beijing 2022 Winter Olympics & Paralympics Winter Olympics lyrics version,ZHOU KEYU
