Video Caption,Comment
Alysa Liu | Beijing 2022 Olympic Profile,Her dad is Chinese!
Alysa Liu | Beijing 2022 Olympic Profile,Her dad is a Csueb alumni!!!
Alysa Liu | Beijing 2022 Olympic Profile,She is very honest. However her words could be twisted by some nasty netizens on Weibo once they noticed her.
Alysa Liu | Beijing 2022 Olympic Profile,Like the honesty!
Alysa Liu | Beijing 2022 Olympic Profile,She was so cute
Alysa Liu | Beijing 2022 Olympic Profile,Love watching this young lady skate.  The smile and attitude along with the great skating is beautiful.  Hope she stays calm and skates  better than she ever has.  👍❤️🙂
Alysa Liu | Beijing 2022 Olympic Profile,"Good head on her shoulders, graduated HS at 16, youngest kid on the block and already doing quads. Go for the gold, rooting for you and the rest of the American team."
Alysa Liu | Beijing 2022 Olympic Profile,川妹子
Alysa Liu | Beijing 2022 Olympic Profile,YOU BIG STAR. GO LADY GO OLYMBIC  MEDAL. THANK YOU
Alysa Liu | Beijing 2022 Olympic Profile,So happy for you to go to Beijing for the best Winter Games ever.  Only the Chinese Communist Party could pull this off in the middle of a pandemic.
Alysa Liu | Beijing 2022 Olympic Profile,It's the worst Olympics ever.
Alysa Liu | Beijing 2022 Olympic Profile,"Say what you want about her but she has been the most consistent US figure skater since who knows how long. She’s never fallen on a triple in competition, ONLY has fallen on the tripe axel. All other jumps have been consistent and she’s grown so much artistically too."
Alysa Liu | Beijing 2022 Olympic Profile,She is a miracle! ❤️ love ❤️
Alysa Liu | Beijing 2022 Olympic Profile,You are absolutely honest. Your skating is for good college. There is nothing wrong about that. Congrats.
Alysa Liu | Beijing 2022 Olympic Profile,So cute. Go girl go !
Alysa Liu | Beijing 2022 Olympic Profile,I'm choosing her for my project to write about she honestly seems like a good choice
Alysa Liu | Beijing 2022 Olympic Profile,Beautiful and self-confident girl! Good luck in the Beijing Olympic Game
Alysa Liu | Beijing 2022 Olympic Profile,Alysa go! Win the gold medals
Alysa Liu | Beijing 2022 Olympic Profile,I hope she’ll get a medal for team USA
Alysa Liu | Beijing 2022 Olympic Profile,Rooting for her!
