Video Caption,Comment
Is There More To It? Belgian's Olympic Quarantine Meltdown | Beijing 2022,"What major bullshit comment. She was positive the first days of january., missed out 2 worldcups to entirely recovery and test negatieve as the rules request. Otherwise she would never have been able to get on  the plane to Bejing as the restrictions are very strict
As you know. ´spend some time ´ with your girlfriend ´ is not a goal for an olympian, training years for this event.!! Assuming this post is made for ´manipulating´ is only possible fir people who don´t understand the emotionele rollercoaster of this girl.  
Besides this it was NOT mentioned in the guidelines. There was mentioned that after 2 neg tests within at least 24 h , they are released . 
Not to mention that there was a recovery document, the bloodsamples prooving her antibodies, no whatsoever symptoms and neg testing. 
Kim is the most honest human being. Stop assuming she is a manipulating piece of shit!
She was very happy, excited and full of positivity towards this games!!"
Is There More To It? Belgian's Olympic Quarantine Meltdown | Beijing 2022,Maybe she didnt know she was suppose to supply her own food in quarantine. They should have been informed.
Is There More To It? Belgian's Olympic Quarantine Meltdown | Beijing 2022,"The village is awesome and high tech, there are robots everywhere, the rooms are nice, everything is nice and clean, food and laundry is free!!! What is there to compain about?? Many people in China don't have any food to eat and live in total misery and you complain about food been the same? Madam, you are having a very good life..be grateful for what you have! I wish my room was as nice as the one you have and with free house keeper to clean up after my room. The korean restaurant in the village has free food, tell someone to get food from them to give you or maybe if someone brings you food from a super market you can cook them in your room? Sorry, that place is not a palace. Don't expect every place you go to be a palace! You can get the virus without wearing masks and if you kiss people in the face and they kiss you! Now, concentrate on getting better so you can compete in a few weeks and don't think about all the bad things around you, many things are nice in there!"
Is There More To It? Belgian's Olympic Quarantine Meltdown | Beijing 2022,"Maybe she's never experienced anything like this, and I think we should sympathize with her. However, China's epidemic prevention policy is very safe, please rest assured. Thanks !"
Is There More To It? Belgian's Olympic Quarantine Meltdown | Beijing 2022,Lol nobody with that mindset would win anyway better to play the poor me card lol from Canada
Is There More To It? Belgian's Olympic Quarantine Meltdown | Beijing 2022,"With such weak mental endurances, Kim will definitely excel in drama competition rather than competing In Olympics."
Is There More To It? Belgian's Olympic Quarantine Meltdown | Beijing 2022,She better go home and enjoy her free of freedom fresh with Covid air
Is There More To It? Belgian's Olympic Quarantine Meltdown | Beijing 2022,Propaganda channel this guy should be arrested for using a VPN you're not allowed on YouTube in China she was crying because of food was dog $h1t she had to eat 5 days in a row
Is There More To It? Belgian's Olympic Quarantine Meltdown | Beijing 2022,"Anything that is anti-China, the Western media will jump on the bandwagon. They just love this kind of drama"
Is There More To It? Belgian's Olympic Quarantine Meltdown | Beijing 2022,We must never let the communistic autocracy hold the Olympics again.
Is There More To It? Belgian's Olympic Quarantine Meltdown | Beijing 2022,Cry ab it
Is There More To It? Belgian's Olympic Quarantine Meltdown | Beijing 2022,Maybe covid makes the toughest person's mind weak
Is There More To It? Belgian's Olympic Quarantine Meltdown | Beijing 2022,"Well Andy , you really put the "" pile on"" this girl didn't you Mr "" journalist"". Yeah, she's a snowflake but is it necessary to stick the boot in? And you don't really believe she was encouraged in any sort of way by a western power do you? Because we both know it doesn't really work like that in the real world."
Is There More To It? Belgian's Olympic Quarantine Meltdown | Beijing 2022,She is a well knowed nutcase in Belgium
Is There More To It? Belgian's Olympic Quarantine Meltdown | Beijing 2022,"This channel needs to be banned, CCP actor. I'm raising this with YouTube officials"
Is There More To It? Belgian's Olympic Quarantine Meltdown | Beijing 2022,"If the west really cared about human rights and truly believe there is genocide then why go to the olympics then why not actually boycott it?

Because its all bullshit or they just want the spotlight like this girl here."
Is There More To It? Belgian's Olympic Quarantine Meltdown | Beijing 2022,"If I were the girl, I will stay away from my teammates and girlfriends as far as possible to make sure none of them unluckily touched the Covid virus that remained from my body or clothes or gears"
Is There More To It? Belgian's Olympic Quarantine Meltdown | Beijing 2022,Laughable selfi herself in tears n loaded d shit to d World 🌎 of her stupidity. Yet sound of silence 🔕 from her Country's Officials that crybaby was Covid positive that based rules orders r Crystal 🔮 clear. No exceptions which IOC n China r responsibility for d entire 3000 Olympians of 90 Nation's  SAFETY. This is not yr self-pity rights to spread virus to yr fellow Olympians. What do U think d Bubble specifically for ? Exactly to prevent d likes of U Covid Positive from endangering others. You can cry yr hearts out but its yr own making. Yes yr publicity gives a true picture of yr character to showcase Good Bad n Ugly. Democracy at best. Correct ?? Better luck next time !!
Is There More To It? Belgian's Olympic Quarantine Meltdown | Beijing 2022,"Interesting fact: all bloggers are posting positive feedback of Chinese Olympic food. All main stream medias are posting negative reviews, plus criticize Chinese government. She is being used as a propaganda idol against China."
Is There More To It? Belgian's Olympic Quarantine Meltdown | Beijing 2022,Belgian Olympic Committee ought to be fined for knowingly allowed an infected athlete to go to Beijing to compete.
