Video Caption,Comment
A message to Beijing 2022 Winter Olympics - #SHORTS,Disasters!!
A message to Beijing 2022 Winter Olympics - #SHORTS,So you aren't going to mention anything about the Ukrainian crisis?
A message to Beijing 2022 Winter Olympics - #SHORTS,"This lady is evil Chinese CCP ass-kisser. All athletes compete on the fields were made from slave, tears, blood and souls from innocent Chinese citizens"
A message to Beijing 2022 Winter Olympics - #SHORTS,Efck chani
A message to Beijing 2022 Winter Olympics - #SHORTS,China is our mortal enemy and mass murderers. The games should never have been there.
A message to Beijing 2022 Winter Olympics - #SHORTS,how good is Chinese
A message to Beijing 2022 Winter Olympics - #SHORTS,😂😂😂🤔screw China
A message to Beijing 2022 Winter Olympics - #SHORTS,Criminal fascist China is not qualified to host any Olympic!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
A message to Beijing 2022 Winter Olympics - #SHORTS,this must be paid?
A message to Beijing 2022 Winter Olympics - #SHORTS,Let's talk about the American genocide against the .....#NativeAmericans
A message to Beijing 2022 Winter Olympics - #SHORTS,"Boycott China for their reverse genocide of the Uyghurs, lol"
A message to Beijing 2022 Winter Olympics - #SHORTS,"Say no to Genocide olympic games. 
Freedom is the born right of human being. No country even china has right to kill Tibetans & Xinjiang people.#SayNo2GenocideOlymics2022
#FreeTibet"
A message to Beijing 2022 Winter Olympics - #SHORTS,"Say no to Genocide olympic games. 
Freedom is the born right of human being. No country even china has right to kill Tibetans & Xinjiang people.#SayNo2GenocideOlymics2022
#FreeTibet"
A message to Beijing 2022 Winter Olympics - #SHORTS,China paid media 😂😂😂😂😂
A message to Beijing 2022 Winter Olympics - #SHORTS,"Fact: We(USA) are falling apart now in every single aspect: Economy, infrastructure, higher technology, weapons, social justice etc meanwhile China already has better Economy, infrastructure, social justice and higher technology than us USA !"
A message to Beijing 2022 Winter Olympics - #SHORTS,BOYCOTT CHINA GAMES
A message to Beijing 2022 Winter Olympics - #SHORTS,As I watch the events sick as shit in bed.thanks covid china
A message to Beijing 2022 Winter Olympics - #SHORTS,"Lol, Beijing is the first city to host both olympics because only Almaty and Beijing offered to host the 2022 Winter Olympics, the IOC didn’t really have a choice. Olympics have to be held in different continents at different times, this time the Winter Olympics had to be held in Asia, and only Beijing wanted to host them. But it is ridiculous as Beijing, and China as a whole, isn’t a winter sports city. The result: fake snow on mountains that rarely see more than 20cm of snow if any. Fake snow for fake Olympics"
A message to Beijing 2022 Winter Olympics - #SHORTS,🥰🥰
A message to Beijing 2022 Winter Olympics - #SHORTS,666
