Video Caption,Comment
Tessa Virtue and Scott Moir's Moulin Rouge at PyeongChang 2018 | Music Mondays,See more Figure Skating from PyeongChang 2018: http://bit.ly/2FjDP1l
Tessa Virtue and Scott Moir's Moulin Rouge at PyeongChang 2018 | Music Mondays,Tessa's unnecessarily beautiful lmao. Like do real people even look like that? She's basically a Disney princess
Tessa Virtue and Scott Moir's Moulin Rouge at PyeongChang 2018 | Music Mondays,how did this slip under my radar until now? This is absolutely gorgeous
Tessa Virtue and Scott Moir's Moulin Rouge at PyeongChang 2018 | Music Mondays,ahhh why am i crying this was four years ago
Tessa Virtue and Scott Moir's Moulin Rouge at PyeongChang 2018 | Music Mondays,I remember meeting Tessa in 2018 and is he was the sweetest
Tessa Virtue and Scott Moir's Moulin Rouge at PyeongChang 2018 | Music Mondays,My respects for both of them
Tessa Virtue and Scott Moir's Moulin Rouge at PyeongChang 2018 | Music Mondays,"I'm 10 of the 15 million views this video has. They're addictive. They may not be lovers, but no one can deny their souls were made as one."
Tessa Virtue and Scott Moir's Moulin Rouge at PyeongChang 2018 | Music Mondays,I love how Scott is singing to her the entire time 🥺
Tessa Virtue and Scott Moir's Moulin Rouge at PyeongChang 2018 | Music Mondays,Who fid her dress
Tessa Virtue and Scott Moir's Moulin Rouge at PyeongChang 2018 | Music Mondays,hello I have never seen this before yes i am three years late and wanted to document how this made me feel ok will update in 8 minutes and 14 seconds.
Tessa Virtue and Scott Moir's Moulin Rouge at PyeongChang 2018 | Music Mondays,"It’s the Beijing Olympics and I’m watching this for the millionth time, because no performance gets me like their programs did. This can’t be healthy for my mental health 😛 they’ll always be the G.O.A.T.S of ice dance ♥️"
Tessa Virtue and Scott Moir's Moulin Rouge at PyeongChang 2018 | Music Mondays,"This whole performance owns me. Watching this is my daily ritual. Crying, shaking, throwing up."
Tessa Virtue and Scott Moir's Moulin Rouge at PyeongChang 2018 | Music Mondays,daily check in 😚
Tessa Virtue and Scott Moir's Moulin Rouge at PyeongChang 2018 | Music Mondays,about 2000 of the views from me:')
Tessa Virtue and Scott Moir's Moulin Rouge at PyeongChang 2018 | Music Mondays,I love how Scott mouths the lyrics.
Tessa Virtue and Scott Moir's Moulin Rouge at PyeongChang 2018 | Music Mondays,Needed to come back here after watching the snoozefest that the ice dance event in Beijing was to remind myself what real ice dance looks like
Tessa Virtue and Scott Moir's Moulin Rouge at PyeongChang 2018 | Music Mondays,I cry every time I watch this.
Tessa Virtue and Scott Moir's Moulin Rouge at PyeongChang 2018 | Music Mondays,I swear figure skating is my secret hobby I can’t share it it’s beauty with any one I keep babbling in my head 💔💔
Tessa Virtue and Scott Moir's Moulin Rouge at PyeongChang 2018 | Music Mondays,I come back everyday just to see this 2. This dance is one of the world's fav it's also my fav. This is just a chef kiss maw.
Tessa Virtue and Scott Moir's Moulin Rouge at PyeongChang 2018 | Music Mondays,The Olympics has lost its integrity by allowing an athlete who tested positive for drugs to compete. The brand is watered down until rules are followed by all.
