Video Caption,Comment
"Athletes in Beijing Olympics complain for inappropriate conditions of isolation, facilities and food",Soon there will be news about athlete complaining food ruining their forms in games. Waaaaaaa.  Chinese CCP Conspiracy. How dirty CCP.  LOL......
"Athletes in Beijing Olympics complain for inappropriate conditions of isolation, facilities and food","See this for yourself in the clip below - a honest response from athletes commenting on the food, the covid protocol and the venues. Guess which team they are from....no surprise at all, they are the people who genuinely uphold the Olympic Spirit of friendship, solidarity, and fair play.

https://www.youtube.com/watch?v=3H41EZyKLyM
https://www.youtube.com/watch?v=z78ZWH3aqPs"
"Athletes in Beijing Olympics complain for inappropriate conditions of isolation, facilities and food",Damn western media really be spreading all this fake propaganda ew
"Athletes in Beijing Olympics complain for inappropriate conditions of isolation, facilities and food","I pray for human rights of Chinese people. No more massacres No more dictators No more tortures No more deceivings......

I wish peace and love on China with democracies someday. and also freedom on Hongkong, Tiwan, Tibet and so on. 

Long time ago China was great I heard. But there's no such country anymore. There's only the dirtiest global criminal enterprise in the world now. I hope China born again this time. Bc I know some good people there

God save China 🙏"
"Athletes in Beijing Olympics complain for inappropriate conditions of isolation, facilities and food","A total of 678 dishes, you fool, and Pizza Hut, KFC, McDonald's, Western cakes, Japanese food 😂😂😂"
"Athletes in Beijing Olympics complain for inappropriate conditions of isolation, facilities and food","Knowing that you athletes go to compete why bringing Covid to Beijing, of courses those unhealthy bodies need to guarantines or you people spread to  healthy athletes & volunteers as well as those who work at the venues would. Of course,you people always find faults to complaints no matter how good they prepared & planned. I would suggest that China will never host thieve olympic games because it is only for the IOC making plenty of money for selling the rights to show the games & the ceremonies, there were no tickets sales to the indoor games because of Covid, you people should be grateful that China Host the game, it is way better than the Tokyo summer Olympic in 2021 in Japan."
"Athletes in Beijing Olympics complain for inappropriate conditions of isolation, facilities and food",I would not go.
"Athletes in Beijing Olympics complain for inappropriate conditions of isolation, facilities and food",Fxxk China🖕🇨🇳🖕
"Athletes in Beijing Olympics complain for inappropriate conditions of isolation, facilities and food",The US should have never sent our athletes to these games
"Athletes in Beijing Olympics complain for inappropriate conditions of isolation, facilities and food",Can't believe how these athletes are so selfish and petty.  They would rather spread the virus than just sitting out a few days.  What a shame and embarrassment to their home country.
"Athletes in Beijing Olympics complain for inappropriate conditions of isolation, facilities and food","Oh Boohoo, quit complaining. This is what you wanted"
"Athletes in Beijing Olympics complain for inappropriate conditions of isolation, facilities and food",Go and sue the Olympics Committee for 💰 💰 💰 or Gold Medals 🥉 😂😂😂
"Athletes in Beijing Olympics complain for inappropriate conditions of isolation, facilities and food",Everyone comedown this Olympic is ‘made in china ‘ what are you thinking?
"Athletes in Beijing Olympics complain for inappropriate conditions of isolation, facilities and food","The food looks trashy. The athletes trained so hard to get there, that is not the way they should be treated. Don't play with the food at least..."
"Athletes in Beijing Olympics complain for inappropriate conditions of isolation, facilities and food",""" chinese being chinese ""
they copy korean culture and japanese culture
now they steal medal .. ?
yeah corona being corona 😅"
"Athletes in Beijing Olympics complain for inappropriate conditions of isolation, facilities and food",Even prisoners got a better food then athletes in China...
"Athletes in Beijing Olympics complain for inappropriate conditions of isolation, facilities and food",hater chanel
"Athletes in Beijing Olympics complain for inappropriate conditions of isolation, facilities and food",https://youtu.be/tEQ3s2vrMDI
"Athletes in Beijing Olympics complain for inappropriate conditions of isolation, facilities and food","So the Complaints about the food inside the ""closed loop"" have been mounting, with athletes, media and other personnel posting on social media about the lack of quality, variety, or healthy choices at the available restaurants, including the canteen at the Main Media Centre (MMC). One hotel manager even admitted to CNN that the food in one of their own restaurants is “disgusting.” Fresh fruit is hard to find, and no snack items or hot food are allowed to be delivered to guests into the bubble from outside. The only shop in the MMC sells low-quality packaged snacks, a small number of toiletry items, and Chinese beer – and the shelves are often half-empty. Those who were able to visit Beijing before the pandemic have lamented their disappointment about the poor choices available in a city that is famous for its excellent food. Even the much-touted, robot-powered restaurant at the MMC is often overcrowded with people taking videos for social media, and they warn customers that it could take 40 minutes to be served. And despite the robot-powered food delivery system – which lowers plates of food via a wire from purple pods that slide along the ceiling – the rest of the operation still runs in a far less futuristic way, with customers paying in cash or credit card at the till and staff in some sections hand-delivering the trays of lukewarm dumplings that were made by the robots. The robot cocktail bar is often closed, and on several visits, the machines had run out of ingredients, so the staff on site reverted to making the drinks the old-fashioned way. The dinner buffet at the Shangri-La Hotel – which includes good quality Chinese dishes and international options – and the restaurant at the Marco Polo Hotel are among the only places inside the ""closed loop"" escaping major criticism of their food. But they come at a cost -- notably a price tag of more than $60 per head for the Shangri-La buffet."
"Athletes in Beijing Olympics complain for inappropriate conditions of isolation, facilities and food","On a scale of 0 to 10 the athletes are giving the Beijing 2022 Olympics -6. Complaints about the food inside the ""closed loop"" have been mounting, with athletes, media and other personnel posting on social media about the lack of quality, variety, or healthy choices at the available restaurants, including the canteen at the Main Media Centre (MMC). One hotel manager even admitted to CNN that the food in one of their own restaurants is “disgusting.” Fresh fruit is hard to find, and no snack items or hot food are allowed to be delivered to guests into the bubble from outside. The only shop in the MMC sells low-quality packaged snacks, a small number of toiletry items, and Chinese beer – and the shelves are often half-empty. Those who were able to visit Beijing before the pandemic have lamented their disappointment about the poor choices available in a city that is famous for its excellent food. Even the much-touted, robot-powered restaurant at the MMC is often overcrowded with people taking videos for social media, and they warn customers that it could take 40 minutes to be served. And despite the robot-powered food delivery system – which lowers plates of food via a wire from purple pods that slide along the ceiling – the rest of the operation still runs in a far less futuristic way, with customers paying in cash or credit card at the till and staff in some sections hand-delivering the trays of lukewarm dumplings that were made by the robots. The robot cocktail bar is often closed, and on several visits, the machines had run out of ingredients, so the staff on site reverted to making the drinks the old-fashioned way. The dinner buffet at the Shangri-La Hotel – which includes good quality Chinese dishes and international options – and the restaurant at the Marco Polo Hotel are among the only places inside the ""closed loop"" escaping major criticism of their food. But they come at a cost -- notably a price tag of more than $60 per head for the Shangri-La buffet."
