Video Caption,Comment
PyeongChang 2018 Closing Ceremony | PyeongChang 2018 Replays,막판에 데낄라랑 뽕을 지급했으면 ㄹㅇ인데
PyeongChang 2018 Closing Ceremony | PyeongChang 2018 Replays,이게 평화지 ~ 별거 없잖아!!
PyeongChang 2018 Closing Ceremony | PyeongChang 2018 Replays,Best of Best 👍 👍 👍 👍 👍 👍
PyeongChang 2018 Closing Ceremony | PyeongChang 2018 Replays,베이징 올림픽땜에 눈정화하러 다시 보러옴1
PyeongChang 2018 Closing Ceremony | PyeongChang 2018 Replays,"엘이디 좌석이랑 코스튬은 진짜 아이디어다. 코시국 올림픽 국가들은 본받아라 텅텅 비어놓지말고
예산도적은데 반짝반짝 이쁘지않음? 다같이즐기는 축제 취지도 맞고"
PyeongChang 2018 Closing Ceremony | PyeongChang 2018 Replays,no doubt it was one of the best closing ceremonies in the history of Olympic games so far!
PyeongChang 2018 Closing Ceremony | PyeongChang 2018 Replays,SO MISS THIS OLYMPIC..
PyeongChang 2018 Closing Ceremony | PyeongChang 2018 Replays,Best Winter Olympic EVER 👍🏼
PyeongChang 2018 Closing Ceremony | PyeongChang 2018 Replays,Beautiful Beijing 8 minutes 👍🏻👍🏻👍🏻
PyeongChang 2018 Closing Ceremony | PyeongChang 2018 Replays,저 인면조만 어떻게 없애고싶네
PyeongChang 2018 Closing Ceremony | PyeongChang 2018 Replays,결국 또 다시 돌아왔다... 모든게 최고였어  평창!! ㅠㅠ 수호랑 돌아와 😭
PyeongChang 2018 Closing Ceremony | PyeongChang 2018 Replays,Best closing ceremony...CL and EXO rocks
PyeongChang 2018 Closing Ceremony | PyeongChang 2018 Replays,yuzuru💕
PyeongChang 2018 Closing Ceremony | PyeongChang 2018 Replays,なーるほど。元々のコンセプトはこれか。
PyeongChang 2018 Closing Ceremony | PyeongChang 2018 Replays,"Korea, love you"
PyeongChang 2018 Closing Ceremony | PyeongChang 2018 Replays,laji
PyeongChang 2018 Closing Ceremony | PyeongChang 2018 Replays,Guess the snowflake theme continued into the 2022 Opening Ceremony with the cauldron lighting
PyeongChang 2018 Closing Ceremony | PyeongChang 2018 Replays,미리 예언: 망한 베이징 올림픽을 보고 평창 올림픽 영상 보러 많은 사람들이 다시 돌아온다.
PyeongChang 2018 Closing Ceremony | PyeongChang 2018 Replays,Lol
PyeongChang 2018 Closing Ceremony | PyeongChang 2018 Replays,"Here for exo, the legends 🙌"
