Video Caption,Comment
Timeline: Winter Olympic Games (1924 - 2026),What is Norways secret
Timeline: Winter Olympic Games (1924 - 2026),"2018年の大会と
2026年の大会のロゴが
スタイリッシュで格好いいと思った
コロナがこの世界から消えると良いなあ..."
Timeline: Winter Olympic Games (1924 - 2026),"*USA* , USA, usa, us…a? Dang we are not good at the Olympics"
Timeline: Winter Olympic Games (1924 - 2026),What was « united team » in 1992 please ?
Timeline: Winter Olympic Games (1924 - 2026),"Soviet Union -страна,которой уже нет... А почему до 26ого года посчитали,а дальше?)))"
Timeline: Winter Olympic Games (1924 - 2026),ITALY
Timeline: Winter Olympic Games (1924 - 2026),"バンクーバーのロゴが京に見えるせいで北京こっちだっけってなりがち
実際の北京ロゴは冬をスキーヤーやスノーボーダーに見せる良デザインなんだけど"
Timeline: Winter Olympic Games (1924 - 2026),В России лучшая зимняя олимпиада.🇷🇺
Timeline: Winter Olympic Games (1924 - 2026),"Norway 12 7 7 so far
and it's only 2/3 of the show"
Timeline: Winter Olympic Games (1924 - 2026),"Beijing 2022
1. 🥇Norway 🇳🇴 
2. 🥈Germany 🇩🇪 
3. 🥉USA 🇺🇸"
Timeline: Winter Olympic Games (1924 - 2026),Vancouver and PyeongChang was the best
Timeline: Winter Olympic Games (1924 - 2026),I really wonder the value of the olympics results beetwen 60' to early 1990 because of East Germany URSS (and after Russia so let's extend to 2010) cheating for so long
Timeline: Winter Olympic Games (1924 - 2026),I was surprised at the fact that it has been half a century since Sapporo.
Timeline: Winter Olympic Games (1924 - 2026),Soviet Union 💪🔥
Timeline: Winter Olympic Games (1924 - 2026),2021 Olympics
Timeline: Winter Olympic Games (1924 - 2026),"Norway when it comes to winter sports is like the Soviet Union on hockey. Damn OP, almost like they were born with skis.  Can't deny that I am jealous as a Swede"
Timeline: Winter Olympic Games (1924 - 2026),Y México???
Timeline: Winter Olympic Games (1924 - 2026),🇫🇮🇫🇮 Finland 🔥🔥
Timeline: Winter Olympic Games (1924 - 2026),So we are gonna ignore the fact that he wrote pyeongyang south Korea instead north Korea?
Timeline: Winter Olympic Games (1924 - 2026),1936 best olympic
