Video Caption,Comment
"Olympic drama and friendship: Foreign reporter fakes being ""dragged away"", NYT upset | Beijing 2022","China will ensure 100% of their Success for this Winter Olympic 2022 for the Whole World to see and why would they  let these kind of no integrity peoples to create problems and damage the good name of China. China already know it that these paid people will try to create many lies and fake news about China  ... that why China will ensure everythings will be in tip top conditions...plenty and variety of best foods, best living conditions, giving & ensuring the best and friendly services. Showing the World everyone &  all the participants will receive the Best in this Winter Beijing Olympic 2022."
"Olympic drama and friendship: Foreign reporter fakes being ""dragged away"", NYT upset | Beijing 2022",West media thought they almighty great and can violate any regulations in any nations. Dirty imperialist.
"Olympic drama and friendship: Foreign reporter fakes being ""dragged away"", NYT upset | Beijing 2022","That's how the games should be ,competition n friendship ,so back off the poison politician sss !!"
"Olympic drama and friendship: Foreign reporter fakes being ""dragged away"", NYT upset | Beijing 2022",Andy from Shunghai. You are a funny guy. Love the red sweater. Subliminal mesaages aplenty here.
"Olympic drama and friendship: Foreign reporter fakes being ""dragged away"", NYT upset | Beijing 2022",Well said ..
"Olympic drama and friendship: Foreign reporter fakes being ""dragged away"", NYT upset | Beijing 2022",👍👍👍👍🙏
"Olympic drama and friendship: Foreign reporter fakes being ""dragged away"", NYT upset | Beijing 2022",Amy Qin better go home and drop Qin in the rubbish bin
"Olympic drama and friendship: Foreign reporter fakes being ""dragged away"", NYT upset | Beijing 2022",how much was the Chinese can do no wrong paycheck? restricted zone my ass.
"Olympic drama and friendship: Foreign reporter fakes being ""dragged away"", NYT upset | Beijing 2022",I have the feeling that China is cutting off business deals with the Netherlands. In response the Dutch cut off the deal of street security cameras of a Chinese company. They say that China can spy on them. That is childish because China can spy with satellites.
"Olympic drama and friendship: Foreign reporter fakes being ""dragged away"", NYT upset | Beijing 2022","The female NOS - Dutch reporter before Sjoerd, did the same. With a purpose they go on restricted areas. If they do this in the US, and Latin America, they brutally would be dragged down to the ground. Then handcuffed and get jailed. Chinese are softies."
"Olympic drama and friendship: Foreign reporter fakes being ""dragged away"", NYT upset | Beijing 2022",Chinese police or security guard really should have a body cam on them at all time
"Olympic drama and friendship: Foreign reporter fakes being ""dragged away"", NYT upset | Beijing 2022","Was that Dutch reporter intentionally causing a scene there? I saw that on Taiwanese news as well, I was kinda shocked the Taiwanese completely followed the Western media narrative, and unlike people from the west, Taiwanese people speaks mandarin and they should understand the straight up lies from the Dutch media."
"Olympic drama and friendship: Foreign reporter fakes being ""dragged away"", NYT upset | Beijing 2022",Thanks for showing the truth to the world.
"Olympic drama and friendship: Foreign reporter fakes being ""dragged away"", NYT upset | Beijing 2022","Just look at this bias juornalist's smiling face, it tell everything about these kind of bias and trouble seeker juornalism. "" yes, now got one, scandal report on my name...mine ...only mine""."
"Olympic drama and friendship: Foreign reporter fakes being ""dragged away"", NYT upset | Beijing 2022",The Dutch goon can cry about it!
"Olympic drama and friendship: Foreign reporter fakes being ""dragged away"", NYT upset | Beijing 2022",Thank you...🤣🤣
"Olympic drama and friendship: Foreign reporter fakes being ""dragged away"", NYT upset | Beijing 2022",Disgusting behaviour of the journalists. Thank you for reporting this. Unfortunately a lot of people will take this out of context if they saw this footage from somewhere.
"Olympic drama and friendship: Foreign reporter fakes being ""dragged away"", NYT upset | Beijing 2022",Another interesting Olympic report Andy! 👍
"Olympic drama and friendship: Foreign reporter fakes being ""dragged away"", NYT upset | Beijing 2022",Western news lie shamelessly
"Olympic drama and friendship: Foreign reporter fakes being ""dragged away"", NYT upset | Beijing 2022","Although it's the Beijing Winter Olympics, they don't care about sports. They prefer a ""dark"" background."
