Video Caption,Comment
"Winter Olympics- No Internt , Bad Food , Dirty Rooms ......",Please Like Subscribe Comment Share Thanks 504Cut......... Why Would They Go ????
"Winter Olympics- No Internt , Bad Food , Dirty Rooms ......",how poor u r!stupid fake news
"Winter Olympics- No Internt , Bad Food , Dirty Rooms ......",I will not watch one second of that shitt
"Winter Olympics- No Internt , Bad Food , Dirty Rooms ......",Charade
"Winter Olympics- No Internt , Bad Food , Dirty Rooms ......","Thw world should have BOYCOTTED THE 2022 OLYMPICS! WHY THE HELL WOULD ANY COUNTRY SEND THEIR BEST TEST SPECIMENS (I MEAN, ATHLETES) TO A PLACE LIKE THAT???"
"Winter Olympics- No Internt , Bad Food , Dirty Rooms ......",Don't watch the Olympics
"Winter Olympics- No Internt , Bad Food , Dirty Rooms ......",Must be true it's in the newspaper.
"Winter Olympics- No Internt , Bad Food , Dirty Rooms ......",Who’s idea to have it in CHINA..may as well have it in North Korea for gods sake
"Winter Olympics- No Internt , Bad Food , Dirty Rooms ......",Bad Chinese food? What could possibly go wrong? LOL
"Winter Olympics- No Internt , Bad Food , Dirty Rooms ......","Care to answer Lebronica James?
Salute!"
"Winter Olympics- No Internt , Bad Food , Dirty Rooms ......","What did you expect
Fcking fools
Hilarious fcking absolutely hilarious"
"Winter Olympics- No Internt , Bad Food , Dirty Rooms ......","Plus, you need to be vaxxed. Fuck that"
"Winter Olympics- No Internt , Bad Food , Dirty Rooms ......",Ya let's support a country with some of the worst human rights violations in our world.. I wont be watching this garbage.
"Winter Olympics- No Internt , Bad Food , Dirty Rooms ......",So covid is spred by the internet. I see. I see!!!
"Winter Olympics- No Internt , Bad Food , Dirty Rooms ......",Yes we're not watching it.Surprised?
"Winter Olympics- No Internt , Bad Food , Dirty Rooms ......",Leave the games over it simple
"Winter Olympics- No Internt , Bad Food , Dirty Rooms ......","Between the rampant human rights violations, plastic being sold as edible rice, restaurants getting grease from sewers to use in the kitchens, construction methods that would make an elementary school kid look on in horror at the idiocy, & dozens of other things the only conclusions I can come up with is that the athletes wanted to compete and didn't care or know about any of that which is a damn shame."
"Winter Olympics- No Internt , Bad Food , Dirty Rooms ......",I have been saying the American athletes need to flee China
"Winter Olympics- No Internt , Bad Food , Dirty Rooms ......",i guess none of us are surprised at all mate.....hope you're well.....oh look it's a squirrel!
"Winter Olympics- No Internt , Bad Food , Dirty Rooms ......",Lol well they chose to go to a communist country. Stop complaining. You'll own nothing and have no freedom and be happy.
