Video Caption,Comment
"베이징에서 벌벌 떨던 해외특파원들, 평창올림픽에선 한국자랑하느라 시간 가는 줄 모르는 이유",중국 대환장 운동회ㅋㅋㅋㅋ
"베이징에서 벌벌 떨던 해외특파원들, 평창올림픽에선 한국자랑하느라 시간 가는 줄 모르는 이유","아니 손님 접대는 누구나 잘할수 있다
비용이 얼마나 드느냐의 문제일뿐
우리나라는 예산을 마이 썼나?"
"베이징에서 벌벌 떨던 해외특파원들, 평창올림픽에선 한국자랑하느라 시간 가는 줄 모르는 이유","그땐 이렇게 대접하는게 사람으로서의 상식으로 생각하고 있었는데 , 중국의 상황을 보니 저희가 정말 예의와 대접에 진심임을 깨닫게 됐습니다."
"베이징에서 벌벌 떨던 해외특파원들, 평창올림픽에선 한국자랑하느라 시간 가는 줄 모르는 이유",우리나라근본이 피해안주고 정있고 음식맛있고 친절이 장착되어있으니ㅎㅎ전세계에서 돈만있음살기가장좋은곳이지뭐
"베이징에서 벌벌 떨던 해외특파원들, 평창올림픽에선 한국자랑하느라 시간 가는 줄 모르는 이유","How respectful they are 라는 말은 존경한다가 아니고요, 존중한다, 예의 바르다라고 해석하는게 옮바릅니다."
"베이징에서 벌벌 떨던 해외특파원들, 평창올림픽에선 한국자랑하느라 시간 가는 줄 모르는 이유","중요한 점은 인터뷰하는 기자, 앵커 모두가 즐거운 모습으로 웃고 있다는 겁니다. 정말 행복해 보이지 않나요? 그들의 대화 내용도 아주 캐주얼하고 즐겁습니다. 베이징과 격이 달라요."
"베이징에서 벌벌 떨던 해외특파원들, 평창올림픽에선 한국자랑하느라 시간 가는 줄 모르는 이유",중국은 출전도 금지시켰으면 좋겠다
"베이징에서 벌벌 떨던 해외특파원들, 평창올림픽에선 한국자랑하느라 시간 가는 줄 모르는 이유","진정한 국뽕🇰🇷
근데 진짜 먹는거로 장난은아니지 아무리그래도 운동선수는 밥심인데"
"베이징에서 벌벌 떨던 해외특파원들, 평창올림픽에선 한국자랑하느라 시간 가는 줄 모르는 이유",한국의 다이나믹을 잡아드시는 프로그램 들
"베이징에서 벌벌 떨던 해외특파원들, 평창올림픽에선 한국자랑하느라 시간 가는 줄 모르는 이유",축제는 이래야지.. 코로나 때문에 분위기가 다르고 동선이 제약이 있는 거까진 그럴 수 있다쳐도 그게 선수들에 대한 통제가 되면 안 되고 숙소랑 음식은 완벽해야되는 거 아니냐?
"베이징에서 벌벌 떨던 해외특파원들, 평창올림픽에선 한국자랑하느라 시간 가는 줄 모르는 이유",온돌은 최신기술이 아니라 오래된 우리 전통인데 ㅎㅎ ㅎ 선조들의 놀라운 지혜
"베이징에서 벌벌 떨던 해외특파원들, 평창올림픽에선 한국자랑하느라 시간 가는 줄 모르는 이유",솔직히 음식만 신경쓴거지 나머진 기본적으로 한국에 다 차려져있는것들 아님?
"베이징에서 벌벌 떨던 해외특파원들, 평창올림픽에선 한국자랑하느라 시간 가는 줄 모르는 이유","아무리 한국이 서로 싸우는것같지만 그래도 난 국민성이 좋다고생각해요.
우리선수도 챙기고 다른나라선수들도 챙겨주고 다같이 좋은컨디션으로 경쟁하길바라고 그 누구도 왜 남의나라선수들 챙겨주냐고 욕하는사람이없다 오히려 조금부실하다하면 한마음으로 손님대접에 진심으로 대해주고 경기에서 이기는 선수들 축하한다해주고 우리나라선수가 져도 수고했다고 해주고..(안그러는 몇몇 ㅉㄲ피섞인사람들빼고)
진짜 그런마음가짐들이 멋진것같다최고"
"베이징에서 벌벌 떨던 해외특파원들, 평창올림픽에선 한국자랑하느라 시간 가는 줄 모르는 이유",2018년부터 4년간 동아시아 3국에서 올림픽 개최했는데 전세계는 이제 분명히  동아시아 최고의 국가는 대한민국이라는 걸 뼈저리게 느낄 것이다
"베이징에서 벌벌 떨던 해외특파원들, 평창올림픽에선 한국자랑하느라 시간 가는 줄 모르는 이유",8:31 방바닥 따땃한 건 기술 발달이 메인은 아닌거같지만 암튼 설명하시는게 재밋어서 ㅋㅋㅋㅋ 계속 보게되네
"베이징에서 벌벌 떨던 해외특파원들, 평창올림픽에선 한국자랑하느라 시간 가는 줄 모르는 이유",역시 손님대접은 코리아가 최고!!!~^^
"베이징에서 벌벌 떨던 해외특파원들, 평창올림픽에선 한국자랑하느라 시간 가는 줄 모르는 이유",아  신발  ㆍ  눈에거슬리네  신발
"베이징에서 벌벌 떨던 해외특파원들, 평창올림픽에선 한국자랑하느라 시간 가는 줄 모르는 이유",아파트라서 화장실도 겁나 따뜻했을텐데..ㅋㅋ
"베이징에서 벌벌 떨던 해외특파원들, 평창올림픽에선 한국자랑하느라 시간 가는 줄 모르는 이유",외국인들이 웃는걸보고 나도 함께 웃었다. 진짜 행복해 보인다🤭🤭
"베이징에서 벌벌 떨던 해외특파원들, 평창올림픽에선 한국자랑하느라 시간 가는 줄 모르는 이유",올림픽은 한국에서 하자 이제
