Video Caption,Comment
Athletes ‘forced’ to download an app to attend winter Olympics in Beijing,Garbage news.
Athletes ‘forced’ to download an app to attend winter Olympics in Beijing,Maria..jump ship from CNBC to Trump's FOX..$$ talks and $$ evils..Fake news!
Athletes ‘forced’ to download an app to attend winter Olympics in Beijing,"Such a joke, u even not in the list to any games. All Chinese use app to track the covid green code. U cannot make it, That doesn't means we cannot. Just shitty Talk there, safety is never ur concern here.  Mind ur own land, drugs, guns, and the covid situation... Shameless never look into ourselves."
Athletes ‘forced’ to download an app to attend winter Olympics in Beijing,"I pray for human rights of Chinese people. No more massacres No more dictators No more tortures No more deceivings No more brainwashing No more cheating, lying and etc......

I wish peace and love on China with democracies someday. and also freedom on Hongkong, Tiwan, Tibet and so on. 

Long time ago China was great I heard. But there's no such country anymore. Who made China the dirtiest global criminal enterprise in the world now? I hope the government born again this time. Bc I know many good people there

God save China 🙏"
Athletes ‘forced’ to download an app to attend winter Olympics in Beijing,"Oh really? You know, athletes are also forced to go to China to attend Beijing Olympics!"
Athletes ‘forced’ to download an app to attend winter Olympics in Beijing,👍
Athletes ‘forced’ to download an app to attend winter Olympics in Beijing,👍
Athletes ‘forced’ to download an app to attend winter Olympics in Beijing,"I feel sick when listening to these two ladies’ conversations. Are they fair and unbiased media people? Apparently not! To be honest, I clicked in this video by accident and was surprised by their ignorance and stupidity. BTY, they were gossiping rather than reporting the news based on the fact."
Athletes ‘forced’ to download an app to attend winter Olympics in Beijing,Yankky evil empire Regan once said to USSR
Athletes ‘forced’ to download an app to attend winter Olympics in Beijing,Lol.  American propaganda.  Bunch of idiots.
Athletes ‘forced’ to download an app to attend winter Olympics in Beijing,Big Brother Xi is watching you.
Athletes ‘forced’ to download an app to attend winter Olympics in Beijing,"I'm from hong kong, you never hear from those like us who have no issue remaining a part of China - cus Western media is totally biased, and only reports selective truths lol"
Athletes ‘forced’ to download an app to attend winter Olympics in Beijing,Get them out of there now .
Athletes ‘forced’ to download an app to attend winter Olympics in Beijing,But the British were so noble in giving Hong Kong to the Chinese. What will become of all those people?
Athletes ‘forced’ to download an app to attend winter Olympics in Beijing,"Can we say  "" spyware ""....."
Athletes ‘forced’ to download an app to attend winter Olympics in Beijing,"Speculations.
This why fox is also part of the problem."
Athletes ‘forced’ to download an app to attend winter Olympics in Beijing,"It's terrible, the Chinese also ""forced"" American athletes to jump off the high platform! Do something very dangerous! Send an aircraft carrier to protect them!"
Athletes ‘forced’ to download an app to attend winter Olympics in Beijing,And this is why none of them should have gone
Athletes ‘forced’ to download an app to attend winter Olympics in Beijing,"The owners of the Winter Olympics are athletes, not politicians, nor netizens who grumble all day long"
Athletes ‘forced’ to download an app to attend winter Olympics in Beijing,China number 1
