Video Caption,Comment
The Beijing Olympics goes down in history as the worst PR disaster ever,"Using 100% artificial snow changed the nature of many of the winter sports disciplines being competed. 
All to be the first city to host summer and winter Olympic Games.."
The Beijing Olympics goes down in history as the worst PR disaster ever,"lol indian copium, largest country to have never hosted Olympics laughing at the first city in the world that has hosted both the Summer and Winter Olympic Games. Next you're gonna tell me how shitting on the streets is better than toilets."
The Beijing Olympics goes down in history as the worst PR disaster ever,"The Most Crooked Olympics Ever in History!! China, IOC and judges should be investigated for bribery. They are giving unfair/false penalties to other country athletes so that China could advance to the final, Disgusting!! Watch the Chinese skater literally pulled the Hungarian skater in Short track final but the Hungarian skater got the penalty and Chinese got Gold. Totally insane and disgusting!! And this is just one example of many. At the Ski jumping competition false penalties given so China could advance."
The Beijing Olympics goes down in history as the worst PR disaster ever,lol your delusional
The Beijing Olympics goes down in history as the worst PR disaster ever,"only 10 clown countries are boycotting, 10 out of 200+countries, less than 5%, negligible clowns."
The Beijing Olympics goes down in history as the worst PR disaster ever,The first part was Pyeongchang 2018 olympics from South Korea not China
The Beijing Olympics goes down in history as the worst PR disaster ever,Is this guy live on Mars ? Live a real life mate
The Beijing Olympics goes down in history as the worst PR disaster ever,What a bunch of cnuts
The Beijing Olympics goes down in history as the worst PR disaster ever,"I enjoy the Winter Olympics, but have  refused to watch anything from this one. My own personal boycott."
The Beijing Olympics goes down in history as the worst PR disaster ever,"The Genocide Olympics ,  home of The Tiananmen Square  Massacre . 
Beautiful !"
The Beijing Olympics goes down in history as the worst PR disaster ever,Fake Propoganda. From somalia
The Beijing Olympics goes down in history as the worst PR disaster ever,"So much jealous people here 😂,Live forever in your narrow world，don't wake up。"
The Beijing Olympics goes down in history as the worst PR disaster ever,Why was China awarded the Olympics in the first place?
The Beijing Olympics goes down in history as the worst PR disaster ever,"Wtf a “PR disaster”?? It’s public relations when we talk about a company, when it’s a country’s government it becomes a Human Rights violation."
The Beijing Olympics goes down in history as the worst PR disaster ever,Ban / boycott any china genocide games products and digital media marketing. Don't reward china for crimes against humanity
The Beijing Olympics goes down in history as the worst PR disaster ever,So…when does the olympics start?
The Beijing Olympics goes down in history as the worst PR disaster ever,Another India propaganda channel to smear China. Very sad to have a hostile neighbour .
The Beijing Olympics goes down in history as the worst PR disaster ever,Clear and concise. I was struggling to find relevant information about this as very little people are talking about it.
