Video Caption,Comment
How does the Beijing Winter Olympic ‘closed loop’ bubble work?,"The most interesting is what the Koreans say, do they really think anyone cares about them?"
How does the Beijing Winter Olympic ‘closed loop’ bubble work?,"Want to ask the Korean woman who criticized these Chinese measures, can you think of better method which the government can better PROTECT ITS PEOPLE from foreigners who may be carrying Covid? Obviously she said what she said out of selfishness and anti-China attitude. When you can still walk around a large area, how is it a prison?"
How does the Beijing Winter Olympic ‘closed loop’ bubble work?,It's the worst Olympics ever.
How does the Beijing Winter Olympic ‘closed loop’ bubble work?,Well done China.
How does the Beijing Winter Olympic ‘closed loop’ bubble work?,Biden: look this is proof china is doing detention camps
How does the Beijing Winter Olympic ‘closed loop’ bubble work?,"Why do Chinese people who have no shame make the Olympics difficult and make it difficult for people around the world...
From now on, only Chinese people will gather and replay sports.."
How does the Beijing Winter Olympic ‘closed loop’ bubble work?,"China is an uncivilized country that doesn't know what fair games are.
It's an uncivilized country that can only steal other countries' cultures.
beijing Olympic =Corruption game.
beijing Olympic =The worst Olympics."
How does the Beijing Winter Olympic ‘closed loop’ bubble work?,"China is an uncivilized country that doesn't know what fair games are.
It's an uncivilized country that can only steal other countries' cultures.
beijing Olympic =Corruption game.
beijing Olympic =The worst Olympics."
How does the Beijing Winter Olympic ‘closed loop’ bubble work?,This news & comments are surely breaking Taiwan-separatist & anti-CPC's glass hearts.
How does the Beijing Winter Olympic ‘closed loop’ bubble work?,"In some cases it seems extreme, but at least they're taking the pandemic seriously. Now."
How does the Beijing Winter Olympic ‘closed loop’ bubble work?,olympic beijing china x us 800000 covid19  2019 2020 2021 2022  war off food minh
How does the Beijing Winter Olympic ‘closed loop’ bubble work?,最后一个是韩国人。他说感染了。要到监狱一样的地方隔离。反中。反到这境界厉害了。
How does the Beijing Winter Olympic ‘closed loop’ bubble work?,"What's in that Korean lady's head? Compared with the state Korea (and the rest of the world, for that matter) is in right now, she's probably in the safest, most COVID-free place she has ever been."
How does the Beijing Winter Olympic ‘closed loop’ bubble work?,"korean reporter  is funny, china is way safer than korea for pandemic, korea has daily new case of 30 thosuands, china has almost zero,  its for china  public safety to set up bubble to isolate those people from country like korea  or US, or india or UK , WORST place in world.."
How does the Beijing Winter Olympic ‘closed loop’ bubble work?,"As I see it, this is a great way for the athletes to spread the word about how well the Uyghurs are doing."
How does the Beijing Winter Olympic ‘closed loop’ bubble work?,Chinese in Australia are not supporting our government. Supporting China all the way. Australian Government is a disgrace and purely racist.
How does the Beijing Winter Olympic ‘closed loop’ bubble work?,"Well organized Olympics by china .. 
Respect .. way to go"
How does the Beijing Winter Olympic ‘closed loop’ bubble work?,What an amazing system. China is probably the only country on the globe who could keep the games so safe.
How does the Beijing Winter Olympic ‘closed loop’ bubble work?,"all fine and dandy when the camera and the news reporters are there, we all know what happens when there is no one around........"
How does the Beijing Winter Olympic ‘closed loop’ bubble work?,Hey so is this true that there is another leaked of a 35% more deadlier virus from wuhan lab?
