Video Caption,Comment
Olympic Fans give their Honest Opinion of Korea...,2022년 베이징부터 이젠 올림픽출전에  도핑허가 되겠군   ㅋㅋㅋ    발리예바처럼
Olympic Fans give their Honest Opinion of Korea...,와.. 마스크 안 쓴 모습 되게 낯설다.... 시벌
Olympic Fans give their Honest Opinion of Korea...,소주 ㅋㅋㅋ
Olympic Fans give their Honest Opinion of Korea...,"생각해보면 문재인 정부의 첫번째 국가행사가 평창올림픽이었구나 싶네요. 일본 경제공격에 미중갈등에 코로나에 ... 많은 일들이 있었습니다. 
22년도 힘내봅시다."
Olympic Fans give their Honest Opinion of Korea...,손님대접에 진심인 나라에서 올림픽을 했으니
Olympic Fans give their Honest Opinion of Korea...,역시 대한영국놈..조쉬는 평창에있엇구나 근ㅡ본
Olympic Fans give their Honest Opinion of Korea...,Josh로인해서 많은 세계인들이 행복해하네요 보는 나도 행복하다..
Olympic Fans give their Honest Opinion of Korea...,그지같은 베징올림픽 이걸로 정주행이나 하자구요..
Olympic Fans give their Honest Opinion of Korea...,코로나도 없고 사람들 모두 행복해보인다.
Olympic Fans give their Honest Opinion of Korea...,진행자가 진행을 진짜 잘하시네 훈훈한 분위기에 불편한 장면 없이
Olympic Fans give their Honest Opinion of Korea...,행복했던 올림픽 이엇다 ㅜㅜ 이때까지는
Olympic Fans give their Honest Opinion of Korea...,0:30 안타깝게 먼저 운명을 달리한 라라 선수 ㅠ 동료를 잃은 네덜란드 선수들에게 오늘의 여자계주 금메달이 위로가 되었기를...
Olympic Fans give their Honest Opinion of Korea...,아.... 같은 강원도인 으로써 못간게 한이다 ㅠㅠㅠㅠㅠㅠ...그땐 어려서 못갔는데 지금 한다면 무적권 갈 수 있는데... 분위기 개조아..
Olympic Fans give their Honest Opinion of Korea...,지금보니까 평창은 축제 그자체였구려
Olympic Fans give their Honest Opinion of Korea...,분위기 너무 좋고 행복해보이네요 ㅎㅎ
Olympic Fans give their Honest Opinion of Korea...,"여기 인터뷰에 언급되었던 네덜란드 라라 반 루벤
선수가 2020에 자가면역질환으로 사망하셨네요.
오늘 그녀의 동료들이 베이징 올림픽 쇼트트랙
계주에서 금메달을 땄습니다. 동료를 추모하기
위해 꼭 메달을 따야 한다더니 세상에... 영국
남자팀이 그녀의 오빠를 인터뷰 했을 줄이야...
늦었지만 명복을 빕니다. 은메달을 딴 한국 선수들
 너무 고생 많으셨어요~"
Olympic Fans give their Honest Opinion of Korea...,좋았는데....
Olympic Fans give their Honest Opinion of Korea...,진정 세계축제 같네요
Olympic Fans give their Honest Opinion of Korea...,"아~ 평창 올림픽이 안좋아~?
도쿄 하계 & 베이징 동계 뭔꼴 났는지 보고 오면 생각이 많이 달라질걸?"
Olympic Fans give their Honest Opinion of Korea...,이때가 그립네요..행복이 가득했던 이때...
