Video Caption,Comment
Tokyo Vlog #3 - Dining like an olympic athlete,ささいなとこだけど、途中で選手がおかわり？を頼んで、店員にお替りしてもらった後に、すごいハキハキと、Thank youって言ってるのが外国人のノリの良さというか元気なところ出てていいなと思いました。
Tokyo Vlog #3 - Dining like an olympic athlete,Can't wait to see Beijings dining hall.
Tokyo Vlog #3 - Dining like an olympic athlete,"大会が終わり、食材が余ったら
足を運んで是非食べに行きたい
貧乏性のわたし"
Tokyo Vlog #3 - Dining like an olympic athlete,Where are the kikiams?!
Tokyo Vlog #3 - Dining like an olympic athlete,イエス様は✨貴方の事を愛しているんだよ。
Tokyo Vlog #3 - Dining like an olympic athlete,イエス様✨お願いします！
Tokyo Vlog #3 - Dining like an olympic athlete,神を信じなさい！
Tokyo Vlog #3 - Dining like an olympic athlete,イエス様✨
Tokyo Vlog #3 - Dining like an olympic athlete,Amazing japan!
Tokyo Vlog #3 - Dining like an olympic athlete,"Considering we are in a pandemic, the presentation of the bread and desserts at 0:25 is not very hygienic as they are exposed. There is nothing like a shield to protect the food from any kind of aerosol or droplets from the diners. Although the athletes are wearing masks, the masks are not 100% leak proof and some respiratory aerosol and droplets will escape."
Tokyo Vlog #3 - Dining like an olympic athlete,"いーなー
行ってみたい"
Tokyo Vlog #3 - Dining like an olympic athlete,German vocabulary for Olympic Games https://youtu.be/XiQyAgnkDMk
Tokyo Vlog #3 - Dining like an olympic athlete,Amazing 👍👍
Tokyo Vlog #3 - Dining like an olympic athlete,誰かと思ったらボルで草
Tokyo Vlog #3 - Dining like an olympic athlete,隣国の選手も純粋に楽しめたら良かったのに…政治の圧力　おかしな操作された反日感情　不必要なプレッシャーまで背負い込んでの戦いそしてプレー後の無駄で幼稚な抗議　選手の本意！？　せっかく必死で努力してオリンピック代表になったのに　実力以上に評判ばかり落とし…もっと客観的に考え…そんな当たり前の事か出来ね～国だからな
Tokyo Vlog #3 - Dining like an olympic athlete,"m,m,my hero Timo Boll!!!!


Really impressed!!"
Tokyo Vlog #3 - Dining like an olympic athlete,"Thank you for coming to Japan under strict restrictions. Congratulations on winning the 🥈.
Please go back your home safely and come back to Japan someday after the pandemic.🇩🇪🇯🇵"
Tokyo Vlog #3 - Dining like an olympic athlete,日本に来てくれてありがとうございます◎❤️
Tokyo Vlog #3 - Dining like an olympic athlete,Nothing says fun like watching the priviledged class enjoy life at the expense of everyone else
Tokyo Vlog #3 - Dining like an olympic athlete,I’m Japanese.The greatest point is stuff don’t talk to atheists more than necessarily.I think they usually say anything. They wanna protect from COVID-19
