Video Caption,Comment
Here's What Really Goes On At The Olympic Village,Would you want to stay in the Olympic Village?
Here's What Really Goes On At The Olympic Village,corona is fa ke bs
Here's What Really Goes On At The Olympic Village,“The beds were made of cardboard” “for sustainability” *cough cough* 😏😏😏
Here's What Really Goes On At The Olympic Village,"Your channel should be ashamed of not calling this luxury..and by the way, no human being is bigger than environment..., Western media made issues out of beds..."
Here's What Really Goes On At The Olympic Village,Important for us. I am from  Bangladesh. I am ur big fan today.
Here's What Really Goes On At The Olympic Village,実際は最悪だったといいたいのかな　どうでもいいけど　そもそも退屈だったというけど　貴方達は戦いにきたわけで　遊びにきたわけでわない　しかもコロナで開催は無理だとおもう中で動き回らず大人の行動がとれると信じて開催したので　文句言う国おおすぎる　表ムキにはほめてるけど　実際は文句いってるよな　世界の人って何故理想なもてなしを当然みたいにいうかな　ダンボ-ルベットや部屋も狭く日本もアホだけど　こんな大変な時に開催してくれて文句いうくらいなら地べたでねるなりしろ
Here's What Really Goes On At The Olympic Village,Good  thoughts   thank you ! 👍  誠 (japanese)
Here's What Really Goes On At The Olympic Village,"This is the Only Olympics where we got to see the More of the Olympic Village than ever, Thank to the YouTube and Instagram"
Here's What Really Goes On At The Olympic Village,"Japan did a great job keeping in mind the pandemic, sustainability and hospitality...such a clean and hygienic environment"
Here's What Really Goes On At The Olympic Village,"Great video, but obnoxious ""music""."
Here's What Really Goes On At The Olympic Village,"There really wasnt any need for the negative  tone.  Media portrays the experience to be terrible, while it was not."
Here's What Really Goes On At The Olympic Village,What a waste of money and resources for some of the most obscure sports on the planet that nobody actually watches or cares about...
Here's What Really Goes On At The Olympic Village,"I think conducting Olympic in  this magnitude in pandemic time, possible only because of Japanese discipline and dedication..great work ."
Here's What Really Goes On At The Olympic Village,"The Olympic village in Vancouver is now rental apartments and privately-owned condos with various structural problems. I am not surprised because I worked on one building for 8-months, the things I saw during construction were amazing. Rushing to get all those buildings done in a flash compromised the final result.  I would not recommend buying a condo in the complex. It's pretty but..."
Here's What Really Goes On At The Olympic Village,I heard they are all getting laid
Here's What Really Goes On At The Olympic Village,Every single room of those Tokyo bay water front apartments are sold before the Olympic begins. those will not be abandoned as they are located in one of the most expensive area of Tokyo.
Here's What Really Goes On At The Olympic Village,I think everyone should appreciate Tokyo2020 during a pandemic crisis. Would there be a Olympic or World Record this year if Japan were not able to run the Olympic in this Pandemic time. God Bless..
Here's What Really Goes On At The Olympic Village,"Seriously japanese know how to utilize every resource available,  they will use olympic village very wisely 😀"
Here's What Really Goes On At The Olympic Village,Yes. you are now watching 2000 doallars cardboard bed..lol
Here's What Really Goes On At The Olympic Village,ありがとうございます
