Video Caption,Comment
The 2022 Winter Olympics In Beijing Are A Complete DISASTER !!!,On the flip side. I think she was saying they will mess you up. Like they aren’t safe. Every company wants money. That is not a double standard. They aren’t soldiers they are athletes.
The 2022 Winter Olympics In Beijing Are A Complete DISASTER !!!,Brainless fool trying to be smart.Watch and learn thth its not a nuclear plant.https://www.youtube.com/watch?v=5da2t-kpNok&t=35s&ab_channel=TheChinaTraveller- I Go Inside China's Factory Olympic Venue (Is it a Nuclear Plant?)Watch 0.25 sec to 0.35 sec. You been  FOOLED.
The 2022 Winter Olympics In Beijing Are A Complete DISASTER !!!,"China is China.
Don't expect anything from chinese."
The 2022 Winter Olympics In Beijing Are A Complete DISASTER !!!,"makes you think if they are so paranoid about virus enhibited on their territory, does the perspective reflect what happened with COVID"
The 2022 Winter Olympics In Beijing Are A Complete DISASTER !!!,The dude should get a passport and travel to at least Canada or Mexico before being allowed to talk this much crap on YouTube
The 2022 Winter Olympics In Beijing Are A Complete DISASTER !!!,"she tell them to shut up ,becouse she is afried of the athletes are telling the truth about china,which will proof that she was lying all the time !!"
The 2022 Winter Olympics In Beijing Are A Complete DISASTER !!!,"How much do you get paid by black mouthing China? Can you sign me up? I want to join you, it must be good money"
The 2022 Winter Olympics In Beijing Are A Complete DISASTER !!!,"nuclear reactors??? so hilarious, did you really do any investigation? i have been there before, and they're abandoned cooling towers of a former Steel Factory in Beijing. Actually, this Big Air Shougang design is so environmentally friend and amazing."
The 2022 Winter Olympics In Beijing Are A Complete DISASTER !!!,Thank you
The 2022 Winter Olympics In Beijing Are A Complete DISASTER !!!,Hahaha American athletic having a great time...in China....The chinese will roll out the red carpet for guest...
The 2022 Winter Olympics In Beijing Are A Complete DISASTER !!!,Preach Shogun Preach 🙌
The 2022 Winter Olympics In Beijing Are A Complete DISASTER !!!,You say sports are a disaster because of your body type.
The 2022 Winter Olympics In Beijing Are A Complete DISASTER !!!,"Did you see water poured out from the ceiling of Finland’s accommodation? China says it’s the best Olympics ever, the rest of the world doesn’t agree."
The 2022 Winter Olympics In Beijing Are A Complete DISASTER !!!,"I will agree with the corporations using wokeness as a marketing ploy, and that changes via the country because that won’t sell everywhere. And as much as I loathe Palosi, I think she was sending a message to keep our athletes safe. Don’t step out of line, follow their rules, and stay safe. And under those conditions, our athletes should not be there at all in my opinion."
The 2022 Winter Olympics In Beijing Are A Complete DISASTER !!!,this channel is sick people camp
The 2022 Winter Olympics In Beijing Are A Complete DISASTER !!!,Hurrah for America! We are the greatest and smartest!
The 2022 Winter Olympics In Beijing Are A Complete DISASTER !!!,This is a stupid take from a stupid man
The 2022 Winter Olympics In Beijing Are A Complete DISASTER !!!,笑死我了，这就美国沙雕吗
The 2022 Winter Olympics In Beijing Are A Complete DISASTER !!!,I believe she wants to protect the athletes lives bc they can arrest and imprison them just for speaking out or worse.
The 2022 Winter Olympics In Beijing Are A Complete DISASTER !!!,It always amaze me to see some people likely has never been to China but talks like they are 🇨🇳 experts. My advice: travel and see before you judge.
