Video Caption,Comment
GLOBALink | Dishes coming from sky? Robot chefs serve at Beijing Olympic Winter Games,"75% of the Free world, will take a Baseball to  all these Fake restaurants. Get real, it not going to happen in America !!."
GLOBALink | Dishes coming from sky? Robot chefs serve at Beijing Olympic Winter Games,"Wow , I am so impressed"
GLOBALink | Dishes coming from sky? Robot chefs serve at Beijing Olympic Winter Games,Hahahahaha China is so full of bs. Go see how the athletes are really living there right now.
GLOBALink | Dishes coming from sky? Robot chefs serve at Beijing Olympic Winter Games,"Americans: China will run out of people! No more workers! Economy will crash!
Chinese: Hence, the robots."
GLOBALink | Dishes coming from sky? Robot chefs serve at Beijing Olympic Winter Games,China Number One !!!
GLOBALink | Dishes coming from sky? Robot chefs serve at Beijing Olympic Winter Games,"Kash hamre yahan bi ase hota 
China ko hospitality krna ta kyunki u know last 2 saal kase rahe hai but kuch jo bi  ho everything will be fine"
GLOBALink | Dishes coming from sky? Robot chefs serve at Beijing Olympic Winter Games,Bravo la chine
GLOBALink | Dishes coming from sky? Robot chefs serve at Beijing Olympic Winter Games,"It’s all fake propaganda. They can’t even serve enough food in quarantine hotels. And South Korean players prefer to eat their own foods. Chinese meals are very oily, meat greasy, and unhealthy"
GLOBALink | Dishes coming from sky? Robot chefs serve at Beijing Olympic Winter Games,"and still, there are some athletes complaining the inedible meal box they got from their hotel room, i wonder what their motives are..."
GLOBALink | Dishes coming from sky? Robot chefs serve at Beijing Olympic Winter Games,"The unfair IOC is corrupt!
Break up the corrupt IOC!
Let's boycott IOC-hosted sports competitions!"
GLOBALink | Dishes coming from sky? Robot chefs serve at Beijing Olympic Winter Games,"falsified propagada-like video 
now all of the athletes complaining about rubbish chinese food"
GLOBALink | Dishes coming from sky? Robot chefs serve at Beijing Olympic Winter Games,"Those are not about high-tech but about money. Expensive, low cost-effective systems."
GLOBALink | Dishes coming from sky? Robot chefs serve at Beijing Olympic Winter Games,Just learnt that there are similar restaurants in other cities of China already!!!
GLOBALink | Dishes coming from sky? Robot chefs serve at Beijing Olympic Winter Games,Wow. Anyone know which company did the robots?
GLOBALink | Dishes coming from sky? Robot chefs serve at Beijing Olympic Winter Games,The food they serve are toxic anyways. 🤣
GLOBALink | Dishes coming from sky? Robot chefs serve at Beijing Olympic Winter Games,"Mainland Taiwan is really doing a great job here, great application of technology, and a good way to replace all of those slaves that totally didn't die from covid."
GLOBALink | Dishes coming from sky? Robot chefs serve at Beijing Olympic Winter Games,"Problem is , you cannot complain to the robots ."
GLOBALink | Dishes coming from sky? Robot chefs serve at Beijing Olympic Winter Games,BBC:China forces robot labor.
GLOBALink | Dishes coming from sky? Robot chefs serve at Beijing Olympic Winter Games,Reminds me of the droids and futuristic lifestyle in the Jetsons cartoon.
GLOBALink | Dishes coming from sky? Robot chefs serve at Beijing Olympic Winter Games,"This is force robot labor by CCP, no human made right"
