Video Caption,Comment
Beijing 2022| Athletes settled into the Olympic Villages ahead of Spring Festival 冬奥村布置一新 各国运动员祝福新春,大法
Beijing 2022| Athletes settled into the Olympic Villages ahead of Spring Festival 冬奥村布置一新 各国运动员祝福新春,"Hope all the athletes and staff enjoy the games and the village in Beijing. Good luck with competition. The mascot so cute

Watching from Canada"
Beijing 2022| Athletes settled into the Olympic Villages ahead of Spring Festival 冬奥村布置一新 各国运动员祝福新春,"Why in the world is the Olympic games taking place in a communist country where they violate basic human rights?!
It's like having a game at Nazi Germany at the time."
Beijing 2022| Athletes settled into the Olympic Villages ahead of Spring Festival 冬奥村布置一新 各国运动员祝福新春,Where could I find a bed like what the athletes have there? I am in NYC US and I would like to try zero gravity sleep bed.
Beijing 2022| Athletes settled into the Olympic Villages ahead of Spring Festival 冬奥村布置一新 各国运动员祝福新春,"Ready for the Beijing 2022! 
💙💛🖤💚❤️"
Beijing 2022| Athletes settled into the Olympic Villages ahead of Spring Festival 冬奥村布置一新 各国运动员祝福新春,"The World will have get used to see new faces, language and friends, Go Beijing 2022,  GO GO GO CHINA"
Beijing 2022| Athletes settled into the Olympic Villages ahead of Spring Festival 冬奥村布置一新 各国运动员祝福新春,Can’t wait to watch ! Congratulations to all the athletes.
Beijing 2022| Athletes settled into the Olympic Villages ahead of Spring Festival 冬奥村布置一新 各国运动员祝福新春,Friendship through sports. Best wishes for a successful 2022 Beijing Olympics.
Beijing 2022| Athletes settled into the Olympic Villages ahead of Spring Festival 冬奥村布置一新 各国运动员祝福新春,Happy Chinese New Year to all athletes!
Beijing 2022| Athletes settled into the Olympic Villages ahead of Spring Festival 冬奥村布置一新 各国运动员祝福新春,北京歡迎你!
Beijing 2022| Athletes settled into the Olympic Villages ahead of Spring Festival 冬奥村布置一新 各国运动员祝福新春,Genocide Olympics~
Beijing 2022| Athletes settled into the Olympic Villages ahead of Spring Festival 冬奥村布置一新 各国运动员祝福新春,Good luck to all these athletes.
Beijing 2022| Athletes settled into the Olympic Villages ahead of Spring Festival 冬奥村布置一新 各国运动员祝福新春,It is a happy time for each country's best athletes to meet international competitors in the winter Olympic.  It is even happier to see China during the Chinese new year.  So why some countries could be so retarded to politicise people's happiness?
Beijing 2022| Athletes settled into the Olympic Villages ahead of Spring Festival 冬奥村布置一新 各国运动员祝福新春,✌✌✌
Beijing 2022| Athletes settled into the Olympic Villages ahead of Spring Festival 冬奥村布置一新 各国运动员祝福新春,CGTN It's called Chinese New Year not Spring Festival Get ur fact straight!!!
Beijing 2022| Athletes settled into the Olympic Villages ahead of Spring Festival 冬奥村布置一新 各国运动员祝福新春,Wish you all enjoy your stay!
Beijing 2022| Athletes settled into the Olympic Villages ahead of Spring Festival 冬奥村布置一新 各国运动员祝福新春,This is an Olympian big reunion. Enjoy your stay.
Beijing 2022| Athletes settled into the Olympic Villages ahead of Spring Festival 冬奥村布置一新 各国运动员祝福新春,"Just to be able to host,  in the middle of a pandemic.is testament to the discipline, and resilience of China. Other lesser hosts would have just postponed, or outright canceled, albeit, understandably...will be watching, from the Philippines.

Happy.Chinese New Year!"
Beijing 2022| Athletes settled into the Olympic Villages ahead of Spring Festival 冬奥村布置一新 各国运动员祝福新春,Best wishes to Beijing Winter Olympic.
Beijing 2022| Athletes settled into the Olympic Villages ahead of Spring Festival 冬奥村布置一新 各国运动员祝福新春,"Go Beijing !
Go china !
All the best!
Happy Chinese new year.!"
