Video Caption,Comment
How Beijing Spent Billions More Than The Official Olympic Budget | True Cost,"These comments are full of wumaos, it will never change the fact that most countries see through your bs. Ofc the 50c are in full swing to try and make these failed olympics look good"
How Beijing Spent Billions More Than The Official Olympic Budget | True Cost,Have the ski area In a nuclear reactor
How Beijing Spent Billions More Than The Official Olympic Budget | True Cost,Man that's a lot of wasted money over a long period. Maybe one day we'll get to actually helping the environment instead of ruining large swaths of land for a one time event
How Beijing Spent Billions More Than The Official Olympic Budget | True Cost,"Why China doesnt host the winter Olympic at their snow capital, Harbin? That should be better"
How Beijing Spent Billions More Than The Official Olympic Budget | True Cost,It seems that western jealousy is the problem lol
How Beijing Spent Billions More Than The Official Olympic Budget | True Cost,The Olympic villages will be used as concentration camps after the games conclude
How Beijing Spent Billions More Than The Official Olympic Budget | True Cost,"The final Conclusion is ""Olympics is over budget stupid EVENT which should be stopped."""
How Beijing Spent Billions More Than The Official Olympic Budget | True Cost,That map shows you are anti-china
How Beijing Spent Billions More Than The Official Olympic Budget | True Cost,If this doesn’t prove that the leaders of this world are lying pieces of garbage 🤷‍♂️ I’d not know what does. Why is there 1 starving person in the world while these entitled athletes and fanatics jump up and down about human abilities. Disgusting
How Beijing Spent Billions More Than The Official Olympic Budget | True Cost,No one is talking about how this is the first net zero carbon-free Olympics!
How Beijing Spent Billions More Than The Official Olympic Budget | True Cost,38.5 billion is still 11.5 billion less than what Putin spent on the Sochi Winter Olympics.
How Beijing Spent Billions More Than The Official Olympic Budget | True Cost,The US rather spent trillions dollars for wars around world!! 🤣🤣🤣
How Beijing Spent Billions More Than The Official Olympic Budget | True Cost,"wow, es increible el poder economico que ha alcanzado China!!!!! Qué lujo!!! Ahora entiendo el porqué algunos atletas hasta lloran de solo pensar que tienen que volver a casa."
How Beijing Spent Billions More Than The Official Olympic Budget | True Cost,Update: Events delayed due to heavy snow.
How Beijing Spent Billions More Than The Official Olympic Budget | True Cost,Business Insider = Wannabe WSJ. More fake news BS.
How Beijing Spent Billions More Than The Official Olympic Budget | True Cost,"So what ??? 
Can you do it ????"
How Beijing Spent Billions More Than The Official Olympic Budget | True Cost,"if china spends too little u will accuse china of being stingy, if she spends too much u will bash her of overspending. u are just insecure, envious, or just cannot get out of ur white western supremacy frame of mind?"
How Beijing Spent Billions More Than The Official Olympic Budget | True Cost,Lhina
How Beijing Spent Billions More Than The Official Olympic Budget | True Cost,Haha money go brrr.
How Beijing Spent Billions More Than The Official Olympic Budget | True Cost,why bother
