Video Caption,Comment
How the 2010 Winter Olympics changed Vancouver and Whistler,"its a very good video and i like it












































































































hey"
How the 2010 Winter Olympics changed Vancouver and Whistler,The Canada line wasn't a legacy. It was in planning 20 years prior to the 2010 Olympics. The Olympics just kicked it into action. Glad CBC got that part right and didn't stick it in there
How the 2010 Winter Olympics changed Vancouver and Whistler,“Olympic village *BIRBS”*
How the 2010 Winter Olympics changed Vancouver and Whistler,"So far, I see no problem in Vancouver having this incredible Olympic experience in 2030. You can even expand that legacy elsewhere in the city, you never know. It is the people of Canada, Vancouver, Whistler and Richmond who are sure of all of this."
How the 2010 Winter Olympics changed Vancouver and Whistler,The emotional impact and community building of having the Olympic games in Vancouver can’t be overstated.
How the 2010 Winter Olympics changed Vancouver and Whistler,"The 600 million dollar highway improvements that save 4-5 lives a year is the biggest accomplishment. Take it from someone that drives the 99 on the regular; it’s FAR superior in its current state to the one that preceded it. 

There is a reason why every car commercial in Canadian history has been filmed on the S2S highway. That’s over reaching, but you get the point."
How the 2010 Winter Olympics changed Vancouver and Whistler,How did it change Vancouver and Whistler? Rise in house prices from Chinese investors taking all your land
How the 2010 Winter Olympics changed Vancouver and Whistler,That is one nice podium
How the 2010 Winter Olympics changed Vancouver and Whistler,Comments turned off on all the CBC stuff on the blockades with tens of thousands of more views.
How the 2010 Winter Olympics changed Vancouver and Whistler,I seem to recall that the accompanying cultural olympiad was supposed to blow up the arts in BC and its global image and reach. Probably fair to say that was an utter failure.
How the 2010 Winter Olympics changed Vancouver and Whistler,Are bc tax payers still paying for this
How the 2010 Winter Olympics changed Vancouver and Whistler,What about the legacy of Australians getting that sweet sweet powder at Whistler?
How the 2010 Winter Olympics changed Vancouver and Whistler,Birbs
How the 2010 Winter Olympics changed Vancouver and Whistler,"This is a joke, the Olympics brought nothing but pretentious vibes to Vancouver. I’ve seen Vancouver going down the hill after the Olympics, it’s just getting worse and worse..."
How the 2010 Winter Olympics changed Vancouver and Whistler,2:03 must feel nice to have a wet butt
How the 2010 Winter Olympics changed Vancouver and Whistler,What about the Canada Line?
How the 2010 Winter Olympics changed Vancouver and Whistler,"silly me, i thought this would talk about how poor folks lost their homes"
How the 2010 Winter Olympics changed Vancouver and Whistler,Second
How the 2010 Winter Olympics changed Vancouver and Whistler,First
