Video Caption,Comment
Athletes share expectations about life in Beijing 2022 Olympic Village,Just don't talk bad about China they might harvest your organs.
Athletes share expectations about life in Beijing 2022 Olympic Village,"Beijing 2022 💯💯💯💯💯💯💯
China 💪💪💪💪💪💪💪"
Athletes share expectations about life in Beijing 2022 Olympic Village,"There's no doubt that the China, though the infrastructure, is top in the world, no country can be compared with, especially America."
Athletes share expectations about life in Beijing 2022 Olympic Village,When xi s hit release  new xivir us ?
Athletes share expectations about life in Beijing 2022 Olympic Village,"This is BSB reporter. I'm here inside the Beijing Olympics Village. This is the village where American athletes will be staying.  I am here with the Manager of the Village Planner Officer.
Me: Sir, I know you are very busy. May I ask you a few questions. Why are there so many tents in the sidewalk?
The Officer: Oh, thank you very much. We are very proud and we are very happy to have American athletes come and compete here. As you can see, we want them to feel comfortable and make them feel at home. So that they will not miss their homes.
Me: Very nice of you. Chinese people are so thoughtful and very understand of American cultures. Why are there 3 different colors; blue, red, and grey?
The officer: Well, the blue ones are for male athletes and red ones are for female athletes. We ordered them to match the number of US athletes that will come from the US Athlete Commission, no less and no more. You know, we don’t want to waste unnecessary expenses. American initially had decided not to send any of their diplomats. But I was told lately, the US have changed their mind and will send 64 diplomats.  I couldn't find red or blue ones. So those 64 grey tents are for late visa applicants. As you can see, we are also run out of space, so those tents we have to place them near garbage dumps."
Athletes share expectations about life in Beijing 2022 Olympic Village,"2022 gulag games, fake snow real genocide. The Chinese are exploiting the naivete of these young athletes who don't realize that they're being played as political pawns for the propaganda benefit of the CCP."
Athletes share expectations about life in Beijing 2022 Olympic Village,Free Uyghurs!!!
Athletes share expectations about life in Beijing 2022 Olympic Village,"Chinese government kidnapped Canadians and held them for years, the world needs to remember what a corrupt government they have"
Athletes share expectations about life in Beijing 2022 Olympic Village,China is a horrible place right now and the world should be boycotting these olympics to protest the corrupt and evil government
Athletes share expectations about life in Beijing 2022 Olympic Village,"100 metres sprint race at the first Modern Olympic Games, Athens, 1896
https://www.youtube.com/watch?v=IRTeOyf2KLI"
Athletes share expectations about life in Beijing 2022 Olympic Village,great .....
Athletes share expectations about life in Beijing 2022 Olympic Village,Welcome you all and wish you enjoy your stay!
Athletes share expectations about life in Beijing 2022 Olympic Village,WOW SO MANY NATION PARTICIPATING...BRAVO
Athletes share expectations about life in Beijing 2022 Olympic Village,CGTN balling out with truth bombs and simple 1-minute videos.
Athletes share expectations about life in Beijing 2022 Olympic Village,Good luck & good games to all the athletes for the Beijing Winter Olympics 🥳
Athletes share expectations about life in Beijing 2022 Olympic Village,CHINA ♥♥
Athletes share expectations about life in Beijing 2022 Olympic Village,"Today's International Holocaust Remembrance Day  and don't forget that a minority of the world's population is  suffering monstrous atrocities, right now."
Athletes share expectations about life in Beijing 2022 Olympic Village,"... for those winter sport athelics who had trained for years for their first go in the Olympic, we're glad your govt didnt denial you the chance to show the world you could the best."
Athletes share expectations about life in Beijing 2022 Olympic Village,CCP uses international games for virus release
Athletes share expectations about life in Beijing 2022 Olympic Village,हमें अपने खिलाड़ियों पर गर्व है 🙏🙏🙏🙏🙏
