Video Caption,Comment
Most surprising THINGS of the PyeongChang Olympics 😳 | VLOG 13,Why does everybody speak english  even if their first language is not english? lol  that's so american.
Most surprising THINGS of the PyeongChang Olympics 😳 | VLOG 13,"What's so funny about some people not being able to understand English? (0:52) To find it unexpected is one thing, but to laugh at it is condescending."
Most surprising THINGS of the PyeongChang Olympics 😳 | VLOG 13,Soy boy smiles on the thumb. Please stop it
Most surprising THINGS of the PyeongChang Olympics 😳 | VLOG 13,This is great!  I love the Olympic pins!
Most surprising THINGS of the PyeongChang Olympics 😳 | VLOG 13,So you’re in rural part of Korea and expect everyone to speak English? 🤦🏽‍♀️🤷🏻‍♂️🙄 It’s like a Korean going to Olympics in Utah and expecting people to speak Korean.
Most surprising THINGS of the PyeongChang Olympics 😳 | VLOG 13,"잘봤어요^^
Thank you!!"
Most surprising THINGS of the PyeongChang Olympics 😳 | VLOG 13,https://youtu.be/W7Ewsimmif4
Most surprising THINGS of the PyeongChang Olympics 😳 | VLOG 13,I love korea
Most surprising THINGS of the PyeongChang Olympics 😳 | VLOG 13,Questions: what is your day job?  How do you afford to travel around so much?  How did you meet Lyn?  When are you bringing her to Cape Town so I can meet her lol
Most surprising THINGS of the PyeongChang Olympics 😳 | VLOG 13,Not much attendance for the Olympics......I saw more people at the local Waffle House................ Heard the TV station with the broadcast rights and the sponsors took a bath financially.
Most surprising THINGS of the PyeongChang Olympics 😳 | VLOG 13,"You may have lost footage, but still rocked the cut!  Keep it going!"
Most surprising THINGS of the PyeongChang Olympics 😳 | VLOG 13,"Hello. I'm Korean. 0:49 That sounds very arrogant. It's a different country, why do American or English guys expect english to the other countries people."
Most surprising THINGS of the PyeongChang Olympics 😳 | VLOG 13,"Why does everyone have to speak English in S.Korea ?? It's not even their first language..
The real sad part is the guy that said ""No one speaks English"" and laughed his ass out does not know how to speak Korean when visiting S.Korea..
When you travel to a country whose native language is not English, learn how to speak their language and try to ask them in their language then being an ass laughing about others who don't speak the only language you can.
What a shame.."
Most surprising THINGS of the PyeongChang Olympics 😳 | VLOG 13,Ivica Kostelic😭🙈 make  my day
Most surprising THINGS of the PyeongChang Olympics 😳 | VLOG 13,No one has the obligation to speak english if its not an english speaking nation....daaaaa
Most surprising THINGS of the PyeongChang Olympics 😳 | VLOG 13,Please don't kik the leica again ! :)
Most surprising THINGS of the PyeongChang Olympics 😳 | VLOG 13,"As a Korean, this video is so helpful because seeing the Olympics in an objective view will be so important for us!!!! Thanks for the great clip! Hope you can upload more videos!!!"
Most surprising THINGS of the PyeongChang Olympics 😳 | VLOG 13,Weeee
Most surprising THINGS of the PyeongChang Olympics 😳 | VLOG 13,"1:20 google maps don't work in korea because korean MND dosen't allow it. google asked korean MND like 5 times now but since North Korea continuously threaten South Korea, MND fears foreign country having detailed geographic data of korea. Alternatives are Naver map and kakao map"
Most surprising THINGS of the PyeongChang Olympics 😳 | VLOG 13,Your vlogs is awesome! Keep on posting and improving your editor\filmer skills!
