Video Caption,Comment
Olympic Village Tour: Beijing 2022's Yanqing Olympic Village,https://www.youtube.com/watch?v=rhaqQT-JSOE&t=7s&ab_channel=LifeGuide
Olympic Village Tour: Beijing 2022's Yanqing Olympic Village,https://www.youtube.com/watch?v=rhaqQT-JSOE&t=7s&ab_channel=LifeGuide
Olympic Village Tour: Beijing 2022's Yanqing Olympic Village,"Thanks for sharing, everything looks so nice in the Olympic village"
Olympic Village Tour: Beijing 2022's Yanqing Olympic Village,"Thanks for showing real China to the world. Much better than BBC, NBC ..."
Olympic Village Tour: Beijing 2022's Yanqing Olympic Village,Love this. Thanks
Olympic Village Tour: Beijing 2022's Yanqing Olympic Village,Thank you for the tour of the Olympic Village and sharing your thoughts.
Olympic Village Tour: Beijing 2022's Yanqing Olympic Village,谢谢你们！中国一直友好欢迎所有的外国朋友，也希望外国媒体可以真实报道北京冬奥会。
Olympic Village Tour: Beijing 2022's Yanqing Olympic Village,Wonderful job. Thanks for the tour. I am so glad to having a virtual tuour in the village through your camera although I can not go back to China due to covid.
Olympic Village Tour: Beijing 2022's Yanqing Olympic Village,"Wow, what an introduction to this excellent facility !!!"
Olympic Village Tour: Beijing 2022's Yanqing Olympic Village,"Very good video, athletes live extremely well! What are they complaining about?? People can see the mountains and they can hardly see the fences. Very very nice village, though I don't think they should distribute things for sexual activities at all but everything else is super nice! The only thing left is a chapel so athletes can pray!"
Olympic Village Tour: Beijing 2022's Yanqing Olympic Village,7:30 What？？LOL
Olympic Village Tour: Beijing 2022's Yanqing Olympic Village,제일좋네~ Jail good!
Olympic Village Tour: Beijing 2022's Yanqing Olympic Village,谢谢你展示真正的中国(*^ω^*)像BBC、CNN那样的媒体只会说我们肮脏、贫穷、混乱、没有礼貌……它们不像你一样诚实。欢迎大家来中国玩，认识一下真正的中国。welcome to China🇨🇳
Olympic Village Tour: Beijing 2022's Yanqing Olympic Village,good
Olympic Village Tour: Beijing 2022's Yanqing Olympic Village,Good job!
Olympic Village Tour: Beijing 2022's Yanqing Olympic Village,"great tour inside the village, cant wait to see another one."
Olympic Village Tour: Beijing 2022's Yanqing Olympic Village,Did you receive money from China ??
Olympic Village Tour: Beijing 2022's Yanqing Olympic Village,"FREE HONGKONG, TAIWAN, and TIBET!"
Olympic Village Tour: Beijing 2022's Yanqing Olympic Village,The weat media is absoluted in the bad way for public only and don't want to know the real.
