Video Caption,Comment
COVID cases rise in China days ahead of Olympic Winter Games l ABCNL,This American Boycotted the Beijiing Olympics.
COVID cases rise in China days ahead of Olympic Winter Games l ABCNL,"With so many athletes getting covid and getting terrible meals, I believe china is weaponizing covid contamination and lack of food to gain an advantage in the competitions."
COVID cases rise in China days ahead of Olympic Winter Games l ABCNL,"Another FORM of GERM WARFARE , stuuupid ATHLETES   should NOT have GONE! Now TAE VIRUSES BACK HOME"
COVID cases rise in China days ahead of Olympic Winter Games l ABCNL,"I don't understand China, sometimes. 

IF ""Chinese Lunnar New Year"" is correct,
Is the example below correct? 

Israel Merry Christmas ?!?!??
Europe Thanksgiving Day ?!?!??
USA Black Friday ?!?!??Most People said “NO“ 

Just as Merry Christmas has become common all over the world,
Of course, it's just ""Lunar New Year"" in Asia. 

Mongolia, Vietnam, Philippines, Korea, Malaysia, Indonesia, Taiwan, Singapore, etc. 

""Lunar New Year"" is a Big-Holiday in many Asian countries.
This is because,
In the past, Many Asian Countries used the lunar calendar. 

China thinks that the Chinese created all world cultures.
This is called the 'Chinese Fundamental Theory'. 

China claims that the Chinese also made hockey, bowling, pizza, kimchi, and so on. 

But, it is 'FACT' that
Bowling is the origin of Egypt, Pizza is the origin of Italy, and KimChi is a traditional Korean food. 

Do you know “China Great Proletarian Cultural Revolution” ??? 

From 1966 to 1976, During 10 years,
Chinese ‘burned’ their own culture after China became communist. 

From an Anti-communist point of view, it is also a case frequently mentioned when explaining why communism should not be practiced. 

Anyway,
At that time, “Many Chinese Cultures“ burned down because China burned its own culture. 

SO Nowadays, that is reason why China is jealous of the world. 

Therefore,
China has been trying to steal especial ’the popular culture of other countries’.
It is in the same context as China's illegal copying of trademarks and intellectual property rights. 

Many people in the world cannot understand China sometimes.
But it is very bad! 

What do you think about it ???"
COVID cases rise in China days ahead of Olympic Winter Games l ABCNL,300 killed so far. Where all the Uighur and Falon Gong people at? CCP Wuhan Virus Genocide games. Where CCP lovers meet. Everyone hates the CCP murder machine.
COVID cases rise in China days ahead of Olympic Winter Games l ABCNL,"OMG, million daily cases. in US not Beijing China."
COVID cases rise in China days ahead of Olympic Winter Games l ABCNL,Now it's happening people that are already there or was just arriving to the winter Olympics got covid and had to pull out but I thought China had it under control sure you did there shocking ikr
COVID cases rise in China days ahead of Olympic Winter Games l ABCNL,Any American Athlete who went to China for the Olympics is a fucking moron!!! they knew this was gonna happen.  they should've boycotted the Olympics....
COVID cases rise in China days ahead of Olympic Winter Games l ABCNL,The latency and delay in this live reporting becomes so noticable after watching them Chinese communists play with their 5G and their 8K whatever and people just interact instantaneously.
COVID cases rise in China days ahead of Olympic Winter Games l ABCNL,"I thought I was about to hear a big surge in infections in Beijing that may jeopardize the Winter Games. I had a big relief when it was just 71 new cases, including 37 people relating to the Olympics such as athletes and team officials.

Speaking of which, China (inclusive of Beijing, the host to the Winter Olympics) is the safest place on planet earth. The following stats say it all:

Daily infection (2 Feb): +39; daily death: 0
Cumulative infection (up to 2 Feb): 106k; cumulative death (up to 2 Feb): 4,636

Well done China! Well done Beijing!"
COVID cases rise in China days ahead of Olympic Winter Games l ABCNL,"Like traffic deaths, one Covid case is too many. However, it is about ""perspective"". It seems the ABC News has forgotten about what it is and zoomed in on ""spike"". I suppose it is hard to divorce from the echo chamber when boycotting and throwing stone in a glasshouse deafened one's journalistic integrity."
COVID cases rise in China days ahead of Olympic Winter Games l ABCNL,71? Oh Yeah that's half of Chinese population 🤣🤣🤣
COVID cases rise in China days ahead of Olympic Winter Games l ABCNL,"at least 39 confirmed cases from athletes arriving into Beijing.  

the spreaders are from abroad."
COVID cases rise in China days ahead of Olympic Winter Games l ABCNL,Covid cases rise in China?  Ha haha. You Aussie better look at your own country for how many people died because of Covid !
COVID cases rise in China days ahead of Olympic Winter Games l ABCNL,If EVER there is a super deadly global virus that's a thousand times more deadly than covid.. China will be a country that has trained and tested a system to survive.. america and britain will be the 2 countries that will go extinct on day 2
COVID cases rise in China days ahead of Olympic Winter Games l ABCNL,Lock the world down. Dig a big hole and stay in it w your mask on.  We're all gonna die..
COVID cases rise in China days ahead of Olympic Winter Games l ABCNL,"STOP  MADE  IN CHINA  VIRUS  2019  + 2022 DANGER  VIRUS OLYMPIC  CHINA  DON'T BELEVE CHINA,BOYCOTT  CHINA , NO HUMAN RIGHT,"
COVID cases rise in China days ahead of Olympic Winter Games l ABCNL,Welcome to Beijing!
COVID cases rise in China days ahead of Olympic Winter Games l ABCNL,Welcome to the home of Covid
COVID cases rise in China days ahead of Olympic Winter Games l ABCNL,Already about 200 participants at Winter Olympics have been tested positive with Wuhan virus and have been isolated. China facing the music now.
