Video Caption,Comment
David Wise and his family Vlog while competing at the the 2018 Winter Olympics,happy lovely family~ㅎ
David Wise and his family Vlog while competing at the the 2018 Winter Olympics,"Koreans : omg..they are wearing shoes inside...lol
A tip - As you might have experienced, the floor of every korean place is warm (heating system beneath the floor) during the winter, so yeh I hope maybe next time, you guys can enjoy the most out of it without shoes. 
What a heart warming videos! You have such a lovely family and congrats! 
( I was preparing an exam back then, so couldn't really watch games, and now I am kinda digging all the videos from 2018 Olympics-I miss those days without masks, long hours flights, airports etc..) Thanks for the sharing!"
David Wise and his family Vlog while competing at the the 2018 Winter Olympics,shoes in rooms?
David Wise and his family Vlog while competing at the the 2018 Winter Olympics,pround of you from california
David Wise and his family Vlog while competing at the the 2018 Winter Olympics,12:20 omg.. shoes in room... don't do that..😔😔
David Wise and his family Vlog while competing at the the 2018 Winter Olympics,Reno!!!!!!
David Wise and his family Vlog while competing at the the 2018 Winter Olympics,Happy family really cool dad !!
David Wise and his family Vlog while competing at the the 2018 Winter Olympics,what a cute boy!!!
David Wise and his family Vlog while competing at the the 2018 Winter Olympics,Hello🤗welcome to Korea🇰🇷🇺🇸 your baby very cute🐶Have a good time in Korea😊Like +subscribe Have a nice weekend 🤗
David Wise and his family Vlog while competing at the the 2018 Winter Olympics,"beautiful family!
congrats on the gold!!!"
David Wise and his family Vlog while competing at the the 2018 Winter Olympics,This is one of my favorite Olympic videos!  Your family is the best!
David Wise and his family Vlog while competing at the the 2018 Winter Olympics,"Who’s the hot guy against the wall? If it is someone’s husband, I apologize now and will just say, “ You go girl..” If single, I say he should come visit Utah/Colorado! Lol"
David Wise and his family Vlog while competing at the the 2018 Winter Olympics,"Love your family unity and dedication! Congratulations on winning the gold medal! Just wanted to also say that being a special needs teacher, I admire the passion you’re sisters have been called to. All of it makes my heart happy. May you continue living the dream with your family and giving back to those who would not otherwise have the opportunity!"
David Wise and his family Vlog while competing at the the 2018 Winter Olympics,신발신은자와 안신은자가 공존하는 방 ㅋㅋㅋㅋ어떻해 ㅋㅋㅋ
David Wise and his family Vlog while competing at the the 2018 Winter Olympics,Thanks for sharing. Looks like it was a loooog trip but glad you got there to see David win.
David Wise and his family Vlog while competing at the the 2018 Winter Olympics,What an adorable family!😆 Congrats on your gold medal and I hope you had a great time here in Korea!
David Wise and his family Vlog while competing at the the 2018 Winter Olympics,So CUTE!!!! Hopefully your family had a memorable time in Korea.....
David Wise and his family Vlog while competing at the the 2018 Winter Olympics,You have a beautiful family. 😊💪👍You're a good man.
David Wise and his family Vlog while competing at the the 2018 Winter Olympics,Wow. You look so happy!!!!!
David Wise and his family Vlog while competing at the the 2018 Winter Olympics,"YOU NAILED IT, UNDER PRESSURE!!!!!. THAT Queen/David Bowie song should be your new theme song ""Under Pressure""."
