Video Caption,Comment
Beijing Olympics 2022 USA's Boycott Failure / 美国抵制北京2022冬奥会失败,"Well said. They don’t care about China or Chinese people. They use these made lies as weapons to attack China, their mortal enemy."
Beijing Olympics 2022 USA's Boycott Failure / 美国抵制北京2022冬奥会失败,We love you great 👍
Beijing Olympics 2022 USA's Boycott Failure / 美国抵制北京2022冬奥会失败,shill accounts
Beijing Olympics 2022 USA's Boycott Failure / 美国抵制北京2022冬奥会失败,"…
I know this is off topic but I have so many unanswered questions about Bigfoot, they are:  

What do Bigfoot breeding calls sound like ?
Do Bigfoots (Bigfeet ?) pair for life ? 
Are the Yeti and the Bigfoot related ?"
Beijing Olympics 2022 USA's Boycott Failure / 美国抵制北京2022冬奥会失败,"This didn't age well lol viewership for the Olympics is down. Stop showing support for a communist regime, it's disgusting."
Beijing Olympics 2022 USA's Boycott Failure / 美国抵制北京2022冬奥会失败,as usual china need to cheat to win.
Beijing Olympics 2022 USA's Boycott Failure / 美国抵制北京2022冬奥会失败,没有原则的正直，没有辛劳的财富，没有人格的学识，没有人性的科学，没有道德的商业，没有良知的享乐，没有牺牲的敬拜，在这些方面上的美丽国基本已经凑齐了
Beijing Olympics 2022 USA's Boycott Failure / 美国抵制北京2022冬奥会失败,I find this Chinese propaganda hilarious. Only a fool would believe China government has any good in it. They been killing their own for decades. It's not a secret!
Beijing Olympics 2022 USA's Boycott Failure / 美国抵制北京2022冬奥会失败,So Nice you promote a fascist police State . Nice going mate. The CCP must so happy with you
Beijing Olympics 2022 USA's Boycott Failure / 美国抵制北京2022冬奥会失败,"Well done to China and the haters  boo hooo.
Something that Biten hates too , peace."
Beijing Olympics 2022 USA's Boycott Failure / 美国抵制北京2022冬奥会失败,Buddy you have aged tremendously in just a short time. You are obviously doing something wrong!
Beijing Olympics 2022 USA's Boycott Failure / 美国抵制北京2022冬奥会失败,Havent you been exposed for taking money from the CCP to make this crap and lies that you call content? Stop making videos you creepy looking traitor. When China is done using you up I hope they send you to the Uyghur camps :)
Beijing Olympics 2022 USA's Boycott Failure / 美国抵制北京2022冬奥会失败,"It is always the USA can do whatever it wants; but it is also the China can do whatever it wants, too."
Beijing Olympics 2022 USA's Boycott Failure / 美国抵制北京2022冬奥会失败,"Man this propaganda bullshit, nobody believes this crap."
Beijing Olympics 2022 USA's Boycott Failure / 美国抵制北京2022冬奥会失败,tf you mean failure olympic viewership is down 40%
Beijing Olympics 2022 USA's Boycott Failure / 美国抵制北京2022冬奥会失败,You and Laowhy86 woow this shit goes bananas as east-west coast rap scene!
Beijing Olympics 2022 USA's Boycott Failure / 美国抵制北京2022冬奥会失败,What's wrong with the dudes eyes. He looks crazy
Beijing Olympics 2022 USA's Boycott Failure / 美国抵制北京2022冬奥会失败,Cheating all over the place with referees.🙄🙄💩💩   The most rubbish winter Olimpics ever.  This always be remembered. Ah and dont forget those cooling towers behind the ski jump. 😂😂  What better to watch? Cooling towers or nice snow covered mountains.  No further comment is needed.
Beijing Olympics 2022 USA's Boycott Failure / 美国抵制北京2022冬奥会失败,Fake snow real genocide
