Video Caption,Comment
OLYMPICS VLOG || I WAS A VOLUNTEER FOR PYEONGCHANG 2018,I keep on coming back to this video and I still don’t get board
OLYMPICS VLOG || I WAS A VOLUNTEER FOR PYEONGCHANG 2018,"Hey! So happy that you were volunteer. I applied for Beijing 2022 but I have some questions what exactly means some locations which are in preference and abilities. Can you consult pleaaase🥺🥺🥺🙏🏻 or can we change the choice or will everything be explained during the interview? That's my first and maybe the last time and i don't want to spoil anything
It would be very nice if you contacted me or shooted a video how to do this stuff"
OLYMPICS VLOG || I WAS A VOLUNTEER FOR PYEONGCHANG 2018,Hey! Did you have any special skills that might've helped you? I applied for Beijing 2022 and other than 4 languages that I speak I don't have anything special. I want the ice skating rink at all costs :/
OLYMPICS VLOG || I WAS A VOLUNTEER FOR PYEONGCHANG 2018,Any clips of Yuzu 🇯🇵🙏
OLYMPICS VLOG || I WAS A VOLUNTEER FOR PYEONGCHANG 2018,Hi Paige! I was wondering which Preferred Job Area for Volunteer did you selected?
OLYMPICS VLOG || I WAS A VOLUNTEER FOR PYEONGCHANG 2018,오 대박이넹
OLYMPICS VLOG || I WAS A VOLUNTEER FOR PYEONGCHANG 2018,I loved the pyeongchang 2018 olympics they where the best
OLYMPICS VLOG || I WAS A VOLUNTEER FOR PYEONGCHANG 2018,"Hi, Paige! I’d very much like to interview you for a video I’m planning on my Figure Skating channel. Would you be up for it? How can I contact you?"
OLYMPICS VLOG || I WAS A VOLUNTEER FOR PYEONGCHANG 2018,Hey! Hope you doing well✌🏼 I’m going to apply for Beijing22 but of course I have a few questions☺️ I actually understood that how volunteering works so I have questions about financial stuff. Where did you stay? (Olympic village...?) And how much money you approximately spend?  Greetings from Turkey❤️❤️
OLYMPICS VLOG || I WAS A VOLUNTEER FOR PYEONGCHANG 2018,"So cool, amazing. May I ask you how to be selected for the iceskating venue?"
OLYMPICS VLOG || I WAS A VOLUNTEER FOR PYEONGCHANG 2018,Did you have to learn Korean to be a volunteer?
OLYMPICS VLOG || I WAS A VOLUNTEER FOR PYEONGCHANG 2018,Great. Did you have many previous volunteering when you applied ?. I'm going to apply for the next 2022 but have a few things to write so it's my pleasure to hear from u. Thank u <3
OLYMPICS VLOG || I WAS A VOLUNTEER FOR PYEONGCHANG 2018,How did you volunteer exactly? Do they just accept everyone who wants to volunteer or do you have to have some kind of background?
OLYMPICS VLOG || I WAS A VOLUNTEER FOR PYEONGCHANG 2018,"Hey, I’m just wondering if you have any footage of Tessa and Scott rehearsals from the Olympics?"
OLYMPICS VLOG || I WAS A VOLUNTEER FOR PYEONGCHANG 2018,"This is cool, I didn’t know you went. Thanks for the experience!!"
OLYMPICS VLOG || I WAS A VOLUNTEER FOR PYEONGCHANG 2018,"Love the video! ""Didn't go to Korea to sleep"""
OLYMPICS VLOG || I WAS A VOLUNTEER FOR PYEONGCHANG 2018,Aw this is so cul
OLYMPICS VLOG || I WAS A VOLUNTEER FOR PYEONGCHANG 2018,I LOVE THIS!!!
