Video Caption,Comment
US athlete: China has done a “stellar job” with COVID-19 protocols for Beijing 2022 Winter Olympics,"We cannot resolve any of our problems in this country by defaming other countries, period."
US athlete: China has done a “stellar job” with COVID-19 protocols for Beijing 2022 Winter Olympics,"""where is aaron bkunck"""
US athlete: China has done a “stellar job” with COVID-19 protocols for Beijing 2022 Winter Olympics,LoL Twitter can't handle the truth - removed the guy's account. So much for freedom of speech.
US athlete: China has done a “stellar job” with COVID-19 protocols for Beijing 2022 Winter Olympics,His Twitter account was immediately suspended after this.
US athlete: China has done a “stellar job” with COVID-19 protocols for Beijing 2022 Winter Olympics,"Chinese people should see Aaron Blunck as an example of a real American. Honest, fair, gracious, and generous. The US media dishonors the American people with their ideological bias and tarring on all-things-China. Aaron Blunck on the other hand, is a credit to the American people."
US athlete: China has done a “stellar job” with COVID-19 protocols for Beijing 2022 Winter Olympics,"Shame to CNN , NBC , CBS , Wall Street Journal , New York Times , Fox News , Sydney Morning Herald and Washington Post for all of your distasteful journalism ! Stop Putting Aaron Blunck  into harrasing scrutiny !"
US athlete: China has done a “stellar job” with COVID-19 protocols for Beijing 2022 Winter Olympics,They will be punished when they return home.
US athlete: China has done a “stellar job” with COVID-19 protocols for Beijing 2022 Winter Olympics,"Refreshing to hear the truth. Most news about china is pretty much propaganda from western outlets. Bad news sells. I been living in China for 13 years, before that in the USA for 27 years. I can tell you honestly that the live in China is better. the usa was great about 20 years ago, but honestly, with crime, political seperation and pc culture its gone to shit."
US athlete: China has done a “stellar job” with COVID-19 protocols for Beijing 2022 Winter Olympics,"no matter who you are, chinese or american, the top thing is no lying anymore, please face the reality like an adult people"
US athlete: China has done a “stellar job” with COVID-19 protocols for Beijing 2022 Winter Olympics,Honest and gutsy man👍🏼
US athlete: China has done a “stellar job” with COVID-19 protocols for Beijing 2022 Winter Olympics,"The Genocide Olympics broadcast directly from the sight of the Tiananmen Square Massacre .
Beautiful ."
US athlete: China has done a “stellar job” with COVID-19 protocols for Beijing 2022 Winter Olympics,What a fair statement
US athlete: China has done a “stellar job” with COVID-19 protocols for Beijing 2022 Winter Olympics,#WhereisAaronBlunck
US athlete: China has done a “stellar job” with COVID-19 protocols for Beijing 2022 Winter Olympics,But you wont see the US medias to cover this or they may actually make this different type of propoganda.
US athlete: China has done a “stellar job” with COVID-19 protocols for Beijing 2022 Winter Olympics,Of course non of the western medias will report this.
US athlete: China has done a “stellar job” with COVID-19 protocols for Beijing 2022 Winter Olympics,They banned his Twitter I feel bad for the guy he's getting berated now
US athlete: China has done a “stellar job” with COVID-19 protocols for Beijing 2022 Winter Olympics,"Fix the video description please, it's ""Being State-side..."""
US athlete: China has done a “stellar job” with COVID-19 protocols for Beijing 2022 Winter Olympics,"You guys are the most hated persons by CNN,  Fox News, etc., etc.."
US athlete: China has done a “stellar job” with COVID-19 protocols for Beijing 2022 Winter Olympics,"Respect to all athletes for taking the risk of covid to compete. Respect the athletes for their accomplishments without doping. Unfortunately, this interview is highly unlikely going to be seen in the west. Even if it is broadcasted, they will all be labeled and tagged with something like American athletes are forced or brainwashed into saying what they said by Chinese authorities using unknown drugs."
